cluster,Epithelial_Subtype
0,EMT-high basal invasive epithelial
1,ECM-remodeling epithelial
2,MHC-II antigen-presenting epithelial
3,Basal / squamous epithelial
4,Interferon / stress-responsive epithelial
5,Mitotic basal epithelial
6,Mesenchymal / contractile epithelial
7,Myoepithelial / ECM-producing epithelial
8,ALDH1A1+ luminal progenitor  epithelial
9,Secretory inflammatory luminal  epithelial
10,Basal epithelial with immune signal
11,Highly proliferative basal epithelial
12,ER+ / luminal mature epithelial
13,Apocrine / luminal secretory epithelial
