"Var1","Freq"
"Astrocyte",5
"B_cell",4443
"BM",8
"BM & Prog.",4
"Chondrocytes",278
"CMP",65
"DC",845
"Embryonic_stem_cells",93
"Endothelial_cells",408
"Epithelial_cells",24773
"Fibroblasts",988
"GMP",66
"Hepatocytes",9
"HSC_-G-CSF",6
"HSC_CD34+",12
"iPS_cells",429
"Keratinocytes",350
"Macrophage",2907
"Monocyte",2253
"MSC",72
"Neuroepithelial_cell",76
"Neurons",243
"Neutrophils",38
"NK_cell",2268
"Osteoblasts",2
"Pre-B_cell_CD34-",370
"Pro-B_cell_CD34+",115
"Pro-Myelocyte",3
"Smooth_muscle_cells",72
"T_cells",12481
"Tissue_stem_cells",796
