"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.35376214417038,0.996,0.306,0,"0","CDKN2A"
0,2.34389990866175,0.989,0.322,0,"0","KRT5"
0,2.28128866491157,0.985,0.324,0,"0","CRABP2"
0,2.61925383907322,0.997,0.337,0,"0","CALML5"
0,2.10849304927723,0.926,0.267,0,"0","MDFI"
0,2.08331349509624,0.983,0.325,0,"0","SLPI"
0,2.07997121035062,0.983,0.34,0,"0","TACSTD2"
0,1.87399815875461,0.892,0.254,0,"0","NDUFA4L2"
0,2.03795102661837,0.946,0.311,0,"0","CBR3"
0,2.54089717224418,0.886,0.251,0,"0","TMEM213"
0,1.95241105453535,0.988,0.358,0,"0","EPCAM"
0,2.59491048255813,0.989,0.362,0,"0","KRT14"
0,1.97827400589332,0.96,0.339,0,"0","PHGDH"
0,2.00067775306952,0.966,0.349,0,"0","IGFBP5"
0,1.74402093604506,0.913,0.296,0,"0","CLDN7"
0,1.77513468662167,0.885,0.273,0,"0","CRABP1"
0,2.52124173678173,0.858,0.248,0,"0","CALML3"
0,1.74524248114262,0.883,0.277,0,"0","SDC1"
0,1.88813567028816,0.99,0.384,0,"0","TSEN34"
0,1.87597359077391,0.956,0.35,0,"0","TCTEX1D2"
0,2.09471090273757,0.912,0.308,0,"0","KRT6B"
0,2.22823484177579,0.996,0.396,0,"0","FXYD3"
0,1.82398475649075,0.987,0.388,0,"0","KRT18"
0,2.05444145087122,0.997,0.401,0,"0","KRT8"
0,2.02296677729574,0.974,0.378,0,"0","TTYH1"
0,1.46519889564932,0.903,0.308,0,"0","PPIC"
0,1.80378659216411,0.916,0.327,0,"0","EMP2"
0,1.74730106992438,0.978,0.393,0,"0","KRT7"
0,2.07968390478651,0.994,0.41,0,"0","CRYAB"
0,1.04382535328333,0.994,0.41,0,"0","KRT19"
0,2.25221173675985,0.839,0.256,0,"0","FAM3B"
0,1.79065227204609,0.915,0.339,0,"0","KRT17"
0,1.54347960393925,0.896,0.32,0,"0","CSRP2"
0,1.70301083207802,0.982,0.408,0,"0","POLR2H"
0,1.88257923332905,0.825,0.254,0,"0","FAM84A"
0,2.07248348863801,0.884,0.318,0,"0","RBP1"
0,1.35760163302747,0.988,0.426,0,"0","MDK"
0,1.70783025244623,0.827,0.267,0,"0","CLDN3"
0,1.06770358170613,0.896,0.337,0,"0","AZGP1"
0,2.01665447120298,0.809,0.252,0,"0","SH3BGR"
0,1.51888457713439,0.848,0.292,0,"0","KRT16"
0,1.83708783659417,0.9,0.344,0,"0","S100A16"
0,1.63505356334849,0.955,0.403,0,"0","S100A1"
0,1.2694297359504,0.845,0.298,0,"0","RFC4"
0,1.83050284651329,0.994,0.448,0,"0","PERP"
0,1.67544048770938,0.823,0.277,0,"0","FXYD6"
0,1.97943843344382,0.819,0.274,0,"0","HEY1"
0,1.82143687329856,0.781,0.237,0,"0","S100A2"
0,1.81840744577723,0.837,0.293,0,"0","NPW"
0,1.50851231294684,0.944,0.403,0,"0","CYB5A"
0,1.72521814973376,0.848,0.308,0,"0","CXCL14"
0,2.0095093860033,0.734,0.194,0,"0","PDZK1IP1"
0,1.76250027784999,0.929,0.392,0,"0","MYC"
0,1.5154604834756,0.886,0.352,0,"0","CLDN4"
0,1.35360007433338,0.879,0.346,0,"0","DSC2"
0,2.13079894956268,0.785,0.252,0,"0","KIT"
0,1.49024644934876,0.928,0.395,0,"0","TMEM205"
0,2.02206898649598,0.844,0.313,0,"0","NQO1"
0,0.772895804449614,0.859,0.329,0,"0","UBE2T"
0,2.58177670576457,0.763,0.237,0,"0","ASPG"
0,1.25593338754917,0.931,0.412,0,"0","CD24"
0,2.08126547673379,0.743,0.224,0,"0","HRASLS"
0,1.44264634784947,0.881,0.362,0,"0","TM4SF1"
0,1.91688072684457,0.755,0.238,0,"0","HEY2"
0,1.84532572827522,0.777,0.261,0,"0","MME"
0,1.49841065115866,0.941,0.428,0,"0","FDPS"
0,0.536979874649097,0.842,0.33,0,"0","SELENOP"
0,1.49774449250353,0.755,0.251,0,"0","GJA1"
0,0.910411313834512,0.77,0.267,0,"0","MXRA8"
0,0.920081414471756,0.905,0.404,0,"0","CKS1B"
0,1.81065108805389,0.746,0.248,0,"0","COL8A1"
0,1.73264734306609,0.942,0.444,0,"0","CCND1"
0,0.738081515708844,0.868,0.371,0,"0","PCNA"
0,1.42184569593535,0.78,0.285,0,"0","S100P"
0,1.707423244821,0.78,0.285,0,"0","LSR"
0,0.884381647362936,0.899,0.408,0,"0","KCNQ1OT1"
0,1.81677088205863,0.738,0.247,0,"0","LINC01436"
0,1.20199939399591,0.954,0.467,0,"0","HSPB1"
0,2.29980659284765,0.733,0.25,0,"0","RBP4"
0,1.23729735072144,0.842,0.36,0,"0","SQLE"
0,0.981816834439513,0.793,0.312,0,"0","ELF5"
0,0.976908101196813,0.949,0.468,0,"0","TUBA1C"
0,0.985788154756103,0.96,0.481,0,"0","FABP5"
0,1.66228429328007,0.995,0.517,0,"0","LAPTM4A"
0,1.78148717649869,0.701,0.224,0,"0","PALMD"
0,1.24168172186244,0.972,0.495,0,"0","S100A13"
0,0.719541622812919,0.798,0.322,0,"0","EFHD1"
0,0.760289643583696,0.989,0.513,0,"0","MGP"
0,1.16593031313418,0.839,0.364,0,"0","ELF3"
0,1.12688379364837,0.966,0.499,0,"0","NDUFB9"
0,0.881215968264263,0.861,0.394,0,"0","PEPD"
0,0.830536534898966,0.95,0.484,0,"0","THUMPD3-AS1"
0,1.47884181113103,0.721,0.257,0,"0","CA2"
0,1.08259368833348,0.949,0.485,0,"0","MT1X"
0,0.561206982237235,0.853,0.391,0,"0","CKS2"
0,0.784323091115391,0.822,0.363,0,"0","SLC39A6"
0,1.22012182266953,0.797,0.341,0,"0","FDFT1"
0,1.99571990791422,0.693,0.239,0,"0","CHST1"
0,1.53920390466317,0.686,0.233,0,"0","RARRES1"
0,1.15208878259952,0.793,0.341,0,"0","CADM1"
0,1.28438703380065,0.77,0.318,0,"0","MAL2"
0,1.30975772966187,0.785,0.333,0,"0","FBXO2"
0,1.8694746658076,0.734,0.283,0,"0","AKR1C3"
0,0.643677757304055,0.76,0.311,0,"0","PPP1R1B"
0,1.55319187537971,0.826,0.377,0,"0","HES1"
0,0.755412834194172,0.699,0.25,0,"0","GPX8"
0,1.48414796734653,0.678,0.231,0,"0","WFDC2"
0,0.584593296662466,0.804,0.359,0,"0","CKB"
0,1.94306766101009,0.673,0.231,0,"0","PEG3"
0,0.905336178646005,0.732,0.29,0,"0","NREP"
0,1.43798947941724,0.709,0.27,0,"0","S100A14"
0,2.70953102719624,0.596,0.157,0,"0","PAEP"
0,0.31848419951956,0.738,0.301,0,"0","HILPDA"
0,2.05175533945815,0.674,0.238,0,"0","CHL1"
0,1.89934385183073,0.662,0.226,0,"0","MECOM"
0,1.27259410524134,0.634,0.199,0,"0","MB"
0,0.673751851136273,0.835,0.4,0,"0","ATF5"
0,1.86429976563672,0.646,0.215,0,"0","SFN"
0,0.777508798493268,0.64,0.21,0,"0","IGFBP3"
0,1.54469533085388,0.711,0.281,0,"0","ALDH1A1"
0,1.79584823447104,0.658,0.229,0,"0","AL139393.2"
0,1.77343351426937,0.63,0.201,0,"0","SERPINB5"
0,0.79937225700477,0.731,0.303,0,"0","TNNT1"
0,1.19516580340148,0.721,0.293,0,"0","MLLT11"
0,0.587429855613609,0.646,0.219,0,"0","ADAMTS1"
0,0.870383627758056,0.738,0.311,0,"0","SNHG25"
0,0.416766937668738,0.843,0.416,0,"0","MYADM"
0,0.693047174999283,0.588,0.162,0,"0","CA9"
0,0.75503315041002,0.71,0.285,0,"0","IL1R2"
0,1.85229832290357,0.628,0.204,0,"0","DMKN"
0,0.711275431249064,0.674,0.25,0,"0","AC023157.3"
0,0.489371510998483,0.698,0.274,0,"0","GPX3"
0,0.985787810203695,0.654,0.232,0,"0","SOX11"
0,1.57664205200704,0.658,0.237,0,"0","ENPEP"
0,1.92699025701709,0.651,0.23,0,"0","SHISA2"
0,0.521114483782168,0.687,0.269,0,"0","BCAM"
0,1.48052061027312,0.603,0.185,0,"0","C6orf15"
0,1.66718657419515,0.682,0.265,0,"0","NEFH"
0,0.70614914483622,0.75,0.334,0,"0","MIS18A"
0,1.5174874670563,0.628,0.213,0,"0","GATA3-AS1"
0,0.698446376046371,0.665,0.251,0,"0","CST6"
0,0.368481301485252,0.698,0.284,0,"0","GADD45G"
0,0.292368941587759,0.811,0.398,0,"0","CAVIN1"
0,1.35531957815935,0.656,0.244,0,"0","TMEM45A"
0,0.558840734364557,0.907,0.495,0,"0","TNFSF10"
0,0.924860331536705,0.612,0.201,0,"0","NPPC"
0,0.532265641458873,0.799,0.389,0,"0","TSC22D1"
0,1.14359904717756,0.606,0.198,0,"0","MATN3"
0,0.473083735450127,0.945,0.54,0,"0","TUBA1A"
0,0.526130694532133,0.757,0.354,0,"0","PTTG1"
0,2.30947190857775,0.625,0.223,0,"0","CYP4X1"
0,0.272777289142466,0.636,0.238,0,"0","BEST4"
0,0.511344367767621,0.633,0.236,0,"0","LOXL1"
0,1.3398590340377,0.644,0.247,0,"0","EGOT"
0,0.691350779195562,0.731,0.334,0,"0","GPX7"
0,1.36417724527122,0.606,0.212,0,"0","OLFM4"
0,0.545192339415003,0.654,0.26,0,"0","NUAK1"
0,1.27898682285844,0.639,0.246,0,"0","TF"
0,1.63822883528696,0.596,0.203,0,"0","SLURP1"
0,1.92114012768332,0.569,0.177,0,"0","MALL"
0,1.65019890079791,0.998,0.607,0,"0","CSTB"
0,0.697127286065364,0.645,0.254,0,"0","GULP1"
0,0.350474001997684,0.774,0.385,0,"0","FAM208B"
0,0.854329275445671,0.601,0.214,0,"0","FAM83D"
0,0.983597107217282,0.979,0.592,0,"0","HSPD1"
0,0.419084008074672,0.664,0.279,0,"0","NRN1"
0,1.49667188317174,0.553,0.171,0,"0","FAM3D"
0,1.42755618913117,0.57,0.189,0,"0","SLITRK6"
0,1.78042008957988,0.546,0.166,0,"0","NPY"
0,1.65939344424898,0.655,0.277,0,"0","ID1"
0,1.65483742531769,0.591,0.213,0,"0","CLDN23"
0,2.1410010669045,0.53,0.154,0,"0","LEFTY1"
0,1.0321222766683,0.571,0.195,0,"0","SCUBE3"
0,1.67481980419611,0.524,0.149,0,"0","ALPL"
0,0.504796882121377,0.621,0.25,0,"0","CCNA1"
0,1.36247549451475,0.629,0.265,0,"0","PHLDA2"
0,2.14009611363061,0.502,0.138,0,"0","UGT2B7"
0,0.412069735345653,0.605,0.241,0,"0","BAG2"
0,0.843022930419544,0.614,0.251,0,"0","HYAL2"
0,0.274830248447333,0.892,0.53,0,"0","UBE2S"
0,0.552314319237404,0.592,0.231,0,"0","CENPA"
0,1.27524630559641,0.568,0.207,0,"0","ANGPT1"
0,0.52071340147254,0.655,0.295,0,"0","CCL28"
0,1.02582694200626,0.6,0.243,0,"0","LGALS7"
0,1.98089495678913,0.554,0.199,0,"0","KRT6C"
0,1.28223213213206,0.995,0.64,0,"0","DBI"
0,1.99282469688237,0.468,0.114,0,"0","TMEM61"
0,0.356193572597176,0.501,0.147,0,"0","AL358472.4"
0,0.368286139860047,0.865,0.513,0,"0","ZFP36"
0,1.85045795810379,0.549,0.199,0,"0","C5orf46"
0,0.289998047897626,0.659,0.31,0,"0","DOPEY2"
0,1.21573330745727,0.532,0.183,0,"0","PMEL"
0,0.625058417122462,0.617,0.268,0,"0","MAL"
0,0.292997312931465,0.613,0.266,0,"0","HIST2H2BE"
0,0.976981695800808,0.477,0.132,0,"0","MXRA5"
0,2.43902519670085,0.509,0.168,0,"0","RPRM"
0,0.858181686400172,0.993,0.663,0,"0","RPS10"
0,0.52013795649463,0.548,0.22,0,"0","ALKAL2"
0,0.867161390403697,0.996,0.669,0,"0","TUBA1B"
0,0.819786600044133,0.544,0.218,0,"0","PSCA"
0,0.521782072118572,0.549,0.224,0,"0","AP000692.2"
0,0.264314080155668,0.448,0.128,0,"0","SYT1"
0,1.88487159733975,0.519,0.201,0,"0","LOR"
0,1.34321212558311,0.486,0.17,0,"0","FAM83A"
0,0.402118420599416,0.593,0.279,0,"0","ECT2"
0,0.634864497303464,0.489,0.176,0,"0","PSRC1"
0,0.605282575595272,0.95,0.641,0,"0","SEC61G"
0,0.726929701453721,0.442,0.137,0,"0","SSUH2"
0,0.740480404658253,0.974,0.67,0,"0","S100A10"
0,1.48949113683778,0.521,0.223,0,"0","DNAJC12"
0,0.827885027128459,0.482,0.184,0,"0","AC025580.1"
0,0.601413016175154,0.486,0.198,0,"0","CDKN1C"
0,0.261160195309841,0.503,0.216,0,"0","AURKA"
0,2.40155464437792,0.41,0.125,0,"0","SOX2"
0,0.509976198797491,0.461,0.178,0,"0","FGF21"
0,0.714743688612809,0.409,0.127,0,"0","SERPINA3"
0,0.880656864647316,0.997,0.73,0,"0","CD63"
0,1.94680000162455,0.334,0.096,0,"0","IL20"
0,1.36454350479464,0.999,0.764,0,"0","S100A11"
0,1.92186637477319,0.37,0.139,0,"0","BPIFB1"
0,0.373927109562119,0.295,0.064,0,"0","AL450992.1"
0,0.770297613609769,0.365,0.135,0,"0","DSC1"
0,0.490138739470515,0.344,0.119,0,"0","CAPN13"
0,1.79674512287247,0.3,0.083,0,"0","KRT4"
0,0.981179157028362,0.998,0.836,0,"0","S100A6"
1.87744945419674e-321,0.86839645091068,0.498,0.193,3.75489890839347e-318,"0","CRISPLD1"
2.77467266704444e-320,1.30196972414738,0.582,0.256,5.54934533408888e-317,"0","MMP7"
1.91993909973908e-319,1.33202150050481,0.399,0.153,3.83987819947817e-316,"0","LEFTY2"
