"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.35376214417038,0.996,0.306,0,"0","CDKN2A"
0,2.34389990866175,0.989,0.322,0,"0","KRT5"
0,2.28128866491157,0.985,0.324,0,"0","CRABP2"
0,2.61925383907322,0.997,0.337,0,"0","CALML5"
0,2.10849304927723,0.926,0.267,0,"0","MDFI"
0,2.08331349509624,0.983,0.325,0,"0","SLPI"
0,2.07997121035062,0.983,0.34,0,"0","TACSTD2"
0,2.03795102661837,0.946,0.311,0,"0","CBR3"
0,2.54089717224418,0.886,0.251,0,"0","TMEM213"
0,2.59491048255813,0.989,0.362,0,"0","KRT14"
0,2.00067775306952,0.966,0.349,0,"0","IGFBP5"
0,2.52124173678173,0.858,0.248,0,"0","CALML3"
0,2.09471090273757,0.912,0.308,0,"0","KRT6B"
0,2.22823484177579,0.996,0.396,0,"0","FXYD3"
0,2.05444145087122,0.997,0.401,0,"0","KRT8"
0,2.02296677729574,0.974,0.378,0,"0","TTYH1"
0,2.07968390478651,0.994,0.41,0,"0","CRYAB"
0,2.25221173675985,0.839,0.256,0,"0","FAM3B"
0,2.07248348863801,0.884,0.318,0,"0","RBP1"
0,2.01665447120298,0.809,0.252,0,"0","SH3BGR"
0,2.0095093860033,0.734,0.194,0,"0","PDZK1IP1"
0,2.13079894956268,0.785,0.252,0,"0","KIT"
0,2.02206898649598,0.844,0.313,0,"0","NQO1"
0,2.58177670576457,0.763,0.237,0,"0","ASPG"
0,2.08126547673379,0.743,0.224,0,"0","HRASLS"
0,2.29980659284765,0.733,0.25,0,"0","RBP4"
0,2.70953102719624,0.596,0.157,0,"0","PAEP"
0,2.05175533945815,0.674,0.238,0,"0","CHL1"
0,2.30947190857775,0.625,0.223,0,"0","CYP4X1"
0,2.1410010669045,0.53,0.154,0,"0","LEFTY1"
0,2.14009611363061,0.502,0.138,0,"0","UGT2B7"
0,2.43902519670085,0.509,0.168,0,"0","RPRM"
0,2.40155464437792,0.41,0.125,0,"0","SOX2"
5.49763334036545e-230,2.02605402551908,0.511,0.163,1.09952666807309e-226,"0","CDKN2B"
5.94340046538695e-103,2.20396641372582,0.391,0.126,1.18868009307739e-99,"0","SOSTDC1"
6.30938056425969e-93,2.29182215361719,0.408,0.125,1.26187611285194e-89,"0","CXCL17"
0,4.2029063024715,0.684,0.227,0,"1","IL7R"
0,2.39631543488272,0.646,0.236,0,"1","CD2"
0,2.35598894014457,0.625,0.221,0,"1","CD3D"
0,2.76117179592589,0.625,0.27,0,"1","CD69"
0,2.03827124985496,0.698,0.358,0,"1","PTPRC"
0,2.34457407435327,0.666,0.335,0,"1","CCL5"
0,4.27133697307397,0.482,0.152,0,"1","GZMK"
0,2.49373817836391,0.504,0.214,0,"1","CD3G"
0,2.41132168875288,0.584,0.296,0,"1","LTB"
0,2.79738680941057,0.454,0.178,0,"1","CD3E"
0,2.56493863189699,0.47,0.198,0,"1","TRBC2"
0,2.3907266670195,0.588,0.319,0,"1","TRAC"
0,2.74955609798834,0.404,0.182,0,"1","TRBC1"
0,2.03784219562346,0.603,0.396,0,"1","HCST"
0,2.77116077010181,0.391,0.19,0,"1","GIMAP4"
0,2.42210485060565,0.453,0.259,0,"1","CD48"
0,2.45148693603715,0.338,0.149,0,"1","CST7"
0,3.44641978891168,0.347,0.16,0,"1","GIMAP7"
0,3.16778719154506,0.319,0.141,0,"1","KLRB1"
0,2.19339417615443,0.549,0.374,0,"1","TNFAIP3"
0,3.00706732826285,0.271,0.117,0,"1","GPR171"
0,2.59466713745319,0.737,0.609,0,"1","CXCR4"
0,2.21697603807428,0.707,0.589,0,"1","TSC22D3"
0,2.10115184653622,0.356,0.264,0,"1","KLF2"
9.70816267058341e-318,3.19951337431,0.262,0.111,1.94163253411668e-314,"1","CCR7"
1.24246558175763e-226,2.20675034766786,0.428,0.331,2.48493116351527e-223,"1","CYTIP"
5.53392463224726e-197,2.15338546182634,0.413,0.395,1.10678492644945e-193,"1","RARRES3"
3.84944092393196e-180,2.89953432476577,0.32,0.252,7.69888184786392e-177,"1","CD8A"
4.99837571284079e-29,2.38822285028151,0.344,0.403,9.99675142568158e-26,"1","LCK"
6.15892778207895e-25,2.03655169270348,0.297,0.479,1.23178555641579e-21,"1","RGCC"
3.9893490088437e-20,2.05365490663541,0.322,0.401,7.97869801768741e-17,"1","AC058791.1"
0,3.0023225545555,0.873,0.148,0,"2","CDC20"
0,2.54486684653383,0.953,0.23,0,"2","PCLAF"
0,3.05747902931997,0.875,0.154,0,"2","UBE2C"
0,2.1710707098969,0.899,0.186,0,"2","ASPM"
0,3.41445785973061,0.857,0.152,0,"2","DEPDC1"
0,2.1355482559472,0.93,0.228,0,"2","HRASLS"
0,4.47235044430357,0.919,0.219,0,"2","HIST1H1A"
0,2.45410275065274,0.94,0.242,0,"2","HEY2"
0,3.95870847997952,0.891,0.214,0,"2","CDK1"
0,2.86682777829971,0.791,0.115,0,"2","LEFTY2"
0,2.18551308559982,0.959,0.286,0,"2","HEY1"
0,3.39141400408668,0.882,0.213,0,"2","CENPA"
0,2.07713399523611,0.973,0.305,0,"2","NPW"
0,2.23051641838442,0.996,0.34,0,"2","CBR3"
0,2.36126296889567,0.967,0.313,0,"2","RFC4"
0,2.378805046579,0.862,0.209,0,"2","HMMR"
0,2.76523441424716,0.903,0.255,0,"2","ECT2"
0,3.04966131442686,0.987,0.341,0,"2","UBE2T"
0,2.09369069820329,0.999,0.358,0,"2","KRT5"
0,3.09316349764687,0.754,0.116,0,"2","ASF1B"
0,2.04258933627141,0.975,0.342,0,"2","CSRP2"
0,2.96953805436954,0.851,0.221,0,"2","CDCA2"
0,3.20029055792902,0.728,0.102,0,"2","HJURP"
0,2.6432520153913,0.769,0.144,0,"2","TK1"
0,2.14283627932802,0.996,0.378,0,"2","TCTEX1D2"
0,2.74036638074623,0.898,0.282,0,"2","CENPF"
0,3.19946706864006,0.775,0.164,0,"2","RRM2"
0,2.49975923134892,0.836,0.234,0,"2","CCNB1"
0,2.75714129181038,0.931,0.333,0,"2","MIS18A"
0,3.22782325113789,0.72,0.123,0,"2","CDCA8"
0,2.18469703325711,1,0.416,0,"2","TSEN34"
0,2.2951662628519,0.983,0.4,0,"2","CKS2"
0,3.92510606745058,0.655,0.073,0,"2","SPC25"
0,2.93320856908689,0.757,0.178,0,"2","ZWINT"
0,2.94010591780325,0.701,0.139,0,"2","NUF2"
0,3.52671992712505,0.694,0.135,0,"2","CDC45"
0,2.08842568984136,0.745,0.194,0,"2","KRT6C"
0,2.31402027717589,0.972,0.423,0,"2","CKS1B"
0,3.39119994048634,0.731,0.189,0,"2","MELK"
0,2.82350748131275,0.638,0.1,0,"2","NEK2"
0,2.11494739916028,0.912,0.384,0,"2","SMC4"
0,2.58752779694642,0.63,0.118,0,"2","MYBL2"
0,2.1648917583739,0.626,0.116,0,"2","VSIG10L2"
0,2.11147935354267,0.997,0.488,0,"2","TUBA1C"
0,2.36809990653289,0.937,0.432,0,"2","HIST1H4C"
0,2.96335084778295,0.586,0.081,0,"2","C1orf105"
0,2.15049656710904,0.622,0.122,0,"2","KRT75"
0,2.48895873104564,0.593,0.097,0,"2","CCK"
0,3.28547741533342,0.625,0.129,0,"2","AURKB"
0,2.25866397495891,0.648,0.156,0,"2","DLGAP5"
0,2.62751492711276,0.643,0.156,0,"2","CDKN3"
0,2.38693877822544,0.744,0.263,0,"2","CENPW"
0,2.15148378753467,0.664,0.184,0,"2","PSAT1"
0,2.21937816739393,0.687,0.215,0,"2","TOP2A"
0,2.64502392343061,0.703,0.234,0,"2","CLSPN"
0,2.27864031265076,0.694,0.231,0,"2","NUSAP1"
0,2.79687135277537,0.682,0.225,0,"2","FAM83D"
0,2.16612345903649,0.994,0.537,0,"2","UBE2S"
0,2.95108243823431,0.629,0.175,0,"2","PSRC1"
0,2.1069244583576,0.539,0.109,0,"2","PYDC1"
0,2.09131568116825,1,0.686,0,"2","TUBA1B"
0,2.83173024226103,0.299,0.025,0,"2","TYRP1"
0,2.16747864590393,0.302,0.035,0,"2","DMBX1"
0,3.09107546595343,0.284,0.018,0,"2","CLCA4"
0,2.33385651309236,0.274,0.139,0,"2","NMU"
3.30367027258968e-285,2.40562596955164,0.62,0.192,6.60734054517937e-282,"2","CCNB2"
5.29902187638534e-236,2.82003241302452,0.582,0.099,1.05980437527707e-232,"2","PBK"
5.20434263360022e-212,3.30978132824883,0.579,0.091,1.04086852672004e-208,"2","CDCA3"
1.48698899676153e-210,2.53914189690146,0.335,0.113,2.97397799352307e-207,"2","KIF20A"
1.05367539699986e-137,2.07735739422907,0.569,0.147,2.10735079399971e-134,"2","MKI67"
4.79759540449273e-107,2.20938355068425,0.384,0.108,9.59519080898545e-104,"2","GTSE1"
4.841109872528e-93,2.11327621922238,0.349,0.095,9.682219745056e-90,"2","HIST1H2BJ"
7.79139805193092e-81,2.10411432568602,0.562,0.205,1.55827961038618e-77,"2","TPX2"
1.89106097629986e-74,2.3890355607802,0.553,0.225,3.78212195259973e-71,"2","AURKA"
2.1235913677114e-65,2.55526997109984,0.517,0.134,4.2471827354228e-62,"2","KIF23"
3.02559972040634e-61,2.62756273592347,0.502,0.105,6.05119944081269e-58,"2","PLK1"
9.29800015958389e-38,2.06424026553177,0.515,0.109,1.85960003191678e-34,"2","CTSV"
1.99527994341696e-28,2.4405719858584,0.512,0.157,3.99055988683392e-25,"2","CCNA2"
7.37060726107124e-26,2.52203377604324,0.398,0.096,1.47412145221425e-22,"2","TROAP"
5.34049700931822e-09,2.10805824297043,0.468,0.114,1.06809940186364e-05,"2","VSNL1"
0,4.58378355814814,0.956,0.166,0,"3","TYROBP"
0,6.77623420666952,0.875,0.102,0,"3","FCGR3A"
0,5.3392541021113,0.914,0.143,0,"3","AIF1"
0,5.80786265342264,0.951,0.187,0,"3","LYZ"
0,5.43336927423153,0.801,0.08,0,"3","CYBB"
0,6.04139045182357,0.87,0.16,0,"3","CD68"
0,4.74015298775762,0.963,0.264,0,"3","FCER1G"
0,5.19832597410428,0.754,0.062,0,"3","MS4A6A"
0,6.64138318011425,0.747,0.06,0,"3","MS4A7"
0,3.40732554472805,0.955,0.292,0,"3","LAPTM5"
0,7.63681502033328,0.718,0.066,0,"3","OLR1"
0,4.5334015748731,0.727,0.086,0,"3","MNDA"
0,7.63782847215353,0.699,0.058,0,"3","CD163"
0,3.23493374546953,0.782,0.143,0,"3","ITGB2"
0,6.90296399788917,0.78,0.148,0,"3","C1QA"
0,7.29833777224444,0.674,0.046,0,"3","MSR1"
0,6.91542927385067,0.696,0.075,0,"3","FPR3"
0,4.71434843185033,0.687,0.075,0,"3","CD86"
0,6.7542335369083,0.737,0.125,0,"3","C1QB"
0,3.90229602383065,0.716,0.107,0,"3","RAB31"
0,6.53748889201415,0.848,0.243,0,"3","CD14"
0,6.00800341816622,0.648,0.043,0,"3","CSF1R"
0,5.07877378787742,0.702,0.099,0,"3","FGL2"
0,4.95413046208165,0.697,0.096,0,"3","SPI1"
0,3.67033088958979,0.721,0.12,0,"3","C1orf162"
0,6.86943560425535,0.706,0.112,0,"3","C1QC"
0,3.66683797274241,0.981,0.391,0,"3","HLA-DRA"
0,5.63187677802581,0.736,0.147,0,"3","SERPINA1"
0,2.95941649475387,0.832,0.244,0,"3","ZEB2"
0,3.51076255332817,0.736,0.15,0,"3","PLEK"
0,4.01338862885837,0.666,0.082,0,"3","MARCH1"
0,4.73425834520482,0.949,0.368,0,"3","CTSB"
0,2.94627325955929,0.905,0.326,0,"3","HLA-DPB1"
0,3.04802324859128,0.799,0.223,0,"3","HLA-DQB1"
0,3.21366566348744,0.93,0.354,0,"3","HLA-DPA1"
0,2.4786485673705,0.966,0.395,0,"3","SRGN"
0,3.81513113417255,0.721,0.153,0,"3","CCL3"
0,3.24435770657434,0.932,0.365,0,"3","HLA-DRB1"
0,6.9424477192001,0.611,0.044,0,"3","SLCO2B1"
0,6.46555733754521,0.812,0.247,0,"3","FCGR2A"
0,5.58752016617883,0.623,0.062,0,"3","C3AR1"
0,5.11455450286459,0.619,0.06,0,"3","LILRB4"
0,4.0891431400364,0.741,0.184,0,"3","PLAUR"
0,2.02483974893551,0.767,0.212,0,"3","CD53"
0,3.70195607004504,0.768,0.215,0,"3","SGK1"
0,3.43489644283007,0.683,0.131,0,"3","HLA-DMB"
0,7.02272869627778,0.594,0.044,0,"3","MS4A4A"
0,7.11328017439005,0.621,0.074,0,"3","IL1B"
0,4.37726422146471,0.678,0.132,0,"3","DAB2"
0,4.76626891943966,0.739,0.193,0,"3","KCTD12"
0,4.23237612020103,0.777,0.233,0,"3","C15orf48"
0,2.85151798950754,0.759,0.215,0,"3","HLA-DMA"
0,3.93395304247548,0.67,0.126,0,"3","ADA2"
0,6.248118470319,0.776,0.235,0,"3","RNASE1"
0,4.56106458566664,0.909,0.372,0,"3","CTSD"
0,4.06563509881995,0.669,0.142,0,"3","RNASE6"
0,4.15448415498301,0.929,0.406,0,"3","CTSS"
0,6.49298826977426,0.546,0.025,0,"3","CLEC5A"
0,3.73077488397176,0.866,0.348,0,"3","SOD2"
0,4.00374987853526,0.624,0.106,0,"3","CCR1"
0,6.99758756362031,0.576,0.06,0,"3","SIGLEC1"
0,6.96966025625199,0.688,0.174,0,"3","SLC11A1"
0,6.41057369623764,0.589,0.077,0,"3","MRC1"
0,3.44539985856654,0.701,0.189,0,"3","ATP6V1B2"
0,3.86694256617051,0.723,0.212,0,"3","SNX10"
0,3.21088651969303,0.687,0.178,0,"3","HLA-DRB5"
0,6.93360367784145,0.538,0.03,0,"3","FCGR1A"
