"Var1","Freq"
"Mesenchymal / contractile epithelial",380
"ECM-remodeling epithelial",607
"Interferon / stress-responsive epithelial",532
"Secretory inflammatory luminal  epithelial",191
"ER+ / luminal mature epithelial",177
"Basal epithelial with immune signal",183
"Basal / squamous epithelial",8009
"Mitotic basal epithelial",6300
"Myoepithelial / ECM-producing epithelial",266
"EMT-high basal invasive epithelial",2986
"Apocrine / luminal secretory epithelial",66
"Highly proliferative basal epithelial",858
"ALDH1A1+ luminal progenitor  epithelial",1024
"MHC-II antigen-presenting epithelial",566
