"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.1208611177306e-109,3.21285308477552,0.252,0.029,5.27352116923713e-105,"0","LINC02562"
1.05556919525182e-204,3.12003136398032,0.48,0.062,2.62467280399365e-200,"0","CHST9"
1.31616454435916e-118,2.93260917102365,0.316,0.045,3.27264313954906e-114,"0","ASPG"
2.42185230681445e-151,2.89169855011926,0.375,0.05,6.02193576089413e-147,"0","FAM178B"
4.72076852406207e-265,2.76362246221368,0.674,0.104,1.17381909350803e-260,"0","SIX1"
2.0148428750803e-223,2.60314393970831,0.625,0.106,5.00990680888716e-219,"0","FAM3B"
5.05916114683484e-85,2.46034726499714,0.275,0.049,1.25796041916048e-80,"0","MARC1"
4.92938670525177e-196,2.43787586831897,0.588,0.105,1.22569200426085e-191,"0","CALML3"
8.22065583771278e-275,2.42681610080794,0.847,0.2,2.04406607404728e-270,"0","TCTEX1D2"
4.81092467077644e-92,2.40911432854638,0.3,0.054,1.19623641938856e-87,"0","DLGAP1"
5.51777573634521e-217,2.37612509264789,0.66,0.121,1.37199493684224e-212,"0","TMEM213"
4.24038560588638e-147,2.36394618086917,0.399,0.059,1.05437188090365e-142,"0","RASIP1"
2.87074863185538e-180,2.26342316186179,0.632,0.143,7.1381164731084e-176,"0","ZNF581"
4.49952351580488e-261,2.25564406585863,0.954,0.425,1.11880652220488e-256,"0","TSEN34"
6.55329408760821e-148,2.23564041806038,0.44,0.072,1.62947657488378e-143,"0","MME"
3.77932214717754e-278,2.21482681954877,0.777,0.132,9.39728451895696e-274,"0","VCAN"
3.3460905180615e-95,2.17690506896008,0.383,0.087,8.32005407315993e-91,"0","TM7SF2"
4.95455690774465e-104,2.0912477848321,0.344,0.063,1.23195057511071e-99,"0","GPR160"
2.31961808406071e-106,2.06046455709209,0.393,0.081,5.76773036601695e-102,"0","KIT"
1.23668690890971e-101,2.0348493252628,0.362,0.072,3.07502199900399e-97,"0","HEY2"
2.04747081206036e-102,2.02851733228779,0.406,0.093,5.09103617418808e-98,"0","TMC4"
2.0610395813e-80,2.02732470222118,0.28,0.053,5.12477491890244e-76,"0","CLDN8"
6.57669765206638e-223,2.01894081255151,0.912,0.315,1.63529587118631e-218,"0","TTYH1"
5.02166612778976e-301,2.00531243429169,1,0.921,1.24863728267492e-296,"0","RPS5"
1.15290536572692e-107,1.98866777781902,0.383,0.077,2.86669919187999e-103,"0","NINJ2"
4.33771519930926e-121,1.98735485706408,0.529,0.134,1.07857288430825e-116,"0","SHKBP1"
1.41993785821531e-83,1.9825712804306,0.36,0.086,3.53067548445236e-79,"0","KMT5C"
2.48884071116987e-87,1.95882003580857,0.365,0.084,6.18850242832388e-83,"0","GPC4"
2.76971244893347e-104,1.94985961681933,0.368,0.072,6.88689000427307e-100,"0","TNIK"
2.38118353394373e-66,1.91474173605465,0.288,0.069,5.92081285715107e-62,"0","PFKM"
2.862856493953e-99,1.91287923222918,0.345,0.067,7.11849267221413e-95,"0","PRIM1"
3.20606019535012e-136,1.90793398473347,0.476,0.092,7.97186867573807e-132,"0","HEY1"
1.61586249262555e-212,1.89517425086246,0.989,0.535,4.01784208791342e-208,"0","CALML5"
3.67560245903529e-113,1.86576631259861,0.419,0.085,9.13938551439125e-109,"0","SLC39A2"
4.18775976282525e-204,1.82522676077331,0.894,0.272,1.0412864650265e-199,"0","IGFBP5"
2.73856079361557e-84,1.82012216496825,0.345,0.077,6.80943141332511e-80,"0","LINC00885"
7.30522435350948e-96,1.79492204526574,0.386,0.086,1.81644403550013e-91,"0","HSD17B1"
1.15401024573524e-298,1.7768012748454,1,0.961,2.86944647602068e-294,"0","RPL28"
2.47545412455454e-274,1.74517538994641,1,0.944,6.15521668070487e-270,"0","RPS23"
4.70307793709776e-201,1.74078245912396,0.976,0.548,1.16942032905936e-196,"0","ATP5F1B"
1.49695174704768e-148,1.73016857321128,0.777,0.288,3.72217051903405e-144,"0","C19orf48"
4.1392467079522e-161,1.72970143584141,0.951,0.479,1.02922369393232e-156,"0","KRT5"
1.7186484813551e-158,1.72287231739795,0.796,0.27,4.27341944888947e-154,"0","PRPF31"
9.61476364725354e-147,1.70789043126846,0.59,0.137,2.39071098088959e-142,"0","CXCL14"
9.92337441523452e-87,1.69753576665379,0.428,0.114,2.46744704834806e-82,"0","EIPR1"
7.45671242336357e-153,1.69018590575957,0.609,0.142,1.85411154406935e-148,"0","YBEY"
1.86524061378257e-156,1.68418459603692,0.805,0.284,4.63792078617035e-152,"0","PIGP"
5.95177077660266e-93,1.65946329340508,0.451,0.121,1.47990780360225e-88,"0","MRPL39"
