"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.08179327932556,0.334,0.048,0,"0","PKMYT1"
0,2.98021202395399,0.638,0.129,0,"0","MYBL2"
0,2.90982264760721,0.98,0.418,0,"0","PCLAF"
0,2.85615931186456,0.601,0.114,0,"0","SPC25"
0,2.8551500557727,0.796,0.21,0,"0","ASF1B"
0,2.78472999354772,0.478,0.094,0,"0","RRM2"
0,2.66474705763289,0.27,0.055,0,"0","CDCA5"
0,2.65471238644854,0.966,0.547,0,"0","HIST1H4C"
0,2.63887689297411,0.298,0.056,0,"0","CEP152"
0,2.49711140821346,0.798,0.254,0,"0","TK1"
0,2.48040921982992,0.35,0.085,0,"0","TRIP13"
0,2.40972362260408,0.254,0.057,0,"0","MND1"
0,2.37979365185149,0.268,0.064,0,"0","FANCI"
0,2.3747445229855,0.871,0.315,0,"0","TYMS"
0,2.37311489108299,0.568,0.12,0,"0","PBK"
0,2.34595430022285,0.548,0.145,0,"0","ORC6"
0,2.28763424530089,0.361,0.079,0,"0","PIMREG"
0,2.27946664953803,0.446,0.101,0,"0","AURKB"
0,2.26519982034574,0.659,0.197,0,"0","CENPU"
0,2.2447268575789,0.45,0.135,0,"0","CLSPN"
0,2.2277679391967,0.413,0.144,0,"0","HIST1H2BJ"
0,2.21937486473741,0.662,0.209,0,"0","CENPM"
0,2.21819029922024,0.459,0.105,0,"0","HMSD"
0,2.21189776761366,0.686,0.236,0,"0","ZWINT"
0,2.20976625979592,0.428,0.097,0,"0","NDC80"
0,2.18255459984414,0.394,0.112,0,"0","MELK"
0,2.11846755188998,0.519,0.12,0,"0","CDCA3"
0,2.11488023884934,0.374,0.101,0,"0","CENPN"
0,2.10221888558425,0.467,0.113,0,"0","PRC1"
1.11320548763161e-269,2.07218157615376,0.254,0.077,2.767985444996e-265,"0","KIFC1"
0,2.06956625928531,0.512,0.131,0,"0","MKI67"
0,2.0481420728325,0.34,0.103,0,"0","RFC3"
0,2.03522423198932,0.647,0.181,0,"0","NUSAP1"
3.91237030417517e-299,2.01602479384341,0.301,0.101,9.72810876133157e-295,"0","CDC45"
0,1.98000389670969,0.414,0.133,0,"0","RAD51AP1"
0,1.97984544020093,0.71,0.177,0,"0","BIRC5"
0,1.9632109343403,0.464,0.112,0,"0","CEP55"
0,1.9183394376934,0.311,0.092,0,"0","WDR76"
7.5788201111124e-236,1.88726153445977,0.263,0.091,1.8844736206281e-231,"0","CDC6"
0,1.88533543274519,0.311,0.095,0,"0","ZWILCH"
4.05536974195025e-272,1.88133539138079,0.281,0.092,1.00836768633593e-267,"0","NCAPG2"
0,1.85024329495108,0.975,0.559,0,"0","HMGB2"
0,1.84433624814401,0.318,0.091,0,"0","GTSE1"
0,1.83491692828814,0.366,0.124,0,"0","CDT1"
0,1.8224690030344,0.427,0.156,0,"0","C21orf58"
0,1.81783035164676,0.524,0.164,0,"0","SAP30"
0,1.77858395489175,0.544,0.192,0,"0","CDKN2C"
1.5862915056171e-298,1.77704104549823,0.3,0.094,3.94431382871692e-294,"0","CCNE1"
2.86795186574612e-234,1.77431585364337,0.302,0.121,7.13116231417774e-230,"0","CENPH"
0,1.75929376149706,0.692,0.191,0,"0","CDK1"
0,1.74183449884573,0.614,0.267,0,"0","ATAD2"
9.11419578034376e-262,1.74080562702642,0.274,0.088,2.26624478078248e-257,"0","SMC1B"
4.30212112553896e-224,1.72993922429519,0.26,0.093,1.06972241786526e-219,"0","PHF19"
0,1.72570387594837,0.316,0.093,0,"0","CCNA2"
0,1.72533888967598,0.835,0.461,0,"0","GGH"
5.69191751293234e-277,1.71018687892587,0.305,0.105,1.41529528959063e-272,"0","CCNE2"
1.02862517541931e-284,1.6953818214682,0.257,0.071,2.55767649868012e-280,"0","FOXQ1"
0,1.67203563982224,0.413,0.169,0,"0","RHNO1"
0,1.63634594958501,0.915,0.319,0,"0","UBE2C"
0,1.62678808836649,0.989,0.761,0,"0","STMN1"
1.42505870567591e-161,1.66596568605122,0.273,0.121,3.54340847166315e-157,"1","TM4SF18"
3.05504365568616e-161,1.63916412611555,0.26,0.112,7.59636604986363e-157,"1","KYNU"
0,1.60466755407045,0.857,0.589,0,"1","BTG2"
3.78363796307782e-217,1.54176318657191,0.395,0.2,9.40801579519301e-213,"1","SLC6A14"
1.44009223925656e-174,1.51185848892811,0.354,0.18,3.58078935291144e-170,"1","PSORS1C2"
1.3283067072824e-88,1.49417154972215,0.312,0.205,3.30283462765768e-84,"1","TENT5B"
2.39750445499143e-101,1.45688142789097,0.28,0.162,5.96139482733618e-97,"1","ROPN1B"
5.66584530997263e-199,1.45110546597063,0.583,0.401,1.40881243632469e-194,"1","ID3"
1.03429701293678e-226,1.42090932950036,0.43,0.214,2.57177952266731e-222,"1","TMEM176B"
0,1.42048135520113,0.593,0.331,0,"1","C19orf33"
0,1.41997217599077,0.881,0.629,0,"1","PDZK1IP1"
0,1.39863639477913,0.813,0.516,0,"1","CEBPD"
1.00614128002147e-101,1.39243836993497,0.261,0.143,2.50177029277339e-97,"1","TSPAN9"
0,1.3667201307045,0.651,0.347,0,"1","TNFAIP6"
1.41315487907841e-219,1.35913144428708,0.435,0.221,3.51380960682846e-215,"1","TMEM176A"
0,1.3537731082555,0.831,0.611,0,"1","ID1"
0,1.34797961056367,0.899,0.607,0,"1","RHOV"
0,1.30429822001492,0.939,0.723,0,"1","CST3"
1.1705125197236e-167,1.28804848690221,0.356,0.189,2.91047938029273e-163,"1","DEFB1"
4.65158025872754e-132,1.27266803615793,0.323,0.174,1.1566154313326e-127,"1","FRAT2"
9.95118126848663e-44,1.25314522318373,0.301,0.239,2.4743612224092e-39,"1","GCHFR"
0,1.25157022870462,0.975,0.886,0,"1","JUNB"
1.1880231901462e-217,1.24355599804695,0.582,0.394,2.95401966229853e-213,"1","SOCS3"
2.3844717517898e-192,1.23799135667181,0.523,0.357,5.92898901082534e-188,"1","PYCARD"
3.22863455677015e-160,1.20307752584851,0.482,0.324,8.02799982540897e-156,"1","ZC3H12A"
5.96095344384913e-64,1.19524065232663,0.282,0.193,1.48219107381309e-59,"1","RERG"
3.27913108231101e-135,1.14522098941506,0.458,0.303,8.15355943616632e-131,"1","DEPP1"
1.77012174579151e-152,1.12339673395906,0.427,0.264,4.4014077209106e-148,"1","LINC00667"
1.65577367517125e-188,1.10389367904724,0.555,0.397,4.11708124331331e-184,"1","PON2"
0,1.10333078163962,0.752,0.433,0,"1","FDCSP"
2.45268452202435e-107,1.08531531861974,0.344,0.207,6.09860006401355e-103,"1","PSTPIP2"
1.8547908041818e-49,1.08446698785314,0.27,0.195,4.61193733459805e-45,"1","RABGAP1L"
1.78553827708639e-215,1.0800380760522,0.504,0.281,4.43974092597531e-211,"1","C1S"
5.9155710132405e-111,1.07221544199858,0.514,0.405,1.47090673244225e-106,"1","NR4A2"
0,1.07049884898839,0.963,0.904,0,"1","IER2"
1.28145588939075e-232,1.06631852881828,0.543,0.308,3.1863400689701e-228,"1","GAS6"
1.87162864314302e-82,1.05716995856634,0.303,0.19,4.65380462117511e-78,"1","SSPN"
7.25266630607668e-89,1.05388800127563,0.325,0.205,1.80337547700597e-84,"1","BLVRA"
8.31495431517575e-88,1.05048065386021,0.332,0.213,2.06751339046845e-83,"1","PRKAG2-AS1"
4.72834194965596e-54,1.04616001938764,0.364,0.286,1.17570222578196e-49,"1","AQP3"
1.01739226184095e-153,1.03310035429641,0.398,0.221,2.52974585906752e-149,"1","MFAP5"
0,1.03033114511676,0.796,0.605,0,"1","EFNA1"
0,1.02889413255004,0.992,0.929,0,"1","SAT1"
5.59223488697288e-109,1.01479300286225,0.318,0.178,1.39050920464581e-104,"1","VGLL1"
2.58297777180428e-166,1.00997436147767,0.439,0.243,6.42257422959134e-162,"1","PI3"
6.78894080910179e-116,0.998783266645755,0.398,0.256,1.68807013218316e-111,"1","IFI27L2"
4.03446760558404e-205,0.998715548558752,0.543,0.317,1.00317037012847e-200,"1","SDR16C5"
4.01251238759762e-203,0.996985041205454,0.588,0.382,9.97711205176148e-199,"1","SH3KBP1"
3.16278935984027e-187,0.99607990016879,0.501,0.295,7.86427574324283e-183,"1","CITED4"
2.41325138762005e-159,0.993034471197974,0.441,0.261,6.00054957531726e-155,"1","SMIM22"
5.22831232766088e-80,0.984746526200461,0.319,0.205,1.30001986027288e-75,"1","ACP5"
1.18951414858662e-252,0.981684544206255,0.633,0.359,2.95772693046062e-248,"1","APOD"
6.0096272883018e-67,0.965991056941118,0.28,0.182,1.49429382523624e-62,"1","MIR4458HG"
2.74333236912252e-69,0.95797447630201,0.333,0.232,6.82129593582314e-65,"1","PCCA"
1.34598265825634e-127,0.957183490007466,0.344,0.19,3.34678587975438e-123,"1","CP"
7.88183531112927e-190,0.9483554419383,0.609,0.421,1.95981835011229e-185,"1","CHI3L1"
1.52542370004869e-176,0.946133955877867,0.508,0.307,3.79296603017106e-172,"1","FGFBP2"
6.39249677119259e-304,0.930853866125545,0.846,0.697,1.58949432215704e-299,"1","ZFP36L2"
0,0.92983541700825,0.984,0.831,0,"1","DDIT4"
4.07278167904945e-58,0.928710117607741,0.375,0.275,1.01269716449565e-53,"1","KRT15"
0,4.1417750058344,0.284,0.057,0,"2","SPRR2D"
0,3.61816731732784,0.516,0.141,0,"2","SPRR2A"
2.45978982708696e-132,3.15279344517309,0.334,0.156,6.11626740505172e-128,"2","KRTDAP"
0,3.11697464144588,0.623,0.272,0,"2","IGFBP3"
0,3.02036933115148,0.521,0.154,0,"2","SBSN"
0,2.71819358670005,0.514,0.168,0,"2","RHCG"
2.92900354138921e-224,2.32495821218557,0.263,0.073,7.28296730566428e-220,"2","STC1"
5.31573412248215e-209,2.30362509756036,0.279,0.086,1.32175728955519e-204,"2","IL36G"
7.71417293356813e-233,2.26162209926289,0.311,0.098,1.91812909993172e-228,"2","UNC5B-AS1"
0,2.24888756935233,0.678,0.22,0,"2","EGLN3"
1.12065578212262e-224,2.15437097599725,0.401,0.166,2.78651060224789e-220,"2","ANKRD37"
0,2.15138598553308,0.899,0.499,0,"2","NDRG1"
6.51676177774102e-269,2.0338813745117,0.361,0.116,1.6203928160353e-264,"2","DUSP5"
7.47034363277298e-166,1.908360515861,0.334,0.139,1.857500944289e-161,"2","C15orf48"
6.34063521994134e-141,1.89976629221156,0.277,0.111,1.57659894743841e-136,"2","SLC39A14"
0,1.8491113321349,0.66,0.385,0,"2","ERO1A"
0,1.84381918242716,0.527,0.217,0,"2","IDS"
2.16400752878466e-320,1.84197693815462,0.727,0.418,5.38080472032306e-316,"2","CSTA"
2.61307854100826e-213,1.67392532623444,0.424,0.181,6.49741979221704e-209,"2","UPP1"
1.38096245863612e-95,1.56038960864042,0.337,0.191,3.43376315339871e-91,"2","QSOX1"
5.49742317249305e-74,1.53751444797581,0.505,0.345,1.3669342718404e-69,"2","S100A8"
4.30391718855002e-207,1.53354962508043,0.473,0.225,1.07016900893296e-202,"2","PLAUR"
2.46944391085063e-105,1.50720098011404,0.261,0.115,6.1402722843301e-101,"2","GJB6"
1.8980494271271e-234,1.50012326848469,0.61,0.335,4.71949990055153e-230,"2","GJB2"
1.36964243084395e-154,1.49732418510094,0.601,0.418,3.40561590429349e-150,"2","S100A2"
4.41368522726282e-95,1.48396099299777,0.294,0.148,1.0974628317589e-90,"2","LGALSL"
1.03889211831519e-97,1.47412329193603,0.258,0.115,2.58320525219073e-93,"2","SERPINB2"
1.37901785368137e-225,1.44762178180732,0.547,0.288,3.42892789317872e-221,"2","VEGFA"
2.12237642853124e-199,1.44620272550505,0.599,0.364,5.27728898954293e-195,"2","EMP1"
9.68968320754861e-80,1.42476718315459,0.474,0.319,2.40933972955696e-75,"2","LY6D"
3.1120766255913e-188,1.41108051409253,0.483,0.242,7.73817852953276e-184,"2","TGFBI"
0,1.40772521027432,0.954,0.761,0,"2","MAL2"
6.12352207578938e-128,1.40524245468297,0.465,0.278,1.52261376414503e-123,"2","SCD"
2.41722538170672e-100,1.38928693481708,0.349,0.19,6.01043091161377e-96,"2","EFNB2"
5.04581443486089e-122,1.37389897883457,0.355,0.174,1.25464175922816e-117,"2","KCNG1"
2.48283572601432e-58,1.34241384463788,0.327,0.214,6.17357103273461e-54,"2","CCDC91"
7.24482313450041e-67,1.32971065821662,0.251,0.132,1.80142527239353e-62,"2","DOCK9"
3.87041717625558e-92,1.32854727540334,0.431,0.285,9.6237923087595e-88,"2","AL445524.1"
2.66278870513047e-214,1.32569842253014,0.596,0.347,6.62102411530692e-210,"2","SLC2A1"
1.24024439936893e-88,1.30973317802412,0.364,0.213,3.08386769903084e-84,"2","GAN"
2.70283945498266e-278,1.3089239906374,0.808,0.559,6.72061030481439e-274,"2","ANXA1"
5.91649141532056e-87,1.26279178772011,0.427,0.28,1.47113559041946e-82,"2","TMEM159"
1.76628769790013e-150,1.26096063673922,0.511,0.303,4.39187436082868e-146,"2","IRS2"
1.39049377233803e-279,1.2536032993501,0.799,0.593,3.45746276491851e-275,"2","TMEM45A"
1.26902958962022e-164,1.2526265963594,0.568,0.325,3.15544207459069e-160,"2","LCN2"
9.40315076255049e-75,1.24923267082332,0.257,0.131,2.33809343710818e-70,"2","CAMK1D"
3.52434252887475e-120,1.24405673870409,0.424,0.234,8.76327769804707e-116,"2","STC2"
1.10518190872693e-136,1.24169638937683,0.508,0.311,2.7480348160495e-132,"2","PIM1"
1.60497511408778e-234,1.2258297028276,0.792,0.601,3.99077062117926e-230,"2","SERPINB5"
1.10039885012235e-66,1.22478243637915,0.425,0.281,2.73614174082923e-62,"2","SERPINE2"
3.19367616160852e-124,1.21194132151956,0.426,0.236,7.94107577583959e-120,"2","RAB11FIP1"
9.78904972675307e-52,1.2035148904025,0.346,0.243,2.43404721455715e-47,"2","DNAJB9"
6.66001598639721e-110,1.1930511741272,0.5,0.315,1.65601297501767e-105,"2","CLDN1"
