"Var1","Var2","Freq"
"GSM4909281","Tumor_like",952
"GSM4909282","Tumor_like",13885
"GSM4909283","Tumor_like",0
"GSM4909284","Tumor_like",23
"GSM4909285","Tumor_like",4819
"GSM4909286","Tumor_like",1
"GSM4909287","Tumor_like",336
"GSM4909288","Tumor_like",40
"GSM4909281","Normal_like",6
"GSM4909282","Normal_like",14
"GSM4909283","Normal_like",35
"GSM4909284","Normal_like",86
"GSM4909285","Normal_like",32
"GSM4909286","Normal_like",2
"GSM4909287","Normal_like",217
"GSM4909288","Normal_like",241
"GSM4909281","Unknown",59
"GSM4909282","Unknown",444
"GSM4909283","Unknown",13
"GSM4909284","Unknown",39
"GSM4909285","Unknown",98
"GSM4909286","Unknown",34
"GSM4909287","Unknown",255
"GSM4909288","Unknown",514
