"","Tumor_like","Normal_like","Unknown"
"Mesenchymal / contractile epithelial",370,0,10
"ECM-remodeling epithelial",576,0,31
"Interferon / stress-responsive epithelial",39,89,404
"Secretory inflammatory luminal  epithelial",29,155,7
"ER+ / luminal mature epithelial",8,150,19
"Basal epithelial with immune signal",0,0,183
"Basal / squamous epithelial",7643,13,353
"Mitotic basal epithelial",6234,0,66
"Myoepithelial / ECM-producing epithelial",5,171,90
"EMT-high basal invasive epithelial",2929,2,55
"Apocrine / luminal secretory epithelial",21,12,33
"Highly proliferative basal epithelial",858,0,0
"ALDH1A1+ luminal progenitor  epithelial",1023,0,1
"MHC-II antigen-presenting epithelial",321,41,204
