"","BRCA1_tumour","TotalCell"
"Mesenchymal / contractile epithelial",0,2.5
"ECM-remodeling epithelial",0,3.9
"Interferon / stress-responsive epithelial",0.5,0.1
"Secretory inflammatory luminal  epithelial",0.5,0
"ER+ / luminal mature epithelial",0.2,0
"Basal / squamous epithelial",0,51.4
"Mitotic basal epithelial",0,42
"Myoepithelial / ECM-producing epithelial",0.1,0
"EMT-high basal invasive epithelial",56.4,0
"Apocrine / luminal secretory epithelial",0,0.1
"Highly proliferative basal epithelial",16.5,0
"ALDH1A1+ luminal progenitor  epithelial",19.7,0
"MHC-II antigen-presenting epithelial",6.2,0
