"","BRCA1_tumour","TotalCell"
"Mesenchymal / contractile epithelial",0,370
"ECM-remodeling epithelial",0,576
"Interferon / stress-responsive epithelial",25,14
"Secretory inflammatory luminal  epithelial",27,2
"ER+ / luminal mature epithelial",8,0
"Basal / squamous epithelial",0,7643
"Mitotic basal epithelial",0,6234
"Myoepithelial / ECM-producing epithelial",5,0
"EMT-high basal invasive epithelial",2929,0
"Apocrine / luminal secretory epithelial",0,21
"Highly proliferative basal epithelial",858,0
"ALDH1A1+ luminal progenitor  epithelial",1023,0
"MHC-II antigen-presenting epithelial",321,0
