"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
2.62226641131087e-153,-12.3300290505144,0,0.122,6.52026543172448e-149,"SPRR2D","Higher_in_TotalCell",-0.122
8.79386864707665e-125,-10.4201298299569,0,0.101,2.18659543909561e-120,"C10orf99","Higher_in_TotalCell",-0.101
2.86641788408423e-205,-9.85603928236809,0,0.16,7.12734806877544e-201,"IL36G","Higher_in_TotalCell",-0.16
0,-9.64401230033163,0.001,0.271,0,"SPRR2A","Higher_in_TotalCell",-0.27
2.48825253639236e-190,-9.47346089649142,0.003,0.154,6.18703993173959e-186,"S100A7","Higher_in_TotalCell",-0.151
2.74624982513408e-125,-8.93573358919363,0,0.102,6.82855019019588e-121,"DSG1","Higher_in_TotalCell",-0.102
8.83605946649765e-141,-8.80331607058236,0,0.114,2.19708618634464e-136,"CES1","Higher_in_TotalCell",-0.114
0,-8.7968602827579,0.006,0.599,0,"APOD","Higher_in_TotalCell",-0.593
2.51144080600236e-182,-8.60644616999878,0.001,0.145,6.24469756412487e-178,"FFAR2","Higher_in_TotalCell",-0.144
0,-8.19104137334308,0.006,0.287,0,"SBSN","Higher_in_TotalCell",-0.281
0,-7.86878643004161,0.004,0.381,0,"TMEM176A","Higher_in_TotalCell",-0.377
5.20788623258174e-227,-7.79118347756392,0.002,0.179,1.29494091173145e-222,"CLCA2","Higher_in_TotalCell",-0.177
1.19586693102155e-210,-7.77605999580368,0.003,0.168,2.97352312398508e-206,"AC239800.2","Higher_in_TotalCell",-0.165
4.31784612962426e-164,-7.69488006221976,0.001,0.132,1.07363244013107e-159,"IL36RN","Higher_in_TotalCell",-0.131
1.03582162487512e-203,-7.26859336956842,0.002,0.162,2.57557047025198e-199,"LPL","Higher_in_TotalCell",-0.16
1.30815103620792e-247,-7.22030288220076,0.003,0.193,3.252717551531e-243,"SERPINB2","Higher_in_TotalCell",-0.19
0,-6.93252675037136,0.007,0.371,0,"TMEM176B","Higher_in_TotalCell",-0.364
0,-6.83245081236982,0.015,0.515,0,"S100A8","Higher_in_TotalCell",-0.5
5.87857126943494e-138,-6.7174399958341,0.002,0.115,1.461706746145e-133,"PPP1R1A","Higher_in_TotalCell",-0.113
6.19472376973776e-293,-6.61531007078682,0.023,0.252,1.54031806534529e-288,"KRTDAP","Higher_in_TotalCell",-0.229
1.37616695189451e-286,-6.60803502654679,0.005,0.222,3.42183912588571e-282,"STEAP1","Higher_in_TotalCell",-0.217
0,-6.59893303485672,0.015,0.369,0,"MFAP5","Higher_in_TotalCell",-0.354
2.89392522154336e-167,-6.50474761054844,0.002,0.137,7.19574506336757e-163,"IRX1","Higher_in_TotalCell",-0.135
0,-6.33731103103917,0.007,0.409,0,"PI3","Higher_in_TotalCell",-0.402
0,-6.28178381746828,0.01,0.265,0,"HMSD","Higher_in_TotalCell",-0.255
1.58826653673218e-190,-6.1654444414247,0.006,0.16,3.94922474358457e-186,"FOXQ1","Higher_in_TotalCell",-0.154
6.596175870343e-176,-6.10068846232761,0.004,0.146,1.64013913016079e-171,"VNN1","Higher_in_TotalCell",-0.142
