"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Enrichment_Group"
"hsa05416","Viral myocarditis",31,-0.659472233552484,-2.2482736387996,5.10238965028294e-06,0.000699487231791404,0.000571861491254025,1446,"tags=74%, list=25%, signal=56%","8910/54205/3113/1605/27/60/3123/637/3107/836/3133/3122/3106/8082/3119/6645/3108/5879/3105/857/3134/3127/3383","TotalCell"
"hsa04657","IL-17 signaling pathway",39,-0.624724161484862,-2.23699785456934,6.99487231791404e-06,0.000699487231791404,0.000571861491254025,562,"tags=33%, list=10%, signal=30%","8517/5597/836/1051/4792/7124/6347/3934/6280/2919/6364/6279/6278","TotalCell"
"hsa04382","Cornified envelope formation",71,-0.548523402103026,-2.19492982741195,3.06940102588614e-06,0.000699487231791404,0.000571861491254025,866,"tags=38%, list=15%, signal=33%","55012/2531/3728/11240/3872/6275/1364/23254/55844/5045/28227/3691/3918/25984/3887/3866/5493/9076/3853/1830/3909/6280/6279/1828/6278/6700/6703","TotalCell"
"hsa05330","Allograft rejection",12,-0.820912221527955,-2.19305385120613,1.48336616917267e-05,0.000741683084586333,0.000606358451609177,858,"tags=92%, list=15%, signal=78%","3123/3107/3133/3122/3106/3119/3108/3105/7124/3134/3127","TotalCell"
"hsa05332","Graft-versus-host disease",12,-0.820912221527955,-2.19305385120613,1.48336616917267e-05,0.000741683084586333,0.000606358451609177,858,"tags=92%, list=15%, signal=78%","3123/3107/3133/3122/3106/3119/3108/3105/7124/3134/3127","TotalCell"
"hsa04610","Complement and coagulation cascades",15,-0.76798426399894,-2.16166796022897,1.10967818001397e-05,0.000741683084586333,0.000606358451609177,771,"tags=60%, list=13%, signal=52%","715/2157/5329/716/5627/5270/7056/5328/5055","TotalCell"
"hsa05320","Autoimmune thyroid disease",11,-0.817255762117724,-2.14109410093051,3.75393340246524e-05,0.00160882860105653,0.00131528794402165,858,"tags=91%, list=15%, signal=78%","3123/3107/3133/3122/3106/3119/3108/3105/3134/3127","TotalCell"
"hsa05150","Staphylococcus aureus infection",19,-0.719072471380373,-2.1792389904952,5.7525980895412e-05,0.0017565906117072,0.00143608986851852,858,"tags=68%, list=15%, signal=59%","3123/715/3872/1672/3122/25984/3119/3866/716/3108/3127/3383/1828","TotalCell"
"hsa04612","Antigen processing and presentation",35,-0.601344888953199,-2.09813175869803,5.57921127305796e-05,0.0017565906117072,0.00143608986851852,937,"tags=51%, list=16%, signal=43%","5721/3123/6892/3107/972/1508/6890/567/3133/3122/3106/3119/3108/3105/55080/7124/3134/3127","TotalCell"
"hsa04668","TNF signaling pathway",55,-0.544512992511429,-2.08532350025653,5.85530203902401e-05,0.0017565906117072,0.00143608986851852,1202,"tags=45%, list=21%, signal=36%","64285/4790/4323/6868/3726/1326/207/5595/5604/8517/836/602/1906/1051/9021/3976/79651/4792/840/7124/6347/64127/3383/2919/6364","TotalCell"
"hsa04940","Type I diabetes mellitus",14,-0.758351106823114,-2.10929710354615,7.60262475403898e-05,0.0020734431147379,0.00169513068678573,858,"tags=79%, list=15%, signal=67%","3123/3107/3133/3122/3106/3119/3108/3105/7124/3134/3127","TotalCell"
