"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Enrichment_Group"
"R-HSA-6803157","Antimicrobial peptides",10,-0.886004722228719,-2.2309294724327,3.62986548251222e-07,0.000389847552821812,0.000364514912664911,66,"tags=70%, list=1%, signal=69%","1672/3934/6280/57115/5266/6279/6278","TotalCell"
"R-HSA-6805567","Keratinization",27,-0.662209059585706,-2.16526868212491,2.49374569903238e-05,0.00334785360095096,0.0031303071011538,777,"tags=52%, list=13%, signal=45%","3728/3872/23254/5045/1825/25984/3887/3866/5493/3853/1475/5266/6700/6703","TotalCell"
"R-HSA-6809371","Formation of the cornified envelope",27,-0.662209059585706,-2.16526868212491,2.49374569903238e-05,0.00334785360095096,0.0031303071011538,777,"tags=52%, list=13%, signal=45%","3728/3872/23254/5045/1825/25984/3887/3866/5493/3853/1475/5266/6700/6703","TotalCell"
"R-HSA-449147","Signaling by Interleukins",181,-0.404776619832215,-1.80827999108177,1.78133199905232e-05,0.00334785360095096,0.0031303071011538,937,"tags=28%, list=16%, signal=24%","5721/1326/207/4205/6627/301/2002/8660/5595/332/5687/57162/11274/998/29760/5604/598/5478/3597/8517/9235/3654/4478/834/5292/302/9021/3976/5782/53833/6095/146433/6648/4792/7076/4067/9180/3556/6288/1052/6347/3934/64127/3383/2919/6364/4692/5055/26525/56300","TotalCell"
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",28,-0.61296972688142,-2.01452138640652,0.000237656247149275,0.0141801560799067,0.0132587169462227,539,"tags=46%, list=9%, signal=42%","1889/1906/53637/1907/58191/23596/183/4935/6288/6347/2919/6364/2867","TotalCell"
"R-HSA-416476","G alpha (q) signalling events",29,-0.598190304639106,-1.98526394647769,0.000468087033869734,0.0228910899233799,0.0214036065734631,1019,"tags=55%, list=17%, signal=46%","3265/1956/301/4828/5595/10681/2783/1906/26090/10125/1907/1839/183/4935/6288/2867","TotalCell"
"R-HSA-9725554","Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin",17,-0.67852891632902,-1.99106185816162,0.00067688578839077,0.0290790134692675,0.0271894333526229,606,"tags=41%, list=10%, signal=37%","2707/3691/3866/93099/388533/374897/6700","TotalCell"
"R-HSA-500792","GPCR ligand binding",43,-0.530561488521889,-1.91385954324415,0.000667754633999544,0.0290790134692675,0.0271894333526229,852,"tags=47%, list=15%, signal=40%","301/8323/4828/10681/8321/2783/1889/133/1906/53637/1907/58191/23596/183/4935/6288/6347/2919/6364/2867","TotalCell"
"R-HSA-877300","Interferon gamma signaling",38,-0.555697315823919,-1.96602978808702,0.000764005369093572,0.0292757872986476,0.0273734206438399,858,"tags=42%, list=15%, signal=36%","3123/5595/3664/3107/3660/4502/567/3133/3122/9021/3106/3119/3105/3134/3127/3383","TotalCell"
"R-HSA-9918485","Dengue Virus Attachment and Entry",23,-0.620465457832355,-1.93676773535567,0.000887867155433995,0.0292757872986476,0.0273734206438399,483,"tags=39%, list=8%, signal=36%","5045/9672/6385/3339/2817/9076/5627/10082/2621","TotalCell"
"R-HSA-445144","Signal transduction by L1",11,-0.734682012183491,-1.90893096690372,0.000899535363924927,0.0292757872986476,0.0273734206438399,942,"tags=73%, list=16%, signal=61%","1956/5595/1459/5058/5604/5605/5879/2260","TotalCell"
"R-HSA-2024096","HS-GAG degradation",11,-0.734635908209452,-1.90881117452786,0.000899535363924927,0.0292757872986476,0.0273734206438399,540,"tags=64%, list=9%, signal=58%","138050/9672/6385/3423/3339/2817/10082","TotalCell"
"R-HSA-1280215","Cytokine Signaling in Immune system",320,-0.325691641556295,-1.53246919549794,0.00086427625202159,0.0292757872986476,0.0273734206438399,1387,"tags=32%, list=24%, signal=26%","5515/25820/10762/54472/3113/25970/7422/8554/7979/9246/23650/51330/4790/8894/10581/4690/5306/7329/6624/79155/6845/9688/27/4055/3265/6868/3726/2316/2175/60/5721/1326/201254/207/4205/6627/3123/301/2002/8877/8660/5595/6923/332/5687/1958/3664/57162/9040/11274/998/1445/29760/3107/5604/598/5478/3597/8517/9235/3654/5045/3669/4478/3660/834/5971/4502/5292/302/567/3133/3122/9021/3976/3106/3119/5782/53833/6095/146433/6648/4792/7076/4067/3105/9180/3556/6288/1052/6347/3934/64127/3134/3127/3383/2919/6364/4692/5055/26525/56300","TotalCell"
"R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",15,-0.698960763318676,-1.98951177582707,0.00128946217108333,0.0384689547706526,0.0359692079302192,647,"tags=60%, list=11%, signal=53%","3107/3385/567/3133/3106/975/3105/3134/3383","TotalCell"
"R-HSA-1236977","Endosomal/Vacuolar pathway",10,-0.748749835091691,-1.88532637882935,0.00160681148284564,0.0454135666467426,0.0424625527599651,698,"tags=70%, list=12%, signal=62%","1515/3107/567/3133/3106/3105/3134","TotalCell"
