"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Enrichment_Group","Database","NegLog10_Padj","Abs_NES","Direction","Redundancy_Group","Description_wrapped"
"GO:0061383","trabecula morphogenesis",19,0.649167290634926,2.29973491856052,7.41178603971829e-05,0.00263788994575497,0.00219269980984548,288,"tags=47%, list=5%, signal=45%","5950/23462/30061/7059/9510/57211/6654/23493/4666","BRCA1_tumour","GO_BP",2.57874332742057,2.29973491856052,"BRCA1_tumour","Tissue_Morphogenesis","trabecula morphogenesis"
"R-HSA-156842","Eukaryotic Translation Elongation",77,0.442086207520187,2.14043309371384,6.65587368759947e-06,0.0030108170520381,0.00281517148646903,1762,"tags=60%, list=30%, signal=42%","6158/6228/6193/1933/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/6141/6161/6208/6142/6128/6229/6206/6201/200916/1938/6155/1915/6147/6132/6223/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/6146/6138/6202/7311","BRCA1_tumour","Reactome",2.52131563296423,2.14043309371384,"BRCA1_tumour","Translation_Ribosome","Eukaryotic Translation Elongation"
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",80,0.417356148958521,2.06869020230368,1.84366709580252e-05,0.00334785360095096,0.0031303071011538,1762,"tags=57%, list=30%, signal=41%","6158/6228/6193/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/6141/6161/6208/6142/6128/6229/6206/6201/200916/6155/1981/6147/6132/22916/6223/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/6146/4686/6138/6202/7311","BRCA1_tumour","Reactome",2.4752335416254,2.06869020230368,"BRCA1_tumour","Nonsense_Mediated_Decay","Nonsense Mediated Decay (NMD) independent of the Exon
Junction Complex (EJC)"
"R-HSA-2408557","Selenocysteine synthesis",77,0.418646728766416,2.02694700170162,4.81750641098377e-05,0.00489673724356012,0.00457854290929761,1762,"tags=57%, list=30%, signal=40%","6158/6228/6193/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/22928/6141/6161/6208/6142/6128/6229/6206/6201/200916/6155/6147/6132/6223/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/6146/6138/6202/7311","BRCA1_tumour","Reactome",2.31009319937846,2.02694700170162,"BRCA1_tumour","Selenocysteine_Selenoamino_Acid_Metabolism","Selenocysteine synthesis"
"R-HSA-168273","Influenza Viral RNA Transcription and Replication",112,0.362471234965441,1.939452142105,5.65009477958955e-05,0.00505683482773264,0.00472823721028809,1605,"tags=48%, list=27%, signal=36%","6158/6228/6193/6217/6231/6130/57122/6205/6203/23521/6165/6171/6230/6152/6144/6141/6161/5431/6208/6142/6128/6229/6206/6201/200916/2926/142/129401/2963/6155/5437/23636/6147/6132/5903/6223/6222/3320/79023/6154/8021/9349/6143/6125/6133/8086/6204/6396/55746/2197/6189/4736/6166/6159","BRCA1_tumour","Reactome",2.29612123157129,1.939452142105,"BRCA1_tumour","Viral_Response_Infection","Influenza Viral RNA Transcription and Replication"
"R-HSA-9927418","Developmental Lineage of Mammary Gland Luminal Epithelial Cells",14,0.695271931524386,2.27238778584051,0.000176437802050979,0.0126329466268501,0.0118120465373076,639,"tags=57%, list=11%, signal=51%","216/3815/2001/3856/3852/3880/3875/4072","BRCA1_tumour","Reactome",1.8984953387143,2.27238778584051,"BRCA1_tumour","Independent_Developmental Lineage of Mammary Gland Luminal Epithelial Cells","Developmental Lineage of Mammary Gland Luminal
Epithelial Cells"
"GO:0043010","camera-type eye development",97,0.332800212711199,1.72822374779136,0.00137245449032899,0.0233130110470884,0.0193785320620137,1003,"tags=32%, list=17%, signal=27%","81029/10083/5950/1545/10763/10220/6664/7431/6654/84879/4124/10765/5204/3066/6152/80184/4774/6774/659/3150/86/2625/10818/60436/1739/23770/1410/6497/5818/2896/56890","BRCA1_tumour","GO_BP",1.63240163052561,1.72822374779136,"BRCA1_tumour","Independent_camera-type eye development","camera-type eye development"
"hsa04916","Melanogenesis",35,0.476249319293442,1.98006437791534,0.0020319291731212,0.025399114664015,0.0207648902340895,60,"tags=14%, list=1%, signal=14%","810/81029/2535/3815/5443","BRCA1_tumour","KEGG",1.59518142130266,1.98006437791534,"BRCA1_tumour","Melanogenesis","Melanogenesis"
"R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency",84,0.348932450428918,1.75166590295549,0.00115578210537652,0.0354659994621253,0.0331613873241866,1762,"tags=52%, list=30%, signal=37%","6158/6228/6193/6217/6231/6130/6205/6203/23521/6165/6171/6230/6152/6144/6141/6161/6208/6142/6128/6229/6206/6201/200916/6155/6147/6132/6223/6222/6154/9349/6143/6125/6133/6204/2197/6189/4736/6166/6159/1386/6146/6138/6202/7311","BRCA1_tumour","Reactome",1.45018779685395,1.75166590295549,"BRCA1_tumour","Independent_Response of EIF2AK4 (GCN2) to amino acid deficiency","Response of EIF2AK4 (GCN2) to amino acid deficiency"
"GO:0034643","establishment of mitochondrion localization, microtubule-mediated",12,0.654222042390698,1.98203656353317,0.00266567011553213,0.0375909781952588,0.0312468421487004,1399,"tags=75%, list=24%, signal=57%","4137/6683/4131/23095/51566/55201/4976/55860/3091","BRCA1_tumour","GO_BP",1.42491637289551,1.98203656353317,"BRCA1_tumour","Independent_establishment of mitochondrion localization, microtubule-mediated","establishment of mitochondrion localization,
microtubule-mediated"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",118,-0.575270919800007,-2.47882747127734,1e-10,4.9e-09,3.05263157894737e-09,1263,"tags=52%, list=22%, signal=41%","5966/7050/1827/4790/4814/23645/10318/7262/3280/79155/4616/7127/3726/1326/8877/8660/1958/4794/4929/6446/2683/687/6303/7071/4783/80149/5971/1942/602/1906/1647/5329/9516/6890/9308/79693/1051/6385/1843/9021/3976/1839/23764/6648/4792/51278/8303/5271/7124/5791/7832/1052/6347/3383/2919/1847/8942/6364/5328/7130/5055","TotalCell","Hallmark",8.30980391997149,2.47882747127734,"TotalCell","TNF_NFkB_Signaling","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"GO:0009611","response to wounding",208,-0.487246995256809,-2.21262359783486,1e-10,7.474e-08,6.21263157894737e-08,1060,"tags=37%, list=18%, signal=31%","9525/56963/3265/6868/5912/50848/2316/8573/60/11057/50808/977/83481/301/8323/4781/9289/6696/2157/64332/3611/2683/7423/5058/2908/1364/5604/5905/27183/5478/3693/834/836/6558/53905/26509/1906/22876/5329/5605/349565/3315/302/634/3691/8428/4627/5873/6385/79643/678/10867/10398/1839/7168/6648/7076/5493/4067/840/5728/5879/9076/7124/3853/5627/857/6288/5270/2621/2303/7056/4638/5328/5055/347","TotalCell","GO_BP",7.12644690648638,2.21262359783486,"TotalCell","Wound_Healing_Tissue_Repair","response to wounding"
"GO:0032101","regulation of response to external stimulus",361,-0.436758898686552,-2.070271489277,1e-10,7.474e-08,6.21263157894737e-08,1201,"tags=34%, list=21%, signal=29%","4790/4814/55146/10318/3920/148022/54915/84233/79155/6845/79184/56963/57402/60343/57509/22978/81844/6868/29108/2175/8573/7511/1326/207/55872/23075/10084/55012/3123/83481/301/8877/5595/6696/7784/5687/84243/64332/57162/9093/55765/11240/11274/7423/5058/3107/1948/5604/2017/3654/972/26471/1050/23604/3916/5045/80149/834/836/6558/54606/1906/22876/5292/5329/5605/3315/23170/55829/302/634/3133/8428/84937/1051/26090/1843/9021/114769/3106/10125/1907/9424/53833/6095/7114/79651/146433/284340/4792/183/4067/5728/5879/975/3105/57118/9180/7124/5627/2260/857/54/9048/9536/80342/6288/3620/5270/6347/6280/64127/2621/3134/284207/7056/4681/5328/7130/6279/5055/4023/2867/6278","TotalCell","GO_BP",7.12644690648638,2.070271489277,"TotalCell","Independent_regulation of response to external stimulus","regulation of response to external stimulus"
"GO:0033993","response to lipid",323,-0.436249917031236,-2.05419151000519,1e-10,7.474e-08,6.21263157894737e-08,1066,"tags=32%, list=18%, signal=28%","8725/9525/57402/27/23019/6868/3726/29108/5447/3399/1956/8841/11057/6502/207/2146/10499/29966/301/2002/5595/6696/3638/114907/64332/57162/11240/6446/5058/687/1032/2908/6319/2180/55325/1364/1948/8273/5604/8611/3654/6591/441376/1050/2805/6715/80149/834/8754/836/415116/3988/1512/55593/1906/10076/5292/9516/55829/567/1051/8932/1843/114769/6422/678/6095/3490/6648/4792/4067/644/840/11170/5879/7026/9076/7124/2026/54541/857/54/10081/2021/3294/1869/7832/8614/6781/3485/3620/6347/3934/64127/7056/6279/4023/26525/2867/1066/1828/6278/56300","TotalCell","GO_BP",7.12644690648638,2.05419151000519,"TotalCell","Lipid_Response_Metabolism","response to lipid"
"GO:0040011","locomotion",417,-0.410796787638909,-1.96607331733925,1e-10,7.474e-08,6.21263157894737e-08,1449,"tags=42%, list=25%, signal=34%","2013/91862/51192/4267/3486/93185/999/9168/9585/3418/10928/102/10966/4301/253260/7422/4204/23654/8874/1605/6662/5911/25855/1827/8473/2195/5928/23625/79641/4814/55146/7262/4690/22998/11151/54915/306/4323/7329/55604/57402/27/57509/397/382/3265/6868/5912/29108/2316/10519/5479/1956/11057/6386/207/23075/3621/2146/977/83481/301/8877/3480/8660/9289/5595/4070/7784/3728/123920/55848/9748/3958/11240/8766/6446/7423/998/5058/25932/6275/1364/1948/5604/2017/5478/6591/55742/972/23604/1672/80149/4478/8754/7499/1942/6558/1512/53905/1906/10076/1647/22876/9564/5329/3622/54982/5605/1890/3315/23616/54453/634/8828/10509/8428/3910/6385/25777/1843/6422/3918/1907/7114/9982/1839/146433/7168/284340/6648/58191/183/7076/4067/644/11170/5728/5879/975/7026/9076/440335/57118/51421/7124/1009/1830/23213/2260/857/152007/9048/3909/8819/6288/6781/5270/6347/3934/6280/2621/59/3383/2919/6364/2303/4638/4681/5328/7130/6279/2867/347/6278","TotalCell","GO_BP",7.12644690648638,1.96607331733925,"TotalCell","Migration_Chemotaxis","locomotion"
"GO:0007155","cell adhesion",452,-0.405688383536433,-1.9486444305266,1e-10,7.474e-08,6.21263157894737e-08,1022,"tags=34%, list=17%, signal=30%","382/6868/5912/9993/50848/29108/2316/10519/8573/27076/60/1956/1326/9223/207/23075/977/84168/3123/301/4008/145864/9289/5595/6696/4070/7784/3728/965/29766/10458/64332/56672/5621/57162/9748/3611/9093/7045/3958/6522/2683/998/1445/26515/7791/1947/1364/1948/10428/5604/3385/2017/152015/78999/11135/5478/8581/9235/55971/3654/6591/55742/972/9200/80149/3693/4478/8754/836/7499/1942/10049/481/10076/9564/5329/3315/3959/54453/84807/302/634/3691/567/8828/1825/3133/865/9308/3122/4627/1051/3910/4155/6385/1843/11078/6422/3976/3918/10125/8082/29117/11124/10867/3119/53833/3339/151887/23037/10398/5097/3490/7168/6461/4067/3108/11170/5728/5879/975/5271/9076/3105/7124/3556/1001/1009/1830/9473/857/1475/4240/3909/6288/3485/3620/5270/6347/6280/64127/2621/3127/3383/2303/5328/7130/8876/6279/9635/347/1828","TotalCell","GO_BP",7.12644690648638,1.9486444305266,"TotalCell","Cell_Adhesion","cell adhesion"
"GO:0006954","inflammatory response",265,-0.443470905145687,-2.06280284649895,2.06509942007407e-10,9.64659566602102e-08,8.01856366926131e-08,1016,"tags=31%, list=17%, signal=27%","6868/50848/29108/2175/7511/1326/207/55872/2146/3123/301/8877/5595/7784/5687/2157/64332/55848/2683/11274/29760/2908/8517/133/26471/1050/5045/80149/834/836/5971/3988/55829/84807/3133/1051/26090/9021/10125/9424/53833/3339/6095/7114/79651/146433/284340/4792/183/1116/7076/4067/644/840/6289/5879/975/57118/9180/7124/3556/9473/54/9536/6288/3620/27040/6347/3934/6280/64127/284207/2919/6364/7130/8876/6279/4023/26525/2867/347/56300","TotalCell","GO_BP",7.01562592440887,2.06280284649895,"TotalCell","Inflammatory_Response","inflammatory response"
"GO:0009617","response to bacterium",197,-0.479475467895541,-2.16804745074394,6.14490806954277e-10,1.94740232260555e-07,1.61874406828133e-07,562,"tags=30%, list=10%, signal=28%","55636/3123/4781/5595/140823/64332/57162/55765/11274/1948/8517/3654/133/1672/80149/834/8754/836/55593/602/1906/5292/9516/55829/567/3133/1051/6035/10406/114769/3106/151887/6648/4792/4067/644/840/5879/9076/3105/7124/3853/857/54/1869/3620/6347/3934/6280/64127/57115/6364/7056/5266/6279/4023/26525/6278/6700/56300","TotalCell","GO_BP",6.71054431636003,2.16804745074394,"TotalCell","Microbial_Response","response to bacterium"
"GO:0001775","cell activation",369,-0.408510307992984,-1.93829673283143,5.21900477890923e-10,1.94740232260555e-07,1.61874406828133e-07,1169,"tags=35%, list=20%, signal=30%","4690/3280/1465/11151/4775/148022/1499/306/4323/864/79155/6845/10419/27/4055/6868/5912/50848/3726/29108/2316/25989/2175/896/60/1326/207/2730/23075/2146/977/55012/55636/3123/301/8323/8877/56262/8660/9289/5595/7784/1958/688/22976/637/64332/5621/57162/3611/9093/10467/3958/6522/1445/29760/1947/1948/64784/4783/5478/8581/29781/26022/972/1050/3916/80149/4478/8754/836/5971/10397/3988/602/1906/3315/84807/634/567/3133/865/9308/3122/4627/1051/5873/6385/118460/9021/6422/10125/4495/29117/1907/678/10867/3119/53833/6095/10398/8459/6461/4067/3108/975/27434/3105/7124/9473/5791/857/30011/9935/6288/3485/3620/5270/27040/6347/64127/2621/3134/59/3127/3383/7056/161882/8876","TotalCell","GO_BP",6.71054431636003,1.93829673283143,"TotalCell","Cell_Activation","cell activation"
"GO:0032102","negative regulation of response to external stimulus",126,-0.525736926960396,-2.24860912957654,4.35050365555854e-09,8.12891608041113e-07,6.75701909871224e-07,483,"tags=38%, list=8%, signal=36%","56963/60343/22978/8573/55872/3123/83481/6696/84243/9093/11240/11274/5045/6558/1906/22876/5292/5329/23170/55829/302/634/3133/1843/9021/114769/3106/53833/6095/7114/79651/284340/4067/5728/3105/7124/5627/54/6288/5270/6347/3134/284207/7056/4681/5328/7130/5055","TotalCell","GO_BP",6.08996735990156,2.24860912957654,"TotalCell","Independent_negative regulation of response to external stimulus","negative regulation of response to external stimulus"
