"CellType","Total_TNBC","BRCA1_mutant","Difference_BRCA1_minus_Total"
"B_cell",0.0219828002705575,0.119508724167801,0.0975259238972435
"CMP",0.00328534157889651,0.000649672070288331,-0.00263566950860818
"DC-Monocyt",0.0120301478403711,0.0194592253433981,0.00742907750302704
"Endothelial_cells",0.00386510773987825,0.0322670461576538,0.0284019384177755
"Fibroblasts-Tissue_stem_cells",0.0223209971977969,0.0438064595965846,0.0214854623987877
"iPS_cells",0.00101459078171804,0.131945303799035,0.130930713017317
"Macrophage",0.067397816214127,0.113940106422472,0.0465422902083455
"NK_cell-T_cells",0.14189776790028,0.347574557604257,0.205676789703977
"Normal_Epithelial",0.00681225239153541,0.015220888503898,0.00840863611236262
"Pre-B_cell_CD34-",0.00144941540245434,0.014880584086128,0.0134311686836736
"Tumor_Epithelial",0.717943762682385,0.160747432248484,-0.557196330433901
