"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblasts-Tissue_stem_cells","Fibroblasts-Tissue_stem_cells","FGF7","FGFR1",0.0047968302438613,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"Fibroblasts-Tissue_stem_cells","iPS_cells","FGF7","FGFR1",0.00268528973535409,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"Fibroblasts-Tissue_stem_cells","iPS_cells","FGF7","FGFR2",0.00274520278896217,0,"FGF7_FGFR2","FGF7 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"Macrophage","Macrophage","CCL5","CCR1",0.00273837290398827,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"NK_cell-T_cells","Macrophage","CCL5","CCR1",0.0274504711317539,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Macrophage","Macrophage","CCL3","CCR1",0.0181112739369955,0,"CCL3_CCR1","CCL3 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"Macrophage","Macrophage","CCL3L1","CCR1",0.00379680164049116,0,"CCL3L1_CCR1","CCL3L1 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"DC-Monocyt","Pre-B_cell_CD34-","CXCL9","CXCR3",0.00277038618270002,0,"CXCL9_CXCR3","CXCL9 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Macrophage","Pre-B_cell_CD34-","CXCL9","CXCR3",0.00226765518404345,0,"CXCL9_CXCR3","CXCL9 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Macrophage","Pre-B_cell_CD34-","CXCL10","CXCR3",0.00505612980507364,0,"CXCL10_CXCR3","CXCL10 - CXCR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"Fibroblasts-Tissue_stem_cells","B_cell","CXCL12","CXCR4",0.0519384629115063,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Fibroblasts-Tissue_stem_cells","DC-Monocyt","CXCL12","CXCR4",0.0478052757718157,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Fibroblasts-Tissue_stem_cells","Endothelial_cells","CXCL12","CXCR4",0.012775648497167,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Fibroblasts-Tissue_stem_cells","Macrophage","CXCL12","CXCR4",0.0421396668707368,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Fibroblasts-Tissue_stem_cells","NK_cell-T_cells","CXCL12","CXCR4",0.0782800063493577,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Fibroblasts-Tissue_stem_cells","Pre-B_cell_CD34-","CXCL12","CXCR4",0.0905980347360017,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","CXCL12","CXCR4",0.0209292545213269,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"B_cell","B_cell","MIF","CD74_CXCR4",0.0172311262278688,0.03,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CMP","B_cell","MIF","CD74_CXCR4",0.0277890510053764,0.04,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"DC-Monocyt","B_cell","MIF","CD74_CXCR4",0.0533354515073082,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Fibroblasts-Tissue_stem_cells","B_cell","MIF","CD74_CXCR4",0.0584326733786751,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"iPS_cells","B_cell","MIF","CD74_CXCR4",0.119232685355176,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Macrophage","B_cell","MIF","CD74_CXCR4",0.0494320595126849,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Normal_Epithelial","B_cell","MIF","CD74_CXCR4",0.0896117797555173,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","B_cell","MIF","CD74_CXCR4",0.059533386619819,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"B_cell","DC-Monocyt","MIF","CD74_CXCR4",0.0217466526218748,0.02,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CMP","DC-Monocyt","MIF","CD74_CXCR4",0.0349728902977591,0.01,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"DC-Monocyt","DC-Monocyt","MIF","CD74_CXCR4",0.0666704923746695,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Fibroblasts-Tissue_stem_cells","DC-Monocyt","MIF","CD74_CXCR4",0.0729439337649011,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"iPS_cells","DC-Monocyt","MIF","CD74_CXCR4",0.146493907964674,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Macrophage","DC-Monocyt","MIF","CD74_CXCR4",0.0618549335786862,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Normal_Epithelial","DC-Monocyt","MIF","CD74_CXCR4",0.110953669655728,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pre-B_cell_CD34-","DC-Monocyt","MIF","CD74_CXCR4",0.0230777651871637,0.03,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","DC-Monocyt","MIF","CD74_CXCR4",0.0742964303299854,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"iPS_cells","Endothelial_cells","MIF","CD74_CXCR4",0.0411021177748707,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Normal_Epithelial","Endothelial_cells","MIF","CD74_CXCR4",0.0302250575049521,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"B_cell","Macrophage","MIF","CD74_CXCR4",0.0190533189111475,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CMP","Macrophage","MIF","CD74_CXCR4",0.030692875425653,0.02,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"DC-Monocyt","Macrophage","MIF","CD74_CXCR4",0.0587474463716926,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Fibroblasts-Tissue_stem_cells","Macrophage","MIF","CD74_CXCR4",0.0643267422468058,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"iPS_cells","Macrophage","MIF","CD74_CXCR4",0.130410193573154,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Macrophage","Macrophage","MIF","CD74_CXCR4",0.0544707641270547,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Normal_Epithelial","Macrophage","MIF","CD74_CXCR4",0.0983224503732555,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pre-B_cell_CD34-","Macrophage","MIF","CD74_CXCR4",0.0202229805782838,0.01,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","Macrophage","MIF","CD74_CXCR4",0.0655307564811356,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"DC-Monocyt","NK_cell-T_cells","MIF","CD74_CXCR4",0.0321406695699297,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Fibroblasts-Tissue_stem_cells","NK_cell-T_cells","MIF","CD74_CXCR4",0.0352878298371432,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"iPS_cells","NK_cell-T_cells","MIF","CD74_CXCR4",0.0738953352649475,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Macrophage","NK_cell-T_cells","MIF","CD74_CXCR4",0.0297397024706519,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Normal_Epithelial","NK_cell-T_cells","MIF","CD74_CXCR4",0.0548363214447086,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","NK_cell-T_cells","MIF","CD74_CXCR4",0.0359692122289141,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"B_cell","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.0276982023413415,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"CMP","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.0443799379596338,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"DC-Monocyt","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.0838626666162607,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial_cells","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.0226588571333361,0.03,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Fibroblasts-Tissue_stem_cells","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.0915950670060549,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"iPS_cells","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.18029372763093,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Macrophage","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.0779089866562575,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Normal_Epithelial","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.137878123125966,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pre-B_cell_CD34-","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.0293826673644687,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.0932585967991006,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"DC-Monocyt","B_cell","MIF","CD74_CD44",0.0279105957738112,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Fibroblasts-Tissue_stem_cells","B_cell","MIF","CD74_CD44",0.0306566740580925,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"iPS_cells","B_cell","MIF","CD74_CD44",0.0645363066497533,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Macrophage","B_cell","MIF","CD74_CD44",0.0258171939634871,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Normal_Epithelial","B_cell","MIF","CD74_CD44",0.0477666617264752,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","B_cell","MIF","CD74_CD44",0.0312515290608333,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"DC-Monocyt","CMP","MIF","CD74_CD44",0.0560245896507458,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Fibroblasts-Tissue_stem_cells","CMP","MIF","CD74_CD44",0.0613621516020831,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"iPS_cells","CMP","MIF","CD74_CD44",0.12480628756412,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Macrophage","CMP","MIF","CD74_CD44",0.0519351882615204,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Normal_Epithelial","CMP","MIF","CD74_CD44",0.0939484307780313,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","CMP","MIF","CD74_CD44",0.0625143844287856,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"B_cell","DC-Monocyt","MIF","CD74_CD44",0.0217752292962071,0.01,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"CMP","DC-Monocyt","MIF","CD74_CD44",0.0350182250502731,0.01,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"DC-Monocyt","DC-Monocyt","MIF","CD74_CD44",0.066754073916385,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Fibroblasts-Tissue_stem_cells","DC-Monocyt","MIF","CD74_CD44",0.0730347645859207,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"iPS_cells","DC-Monocyt","MIF","CD74_CD44",0.146661835280653,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Macrophage","DC-Monocyt","MIF","CD74_CD44",0.0619328786882435,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Normal_Epithelial","DC-Monocyt","MIF","CD74_CD44",0.111086159305296,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Pre-B_cell_CD34-","DC-Monocyt","MIF","CD74_CD44",0.0231080497210386,0.02,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","DC-Monocyt","MIF","CD74_CD44",0.0743888101595576,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Fibroblasts-Tissue_stem_cells","Fibroblasts-Tissue_stem_cells","MIF","CD74_CD44",0.0190805926212,0.01,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
