"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblasts-Tissue_stem_cells","Fibroblasts-Tissue_stem_cells","FGF7","FGFR1",0.00213993822815379,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","FGF7","FGFR1",0.00111036809778301,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"Fibroblasts-Tissue_stem_cells","iPS_cells","FGF7","FGFR2",0.00315089695412357,0,"FGF7_FGFR2","FGF7 - FGFR2","FGF","Secreted Signaling","PMC: 4393358"
"iPS_cells","Endothelial_cells","VEGFA","FLT1",0.0041367119488771,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Macrophage","Endothelial_cells","VEGFA","FLT1",0.00370472796827858,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Tumor_Epithelial","Endothelial_cells","VEGFA","FLT1",0.00408237055743981,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"iPS_cells","Endothelial_cells","VEGFA","KDR",0.0043479410792135,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Macrophage","Endothelial_cells","VEGFA","KDR",0.00389398534692039,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Tumor_Epithelial","Endothelial_cells","VEGFA","KDR",0.00429083685872236,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"iPS_cells","Endothelial_cells","VEGFA","FLT1_KDR",0.00441180626318185,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"Macrophage","Endothelial_cells","VEGFA","FLT1_KDR",0.00395120901660295,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"Tumor_Epithelial","Endothelial_cells","VEGFA","FLT1_KDR",0.00435386692930897,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"NK_cell-T_cells","Macrophage","CCL5","CCR1",0.0161603293977359,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
