"Pathway","Total_TNBC","BRCA1_mutant","Difference_BRCA1_minus_Total","Relative_change"
"COLLAGEN",0,0,0,NA
"MIF",0,0,0,NA
"APP",0,0,0,NA
"MHC-II",0,0,0,NA
"MK",0,0,0,NA
"FN1",0,0,0,NA
"SPP1",0,0,0,NA
"LAMININ",0,0,0,NA
"CD99",0,0,0,NA
"THBS",0,0,0,NA
"GALECTIN",0,0,0,NA
"ITGB2",0,0,0,NA
"VISFATIN",0,0,0,NA
"CXCL",0,0,0,NA
"CCL",0,0,0,NA
"PECAM1",0,0,0,NA
"PTN",0,0,0,NA
"DESMOSOME",0,0,0,NA
"ICAM",0,0,0,NA
"NOTCH",0,0,0,NA
"JAM",0,0,0,NA
"PERIOSTIN",0,0,0,NA
"GAS",0,0,0,NA
"MPZ",0,0,0,NA
"BAFF",0,0,0,NA
"NECTIN",0,0,0,NA
"ANGPTL",0,0,0,NA
"PARs",0,0,0,NA
"FGF",0,0,0,NA
"CD46",0,0,0,NA
"SELPLG",0,0,0,NA
"CSF",0,0,0,NA
"COMPLEMENT",0,0,0,NA
"CDH1",0,0,0,NA
"CDH",0,0,0,NA
