"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A1","SDC4",0.120329530167295,0,"COL1A1_SDC4","COL1A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A2","SDC4",0.120205241240477,0,"COL1A2_SDC4","COL1A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","FN1","SDC4",0.101336281977884,0,"FN1_SDC4","FN1 - SDC4","FN1","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A1","SDC4",0.083634981464011,0,"COL4A1_SDC4","COL4A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","MDK","NCL",0.0739939355167949,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"iPS_cells","Tumor_Epithelial","MDK","SDC4",0.071451767132884,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A1","SDC4",0.069247083065467,0,"COL6A1_SDC4","COL6A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A2","SDC4",0.0661220163336834,0,"COL4A2_SDC4","COL4A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","APP","CD74",0.066007132361041,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A2","SDC4",0.0656702721079165,0,"COL6A2_SDC4","COL6A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A3","SDC4",0.0598502064783412,0,"COL6A3_SDC4","COL6A3 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","CD99","CD99",0.0524646672027701,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","THBS2","SDC4",0.0501220946266074,0,"THBS2_SDC4","THBS2 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","MIF","CD74_CD44",0.046200583147614,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","THBS2","CD47",0.0438409922529933,0,"THBS2_CD47","THBS2 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","MIF","CD74_CXCR4",0.043102598162088,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A1","CD44",0.0367400788024768,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A2","CD44",0.0366985278336817,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A1","SDC1",0.0345281478871851,0,"COL1A1_SDC1","COL1A1 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A2","SDC1",0.0344890089208369,0,"COL1A2_SDC1","COL1A2 - SDC1","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
