"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Tumor_Epithelial","DC-Monocyt","APP","CD74",0.188976236218127,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","Tumor_Epithelial","MDK","NCL",0.094062858628388,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.0932585967991006,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","Macrophage","MIF","CD74_CD44",0.0922356159630159,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","MDK","LRP1",0.0646068080169121,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Tumor_Epithelial","MDK","SDC1",0.0471856419354493,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","iPS_cells","MDK","SDC4",0.0389241669236276,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","CD99","CD99",0.0265169653846656,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","MDK","SDC2",0.0234505798660786,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","iPS_cells","MDK","ITGA6_ITGB1",0.0206807496623709,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","DC-Monocyt","MDK","ITGA4_ITGB1",0.0137061768205066,0,"MDK_ITGA4_ITGB1","MDK - (ITGA4+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","iPS_cells","DSC2","DSG2",0.00396217790025681,0,"DSC2_DSG2","DSC2 - DSG2","DESMOSOME","Cell-Cell Contact","PMID: 27298358"
"Tumor_Epithelial","Macrophage","CD99","PILRA",0.00350612031831762,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Tumor_Epithelial","Tumor_Epithelial","NECTIN1","NECTIN4",0.00330218980006627,0,"NECTIN1_NECTIN4","NECTIN1 - NECTIN4","NECTIN","Cell-Cell Contact","PMID: 23027581"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","NAMPT","ITGA5_ITGB1",0.00321010680472485,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Tumor_Epithelial","iPS_cells","CD46","JAG1",0.00248788989230625,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448"
"Tumor_Epithelial","Macrophage","ANXA1","FPR1",0.00235627496941314,0,"ANXA1_FPR1","ANXA1 - FPR1","ANNEXIN","Secreted Signaling","PMID: 23230437"
"Tumor_Epithelial","Tumor_Epithelial","GRN","SORT1",0.00221632147254371,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"Tumor_Epithelial","Tumor_Epithelial","CADM1","CADM1",0.00149304147228964,0,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"Tumor_Epithelial","NK_cell-T_cells","NECTIN1","CD96",0.00147832529181229,0,"NECTIN1_CD96","NECTIN1 - CD96","NECTIN","Cell-Cell Contact","PMID: 23027581"
