"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Tumor_Epithelial","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.161963266462962,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","Pre-B_cell_CD34-","APP","CD74",0.153137006063488,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","Macrophage","MIF","CD74_CD44",0.126121171023279,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","CD99","CD99",0.0524646672027701,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_Epithelial","Pre-B_cell_CD34-","ICAM1","SPN",0.0110311527176006,0,"ICAM1_SPN","ICAM1 - SPN","ICAM","Cell-Cell Contact","PMID: 1683685"
"Tumor_Epithelial","Macrophage","CD99","PILRA",0.00846875457298336,0,"CD99_PILRA","CD99 - PILRA","CD99","Cell-Cell Contact","PMID: 18234675"
"Tumor_Epithelial","Endothelial_cells","NAMPT","ITGA5_ITGB1",0.00796782705821259,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Tumor_Epithelial","Tumor_Epithelial","MDK","NCL",0.00788045633845213,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Tumor_Epithelial","MDK","SDC4",0.00759109151177498,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Endothelial_cells","NAMPT","INSR",0.00750938775817048,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"Tumor_Epithelial","Endothelial_cells","MDK","ITGA6_ITGB1",0.0060957272600931,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Pre-B_cell_CD34-","HLA-DRA","CD4",0.00476638512273002,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_Epithelial","Endothelial_cells","VEGFA","FLT1_KDR",0.00435386692930897,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"Tumor_Epithelial","Endothelial_cells","VEGFA","KDR",0.00429083685872236,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Tumor_Epithelial","Endothelial_cells","VEGFA","FLT1",0.00408237055743981,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","GAS6","AXL",0.0038032659548028,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"Tumor_Epithelial","Pre-B_cell_CD34-","HLA-DRB1","CD4",0.00369196507588343,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","MDK","SDC2",0.00339749724352342,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","MDK","LRP1",0.00288885050042896,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Endothelial_cells","F11R","JAM2",0.00287229726451806,0,"F11R_JAM2","F11R - JAM2","JAM","Cell-Cell Contact","KEGG: hsa04514"
