"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","CXCL12","CXCR4",0.0209292545213269,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"DC-Monocyt","Tumor_Epithelial","SPP1","CD44",0.000729104417288236,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Endothelial_cells","Tumor_Epithelial","SPP1","CD44",0.000727120088328128,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Macrophage","Tumor_Epithelial","SPP1","CD44",0.00973921696674114,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","ANGPTL4","SDC1",0.00651807062728546,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","ANGPTL4","SDC2",0.00114864381176009,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","ANGPTL4","SDC4",0.00139387163397289,0,"ANGPTL4_SDC4","ANGPTL4 - SDC4","ANGPTL","Secreted Signaling","PMID: 29017031"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","MDK","SDC1",0.0189006742558454,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"iPS_cells","Tumor_Epithelial","MDK","SDC1",0.0444253863179822,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Normal_Epithelial","Tumor_Epithelial","MDK","SDC1",0.0216244436999982,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Tumor_Epithelial","MDK","SDC1",0.0471856419354493,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","MDK","SDC2",0.00336531515370474,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"iPS_cells","Tumor_Epithelial","MDK","SDC2",0.00808290377762895,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"Normal_Epithelial","Tumor_Epithelial","MDK","SDC2",0.00385909569039814,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
