"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","FGF7","FGFR1",0.00111036809778301,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","CXCL12","CXCR4",0.00357030767887039,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"iPS_cells","Tumor_Epithelial","MIF","CD74_CXCR4",0.043102598162088,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","Tumor_Epithelial","MIF","CD74_CXCR4",0.0294197588743376,0.01,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"iPS_cells","Tumor_Epithelial","MIF","CD74_CD44",0.046200583147614,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","Tumor_Epithelial","MIF","CD74_CD44",0.0315667369679942,0.01,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"DC-Monocyt","Tumor_Epithelial","TNFSF12","TNFRSF12A",0.00259442892067678,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060"
"Macrophage","Tumor_Epithelial","TNFSF12","TNFRSF12A",0.00143656122294054,0,"TNFSF12_TNFRSF12A","TNFSF12 - TNFRSF12A","TWEAK","Secreted Signaling","KEGG: hsa04060"
"DC-Monocyt","Tumor_Epithelial","SPP1","CD44",0.00440315383749078,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Macrophage","Tumor_Epithelial","SPP1","CD44",0.0172704221008339,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Endothelial_cells","Tumor_Epithelial","MDK","SDC1",0.00216424372355748,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","MDK","SDC1",0.00789476053108473,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"iPS_cells","Tumor_Epithelial","MDK","SDC1",0.0197214776808736,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Normal_Epithelial","Tumor_Epithelial","MDK","SDC1",0.0149082321078875,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Tumor_Epithelial","MDK","SDC1",0.00199584761650243,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Endothelial_cells","Tumor_Epithelial","MDK","SDC4",0.00822768444529875,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","MDK","SDC4",0.0295378157015227,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"iPS_cells","Tumor_Epithelial","MDK","SDC4",0.071451767132884,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"Normal_Epithelial","Tumor_Epithelial","MDK","SDC4",0.0547179011878031,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Tumor_Epithelial","MDK","SDC4",0.00759109151177498,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"Endothelial_cells","Tumor_Epithelial","MDK","NCL",0.00854110671247542,0.02,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","MDK","NCL",0.0306379403677442,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"iPS_cells","Tumor_Epithelial","MDK","NCL",0.0739939355167949,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Normal_Epithelial","Tumor_Epithelial","MDK","NCL",0.0567010544922698,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Tumor_Epithelial","MDK","NCL",0.00788045633845213,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Normal_Epithelial","Tumor_Epithelial","PTN","SDC1",0.00158843979955546,0,"PTN_SDC1","PTN - SDC1","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Normal_Epithelial","Tumor_Epithelial","PTN","SDC4",0.00604846136516119,0,"PTN_SDC4","PTN - SDC4","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"Normal_Epithelial","Tumor_Epithelial","PTN","NCL",0.00627939474635417,0,"PTN_NCL","PTN - NCL","PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911"
"DC-Monocyt","Tumor_Epithelial","LGALS9","CD44",0.00273116568609087,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Endothelial_cells","Tumor_Epithelial","LGALS9","CD44",0.00246533848048875,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Macrophage","Tumor_Epithelial","LGALS9","CD44",0.0024766870544085,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Endothelial_cells","Tumor_Epithelial","FN1","CD44",0.00328938731508162,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","FN1","CD44",0.0304836713376065,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Macrophage","Tumor_Epithelial","FN1","CD44",0.00512541246033052,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A1","CD44",0.0367400788024768,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A2","CD44",0.0366985278336817,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","COL2A1","CD44",0.00212605477304178,0,"COL2A1_CD44","COL2A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A1","CD44",0.024817038390209,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A1","CD44",0.00336645751229324,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A2","CD44",0.0193602005424122,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A2","CD44",0.00356780501991307,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL6A1","CD44",0.00175800878976929,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
