"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Tumor_Epithelial","Endothelial_cells","VEGFA","FLT1",0.00408237055743981,0,"VEGFA_VEGFR1","VEGFA - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Tumor_Epithelial","Endothelial_cells","VEGFA","KDR",0.00429083685872236,0,"VEGFA_VEGFR2","VEGFA - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Tumor_Epithelial","Endothelial_cells","VEGFA","FLT1_KDR",0.00435386692930897,0,"VEGFA_VEGFR1R2","VEGFA - VEGFR1R2","VEGF","Secreted Signaling","PMID: 16633338"
"Tumor_Epithelial","B_cell","MIF","CD74_CXCR4",0.0569546378383857,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","DC-Monocyt","MIF","CD74_CXCR4",0.0692904889629907,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","Macrophage","MIF","CD74_CXCR4",0.0741059917556406,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","NK_cell-T_cells","MIF","CD74_CXCR4",0.103933698876261,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","Pre-B_cell_CD34-","MIF","CD74_CXCR4",0.161963266462962,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","Tumor_Epithelial","MIF","CD74_CXCR4",0.0294197588743376,0.01,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor_Epithelial","B_cell","MIF","CD74_CD44",0.0456075753513455,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","CMP","MIF","CD74_CD44",0.122147494645304,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","DC-Monocyt","MIF","CD74_CD44",0.122517078587178,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","Macrophage","MIF","CD74_CD44",0.126121171023279,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","NK_cell-T_cells","MIF","CD74_CD44",0.0779404676098993,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","Normal_Epithelial","MIF","CD74_CD44",0.0717278322306647,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","Tumor_Epithelial","MIF","CD74_CD44",0.0315667369679942,0.01,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"Tumor_Epithelial","Endothelial_cells","NAMPT","INSR",0.00750938775817048,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"Tumor_Epithelial","Normal_Epithelial","NAMPT","INSR",0.00101985342913138,0,"NAMPT_INSR","NAMPT - INSR","VISFATIN","Secreted Signaling","PMID: 28490838"
"Tumor_Epithelial","Endothelial_cells","NAMPT","ITGA5_ITGB1",0.00796782705821259,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
"Tumor_Epithelial","B_cell","MDK","SDC1",0.0014041664727048,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","MDK","SDC1",0.00276807574969786,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Normal_Epithelial","MDK","SDC1",0.00223354872559854,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Tumor_Epithelial","MDK","SDC1",0.00199584761650243,0,"MDK_SDC1","MDK - SDC1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","MDK","SDC2",0.00339749724352342,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Tumor_Epithelial","MDK","SDC4",0.00759109151177498,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Endothelial_cells","MDK","ITGA6_ITGB1",0.0060957272600931,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","MDK","LRP1",0.00288885050042896,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","DC-Monocyt","MDK","NCL",0.00748133310807385,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Normal_Epithelial","MDK","NCL",0.00726781362423896,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","Tumor_Epithelial","MDK","NCL",0.00788045633845213,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor_Epithelial","DC-Monocyt","GAS6","AXL",0.00342138923277439,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"Tumor_Epithelial","Fibroblasts-Tissue_stem_cells","GAS6","AXL",0.0038032659548028,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848"
"Tumor_Epithelial","B_cell","APP","CD74",0.0874539104517598,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","CMP","APP","CD74",0.0803446157261394,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","DC-Monocyt","APP","CD74",0.150839290693216,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","Endothelial_cells","APP","CD74",0.0762892011001939,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","Macrophage","APP","CD74",0.130279217320333,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","NK_cell-T_cells","APP","CD74",0.0645647256623606,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","Normal_Epithelial","APP","CD74",0.0707425790250114,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
"Tumor_Epithelial","Pre-B_cell_CD34-","APP","CD74",0.153137006063488,0,"APP_CD74","APP - CD74","APP","Cell-Cell Contact","PMID: 19849849"
