"Metric","Value"
"Input_Cells","22145"
"Input_Genes","24865"
"Monocle3_Partitions","5"
"Selected_Partition","2"
"Selected_Partition_Total_Cells","6735"
"Selected_Partition_Normal_like","607"
"Selected_Partition_Tumor_like","5201"
"Selected_Root_Node","Y_48"
"Root_Selection_Method","Normal_like_leaf_node"
"Global_Finite_Pseudotime","6735"
"Global_Infinite_Pseudotime","15410"
"Global_NA_Pseudotime","0"
"Selected_Normal_like_Finite_Pseudotime","607"
"Selected_Tumor_like_Finite_Pseudotime","5201"
"Wilcoxon_P_value","0"
