"gene_id","gene_short_name","status","morans_I","morans_test_statistic","p_value","q_value"
"CRABP2","CRABP2","OK",0.75986870567383,217.138663521266,0,0
"TSEN34","TSEN34","OK",0.73891030568985,211.147628792936,0,0
"CDKN2A","CDKN2A","OK",0.727533401180049,207.90483831331,0,0
"CALML5","CALML5","OK",0.717751040463096,205.10388106161,0,0
"IGKC","IGKC","OK",0.713111349970199,203.850900411117,0,0
"KRT14","KRT14","OK",0.692858998002002,197.997920925483,0,0
"PIGR","PIGR","OK",0.686547695430883,196.807906437733,0,0
"SLPI","SLPI","OK",0.679649078773371,194.221649226845,0,0
"RPL13A","RPL13A","OK",0.674257639278037,192.842144581724,0,0
"KRT5","KRT5","OK",0.669149455237025,191.216428951206,0,0
"CSN1S1","CSN1S1","OK",0.665646036545419,192.040068663664,0,0
"AGR3","AGR3","OK",0.657395814722574,188.703384352093,0,0
"ASPM","ASPM","OK",0.649448912897848,185.704229133427,0,0
"NDUFA4L2","NDUFA4L2","OK",0.638910869703028,182.569424150949,0,0
"IGFBP5","IGFBP5","OK",0.638058200335103,182.327331164357,0,0
"UBE2C","UBE2C","OK",0.633814274550937,181.151970313373,0,0
"C6orf48","C6orf48","OK",0.625858844356527,178.847263469323,0,0
"TTYH1","TTYH1","OK",0.624416468302103,178.429999064452,0,0
"MT-ND3","MT-ND3","OK",0.623537572286121,178.199991895398,0,0
"KRT19","KRT19","OK",0.619171671430458,176.947298516137,0,0
"RPS6","RPS6","OK",0.617440537806273,176.643900417584,0,0
"CENPA","CENPA","OK",0.617161672494684,176.432182116871,0,0
"RPS5","RPS5","OK",0.614116511532738,175.606326639694,0,0
"CD74","CD74","OK",0.612052068021106,174.95403190749,0,0
"CENPF","CENPF","OK",0.611325757304657,174.72717726073,0,0
"TRIR","TRIR","OK",0.61066560480154,174.524707335378,0,0
"TAGLN","TAGLN","OK",0.610433036134764,174.535942244354,0,0
"LAPTM4A","LAPTM4A","OK",0.606247654032595,173.264325179558,0,0
"ATP5F1C","ATP5F1C","OK",0.605474510141916,173.033766969409,0,0
"CDK1","CDK1","OK",0.604089442367244,172.662761183257,0,0
"ANKRD30A","ANKRD30A","OK",0.601259543452843,172.718048401171,0,0
"MYLK","MYLK","OK",0.600297696391835,171.775481417662,0,0
"RPS18","RPS18","OK",0.597419232944446,170.995905755453,0,0
"RPL23A","RPL23A","OK",0.595555492540897,170.256602065961,0,0
"CDC20","CDC20","OK",0.595147467741519,170.117349642099,0,0
"MALAT1","MALAT1","OK",0.589504037425608,168.573233219777,0,0
"RPS23","RPS23","OK",0.589266771357195,168.53730704086,0,0
"TOP2A","TOP2A","OK",0.587340633320198,167.907954171089,0,0
"SF3B6","SF3B6","OK",0.586333291840618,167.574117108752,0,0
"ATP5F1B","ATP5F1B","OK",0.582081366274704,166.348627979512,0,0
"NDUFB5","NDUFB5","OK",0.580254274740243,165.821808245976,0,0
"CDCA3","CDCA3","OK",0.579780831607169,165.763559745646,0,0
"LTF","LTF","OK",0.578593193522786,165.496457040496,0,0
"ACTA2","ACTA2","OK",0.573336164781164,164.094036976683,0,0
"ATP5PO","ATP5PO","OK",0.570691560916917,163.103065361919,0,0
"CALML3","CALML3","OK",0.570406441782322,162.998143926085,0,0
"PRDX2","PRDX2","OK",0.564811101949833,161.423145000483,0,0
"POLR2H","POLR2H","OK",0.563780262799785,161.113006807519,0,0
"PERP","PERP","OK",0.561832555632953,160.584370204306,0,0
"NUDT5","NUDT5","OK",0.561162677836341,160.361972228124,0,0
"TCTEX1D2","TCTEX1D2","OK",0.559055921546638,159.756285761777,0,0
"KRT8","KRT8","OK",0.558429610563218,159.608889863492,0,0
"MT-CO2","MT-CO2","OK",0.558349342788745,159.597054737073,0,0
"CSTB","CSTB","OK",0.557870439943487,159.468269524802,0,0
"RPL27","RPL27","OK",0.557749500675653,159.454582934672,0,0
"RPL35A","RPL35A","OK",0.553736872402644,158.440712203413,0,0
"CDCA8","CDCA8","OK",0.552971861099913,158.094372844152,0,0
"DEPDC1","DEPDC1","OK",0.545278230668821,155.937123887214,0,0
"NACA","NACA","OK",0.543435943170426,155.406452853862,0,0
"TFF3","TFF3","OK",0.541882815242493,155.829988000014,0,0
"HLA-DRA","HLA-DRA","OK",0.540795642149042,154.613572293269,0,0
"COMT","COMT","OK",0.5403908386725,154.426692647517,0,0
"HOOK2","HOOK2","OK",0.540379552118976,154.423511473502,0,0
"NUF2","NUF2","OK",0.539496377778812,154.265860608032,0,0
"FXYD3","FXYD3","OK",0.53914201550744,154.093171879923,0,0
"SLC25A5","SLC25A5","OK",0.537816879092013,153.708478544284,0,0
"MT-ATP6","MT-ATP6","OK",0.537693454322018,153.689722351191,0,0
"SPC25","SPC25","OK",0.536274203140153,153.328155610761,0,0
"CCNB1","CCNB1","OK",0.535245430680934,153.02196848019,0,0
"EIF4A2","EIF4A2","OK",0.534049710989323,152.633387963138,0,0
"RPS7","RPS7","OK",0.533175910033109,152.518571683993,0,0
"SOD1","SOD1","OK",0.530277973811493,151.56233751325,0,0
"CBR3","CBR3","OK",0.529871350800126,151.418502511475,0,0
"RPL28","RPL28","OK",0.529508743096021,151.514037413846,0,0
"AP2M1","AP2M1","OK",0.524703812361822,149.955344780082,0,0
"VCAN","VCAN","OK",0.523926688070064,149.719426236643,0,0
"SEC61B","SEC61B","OK",0.523869423185503,149.740996676935,0,0
"MKI67","MKI67","OK",0.522341856170069,149.344720248755,0,0
"CDKN3","CDKN3","OK",0.521925650333954,149.192258820872,0,0
"TUBA1B","TUBA1B","OK",0.521605446709386,149.083755419514,0,0
"AFF3","AFF3","OK",0.520045543673238,149.444101586888,0,0
"RAD23A","RAD23A","OK",0.518482549981031,148.171293745739,0,0
"AURKB","AURKB","OK",0.516248656917821,147.621472255289,0,0
"EPCAM","EPCAM","OK",0.51601948119082,147.47494205377,0,0
"AGR2","AGR2","OK",0.514274130835997,147.343428190988,0,0
"CD63","CD63","OK",0.513612547945294,146.817368017819,0,0
"CYC1","CYC1","OK",0.513580910218983,146.771522962106,0,0
"CSN3","CSN3","OK",0.512350082931699,148.878376999524,0,0
"RPS16","RPS16","OK",0.511657560307901,146.392144535468,0,0
"SPINT2","SPINT2","OK",0.508989654689734,145.485221611022,0,0
"OST4","OST4","OK",0.50738425181593,145.021443554286,0,0
"CSN2","CSN2","OK",0.507264408079262,148.984074486955,0,0
"ALDH1A1","ALDH1A1","OK",0.50662990466063,144.809221558552,0,0
"RPL41","RPL41","OK",0.505787823374039,144.878403333333,0,0
"NEAT1","NEAT1","OK",0.505060291417124,144.353320699596,0,0
"NUSAP1","NUSAP1","OK",0.504904657095019,144.326524342618,0,0
"HMGN1","HMGN1","OK",0.503491805001281,143.932258436177,0,0
"BRK1","BRK1","OK",0.501574477779934,143.355232672868,0,0
"RPL24","RPL24","OK",0.501508169047187,143.44065321157,0,0
"EEF1A1","EEF1A1","OK",0.499698094503558,143.089155797001,0,0
