"SYMBOL","ENTREZID"
"LINC00115","79854"
"FAM41C","284593"
"SAMD11","148398"
"NOC2L","26155"
"KLHL17","339451"
"PLEKHN1","84069"
"PERM1","84808"
"HES4","57801"
"ISG15","9636"
"AGRN","375790"
"RNF223","401934"
"C1orf159","54991"
"TTLL10","254173"
"TNFRSF18","8784"
"TNFRSF4","7293"
"SDF4","51150"
"B3GALT6","126792"
"C1QTNF12","388581"
"UBE2J2","118424"
"SCNN1D","6339"
"ACAP3","116983"
"PUSL1","126789"
"INTS11","54973"
"CPTP","80772"
"TAS1R3","83756"
"DVL1","1855"
"MXRA8","54587"
"AURKAIP1","54998"
"CCNL2","81669"
"MRPL20","55052"
"ANKRD65","441869"
"LINC01770","102724312"
"VWA1","64856"
"ATAD3C","219293"
"ATAD3B","83858"
"ATAD3A","55210"
"TMEM240","339453"
"SSU72","29101"
"FNDC10","643988"
"MIB2","142678"
"MMP23B","8510"
"CDK11B","984"
"SLC35E2B","728661"
"CDK11A","728642"
"SLC35E2A","9906"
"NADK","65220"
"GNB1","2782"
"TMEM52","339456"
"CFAP74","85452"
"GABRD","2563"
"PRKCZ","5590"
"PRKCZ-AS1","100506504"
"FAAP20","199990"
"SKI","6497"
"MORN1","79906"
"RER1","11079"
"PEX10","5192"
"PLCH2","9651"
"PANK4","55229"
"TNFRSF14-AS1","115110"
"TNFRSF14","8764"
"MMEL1","79258"
"TTC34","100287898"
"PRDM16","63976"
"ARHGEF16","27237"
"MEGF6","1953"
"TPRG1L","127262"
"WRAP73","49856"
"TP73","7161"
"SMIM1","388588"
"LRRC47","57470"
"CEP104","9731"
"DFFB","1677"
"C1orf174","339448"
"LINC01134","100133612"
"NPHP4","261734"
"KCNAB2","8514"
"CHD5","26038"
"RPL22","6146"
"RNF207","388591"
"ICMT","23463"
"GPR153","387509"
"ACOT7","11332"
"HES2","54626"
"ESPN","83715"
"TNFRSF25","8718"
"PLEKHG5","57449"
"NOL9","79707"
"TAS1R1","80835"
"ZBTB48","3104"
"KLHL21","9903"
"PHF13","148479"
"THAP3","90326"
"DNAJC11","55735"
"CAMTA1-DT","110841581"
"CAMTA1","23261"
"VAMP3","9341"
"PER3","8863"
"UTS2","10911"
"TNFRSF9","3604"
"PARK7","11315"
"ERRFI1","54206"
"SLC45A1","50651"
"RERE","473"
"ENO1","2023"
"ENO1-AS1","100505975"
"CA6","765"
"SLC2A5","6518"
"GPR157","80045"
"MIR34AHG","106614088"
"H6PD","9563"
"SPSB1","80176"
"SLC25A33","84275"
"TMEM201","199953"
"PIK3CD","5293"
"PIK3CD-AS2","101929074"
"CLSTN1","22883"
"CTNNBIP1","56998"
"LZIC","84328"
"NMNAT1","64802"
"RBP7","116362"
"UBE4B","10277"
"KIF1B","23095"
"PGD","5226"
"CENPS-CORT","100526739"
"CENPS","378708"
"CORT","1325"
"DFFA","1676"
"PEX14","5195"
"CASZ1","54897"
"TARDBP","23435"
"SRM","6723"
"EXOSC10","5394"
"MTOR","2475"
"UBIAD1","29914"
"FBXO2","26232"
"FBXO44","93611"
"FBXO6","26270"
"MAD2L2","10459"
"DRAXIN","374946"
"AGTRAP","57085"
"C1orf167","284498"
"MTHFR","4524"
"CLCN6","1185"
"NPPA-AS1","100379251"
"KIAA2013","90231"
"PLOD1","5351"
"MFN2","9927"
"MIIP","60672"
"TNFRSF8","943"
"TNFRSF1B","7133"
"VPS13D","55187"
"DHRS3","9249"
"HNRNPCL1","343069"
"HNRNPCL2","440563"
"PDPN","10630"
"PRDM2","7799"
"KAZN","23254"
"TMEM51-AS1","200197"
"TMEM51","55092"
"FHAD1","114827"
"EFHD2","79180"
"CASP9","842"
"DNAJC16","23341"
"AGMAT","79814"
"DDI2","84301"
"PLEKHM2","23207"
"SLC25A34","284723"
"FBLIM1","54751"
"UQCRHL","440567"
"SPEN","23013"
"ZBTB17","7709"
"CLCNKA","1187"
"FAM131C","348487"
"EPHA2","1969"
"ARHGEF19","128272"
"CPLANE2","79363"
"FBXO42","54455"
"SZRD1","26099"
"SPATA21","374955"
"NECAP2","55707"
"LINC01772","107984921"
"NBPF1","55672"
"CROCC","9696"
"MFAP2","4237"
"ATP13A2","23400"
"SDHB","6390"
"PADI2","11240"
"PADI4","23569"
"RCC2","55920"
"ARHGEF10L","55160"
"ACTL8","81569"
"IGSF21","84966"
"ALDH4A1","8659"
"IFFO2","126917"
"UBR4","23352"
"EMC1","23065"
"MRTO4","51154"
"AKR7A3","22977"
"AKR7A2","8574"
"CAPZB","832"
"NBL1","4681"
"TMCO4","255104"
"OTUD3","23252"
"PLA2G2A","5320"
"PLA2G5","5322"
"PLA2G2D","26279"
"PLA2G2C","391013"
"UBXN10","127733"
"CAMK2N1","55450"
"MUL1","79594"
"FAM43B","163933"
"CDA","978"
"PINK1","65018"
"PINK1-AS","100861548"
"DDOST","1650"
"KIF17","57576"
"HP1BP3","50809"
"EIF4G3","8672"
"ECE1","1889"
"NBPF3","84224"
"ALPL","249"
"RAP1GAP","5909"
"USP48","84196"
"HSPG2","3339"
"LINC01635","101928043"
"CDC42","998"
"WNT4","54361"
"ZBTB40","9923"
"EPHA8","2046"
"C1QA","712"
"C1QC","714"
"C1QB","713"
"EPHB2","2048"
"TEX46","729059"
"KDM1A","23028"
"LUZP1","7798"
"HTR1D","3352"
"LINC01355","100996511"
"HNRNPR","10236"
"ZNF436","80818"
"ZNF436-AS1","148898"
"TCEA3","6920"
"ASAP3","55616"
"E2F2","1870"
"ID3","3399"
"RPL11","6135"
"ELOA","6924"
"ELOA-AS1","100506963"
"PITHD1","57095"
"LYPLA2","11313"
"GALE","2582"
"HMGCL","3155"
"FUCA1","2517"
"CNR2","1269"
"PNRC2","55629"
"SRSF10","10772"
"MYOM3","127294"
"IL22RA1","58985"
"IFNLR1","163702"
"GRHL3","57822"
"STPG1","90529"
"NIPAL3","57185"
"RCAN3","11123"
"NCMAP","400746"
"SRRM1","10250"
"CLIC4","25932"
"RUNX3","864"
"SYF2","25949"
"RSRP1","57035"
"TMEM50A","23585"
"RHCE","6006"
"MACO1","55219"
"LDLRAP1","26119"
"MAN1C1","57134"
"SELENON","57190"
"MTFR1L","56181"
"AUNIP","79000"
"PAQR7","164091"
"STMN1","3925"
"PAFAH2","5051"
"EXTL1","2134"
"SLC30A2","7780"
"PDIK1L","149420"
"FAM110D","79927"
"ZNF593","51042"
"CNKSR1","10256"
"CEP85","64793"
"SH3BGRL3","83442"
"UBXN11","91544"
"CD52","1043"
"CRYBG2","55057"
"ZNF683","257101"
"DHDDS","79947"
"HMGN2","3151"
"RPS6KA1","6195"
"ARID1A","8289"
"PIGV","55650"
"ZDHHC18","84243"
"SFN","2810"
"GPN2","54707"
"GPATCH3","63906"
"NUDC","10726"
"KDF1","126695"
"TRNP1","388610"
"TENT5B","115572"
"SLC9A1","6548"
"WDTC1","23038"
"TMEM222","84065"
"SYTL1","84958"
"MAP3K6","9064"
"FCN3","8547"
"CD164L2","388611"
"GPR3","2827"
"WASF2","10163"
"AHDC1","27245"
"FGR","2268"
"LINC02574","111216282"
"IFI6","2537"
"FAM76A","199870"
