"Gene","Spearman_rho","p_value","FDR","Absolute_Spearman_rho","Direction","Stage16B_Strong_Gene"
"IGFBP5",0.719362546762184,0,0,0.719362546762184,"Increasing",TRUE
"NDUFA4L2",0.675276779162637,0,0,0.675276779162637,"Increasing",TRUE
"SEC61B",0.600375507456073,0,0,0.600375507456073,"Increasing",TRUE
"PRDX2",0.585776113240977,0,0,0.585776113240977,"Increasing",TRUE
"RPL7",0.582354482566612,0,0,0.582354482566612,"Increasing",TRUE
"COL8A1",0.580176389418047,0,0,0.580176389418047,"Increasing",TRUE
"VCAN",0.57867653729523,0,0,0.57867653729523,"Increasing",TRUE
"HOOK2",0.576549638973405,0,0,0.576549638973405,"Increasing",TRUE
"CD63",0.575913577677913,0,0,0.575913577677913,"Increasing",TRUE
"TMEM205",0.568451988113821,0,0,0.568451988113821,"Increasing",TRUE
"RPL18A",0.559785808303111,0,0,0.559785808303111,"Increasing",TRUE
"TRIR",0.559303031352432,0,0,0.559303031352432,"Increasing",TRUE
"CALML3",0.554866901562164,0,0,0.554866901562164,"Increasing",TRUE
"RPL35A",0.552918825462557,0,0,0.552918825462557,"Increasing",TRUE
"CBR3",0.550328456678267,0,0,0.550328456678267,"Increasing",TRUE
"LAPTM4A",0.548176805176369,0,0,0.548176805176369,"Increasing",TRUE
"CSTB",0.547025787303256,0,0,0.547025787303256,"Increasing",TRUE
"ATP5PO",0.545500957877733,0,0,0.545500957877733,"Increasing",TRUE
"NACA",0.543451798688263,0,0,0.543451798688263,"Increasing",TRUE
"C6orf48",0.541803305202623,0,0,0.541803305202623,"Increasing",TRUE
"RPS16",0.541664963480819,0,0,0.541664963480819,"Increasing",TRUE
"EEF1A1",0.539541658697496,0,0,0.539541658697496,"Increasing",TRUE
"HEY1",0.537946634736291,0,0,0.537946634736291,"Increasing",TRUE
"RPL13A",0.534452940042684,0,0,0.534452940042684,"Increasing",TRUE
"ALDH1A1",0.528805395260455,0,0,0.528805395260455,"Increasing",TRUE
