"Gene","Spearman_rho","p_value","FDR","Absolute_Spearman_rho","Direction","Stage16B_Strong_Gene"
"MT-ND3",-0.574276974003456,0,0,0.574276974003456,"Decreasing",TRUE
"MT-CO2",-0.555364740660432,0,0,0.555364740660432,"Decreasing",TRUE
"IGKC",-0.552405550769452,0,0,0.552405550769452,"Decreasing",TRUE
"MT-ATP6",-0.548294865200941,0,0,0.548294865200941,"Decreasing",TRUE
"B2M",-0.522482200885127,0,0,0.522482200885127,"Decreasing",TRUE
"HLA-DRA",-0.508314084727711,0,0,0.508314084727711,"Decreasing",TRUE
"RPL36",-0.500235051791285,0,0,0.500235051791285,"Decreasing",TRUE
"CD74",-0.490343005550872,0,0,0.490343005550872,"Decreasing",TRUE
"MT-CYB",-0.47245146564588,0,0,0.47245146564588,"Decreasing",TRUE
"ACTB",-0.471908382419786,0,0,0.471908382419786,"Decreasing",TRUE
"TMSB10",-0.471592218647229,0,0,0.471592218647229,"Decreasing",TRUE
"MT-CO1",-0.453247019627337,0,0,0.453247019627337,"Decreasing",TRUE
"MT-CO3",-0.452315730127152,0,0,0.452315730127152,"Decreasing",TRUE
"MTRNR2L12",-0.433379884257962,1.57937854237012e-306,2.96785828701028e-304,0.433379884257962,"Decreasing",TRUE
"MT-ND4",-0.431521785712698,1.23159746171916e-303,2.23653959224798e-301,0.431521785712698,"Decreasing",TRUE
"RPL34",-0.42962967656335,1.03947114702641e-300,1.85644392456535e-298,0.42962967656335,"Decreasing",TRUE
"TAGLN",-0.409705261239574,5.23617251649233e-271,7.44432158430259e-269,0.409705261239574,"Decreasing",TRUE
"IFI16",-0.407167189232907,2.29024306719839e-267,3.07404675044455e-265,0.407167189232907,"Decreasing",TRUE
"RPS27",-0.400293930982909,1.15301135379859e-257,1.4571096699174e-255,0.400293930982909,"Decreasing",TRUE
"HLA-DRB1",-0.399233729596566,3.45173665083151e-256,4.311677978293e-254,0.399233729596566,"Decreasing",TRUE
"LTF",-0.396065542481714,8.26611465649941e-252,9.97937082273477e-250,0.396065542481714,"Decreasing",TRUE
"RPS28",-0.393352828956924,4.25628070975278e-248,4.97179600744635e-246,0.393352828956924,"Decreasing",TRUE
"SAA1",-0.388630687680326,1.01726164563741e-241,1.13901679597018e-239,0.388630687680326,"Decreasing",TRUE
"HLA-DPA1",-0.386088448800019,2.50133591573218e-238,2.64969946759668e-236,0.386088448800019,"Decreasing",TRUE
"RPS15",-0.385172530535553,4.09669870321296e-237,4.29755626099185e-235,0.385172530535553,"Decreasing",TRUE
