"Gene","Cluster","Silhouette_Width"
"CD74",1,0.653190120848313
"HLA-DRA",1,0.651256783765799
"MTRNR2L12",1,0.642898769446255
"IGHA1",1,0.637632003776818
"IGLC2",1,0.635964274808985
"MTRNR2L8",1,0.633264530556644
"MT-ND4L",1,0.628094383479836
"TPM1",1,0.625417190964487
"LTF",1,0.62051423717551
"CLU",1,0.619421865944888
"CEBPD",1,0.617741994732004
"IFI16",1,0.611290231491519
"PSMB9",1,0.609763652129933
"HLA-DPA1",1,0.603987622673488
"MT-ND3",1,0.601023463293339
"IGLC3",1,0.60068151134533
"HLA-DRB1",1,0.600428385570245
"IGHG1",1,0.597900720651608
"NNMT",1,0.595153859937464
"BIRC3",1,0.587983554913135
"MT2A",1,0.584747817748963
"HLA-A",1,0.578284836426718
"MT-ND5",1,0.572943865582214
"LGALS3BP",1,0.569297266341335
"IGKC",1,0.568950390446226
"TIMP1",1,0.563761472164139
"TAGLN",1,0.562997981058334
"MT-ATP6",1,0.561897773189233
"B2M",1,0.557801211711697
"SAA1",1,0.556435304731559
"A2M",1,0.541520550504504
"MT-CO2",1,0.535318532271122
"IL32",1,0.531385401858568
"PMP22",1,0.523006868220746
"HLA-DQA1",1,0.517648489043684
"ACTA2",1,0.503284602875445
"UBC",1,0.50015846373827
"SMIM22",1,0.475077352703708
"MT-CYB",1,0.452402494838143
"MT-CO3",1,0.424659788433919
"PLAT",1,0.418188740365785
"RPL36",1,0.414456370543364
"ACTB",1,0.403621160993099
"MT-ND4",1,0.394430447720393
"RPS28",1,0.388858990109589
"MT-CO1",1,0.382269733415993
"RPL34",1,0.376790627578965
"TMSB10",1,0.351257993843283
"RPL37",1,0.311471803166893
"RPS15",1,0.306102924023014
"RPS27",1,0.265206597693842
"MT-ND1",1,0.231291534062844
"ACTG1",1,0.182835653296657
"ATP5PO",2,0.732703550763307
"MMADHC",2,0.730679024582868
"TMEM167A",2,0.726750325580482
"PIGP",2,0.725759755157842
"SOD1",2,0.725374761923121
"ETFB",2,0.724517490732241
"ATP5F1C",2,0.724168867525541
"TMEM147",2,0.724118242632995
"TRIR",2,0.723704870756369
"ERH",2,0.723478324369629
"BABAM1",2,0.722766434456141
"NDUFB5",2,0.722567528873049
"RAD23A",2,0.722281804497367
"SLC9A3R1",2,0.722124607869608
"PRDX2",2,0.72119222674023
"HINT2",2,0.720821735519807
"RAB10",2,0.720801223739848
"EIF3H",2,0.720756648078994
"VDAC2",2,0.720741041012959
"ARL6IP6",2,0.720515351198644
"LSR",2,0.719829291397525
"KDELR1",2,0.719372407906079
"OCIAD2",2,0.719312556052407
"PYM1",2,0.718751850567248
"CBR3",2,0.718712847337462
"ACP1",2,0.718687319413555
"SRP19",2,0.718173772114719
"PDCD6",2,0.717846604387382
"REXO2",2,0.717763016291053
"NUDT5",2,0.717571420141423
"MRPL36",2,0.717531670802776
"TRAPPC4",2,0.717496843695598
"MTCH1",2,0.716555771977368
"PSMA5",2,0.71640097684527
"ABRACL",2,0.715540846262631
"MRPS6",2,0.714650924301957
"COPE",2,0.713775216848439
"SEC61B",2,0.713774205372867
"SDHC",2,0.713620735287137
"ATP5PB",2,0.713565670302222
"TMEM14A",2,0.713507343315238
"DNAJC19",2,0.713468403691575
"EPCAM",2,0.713326307071804
"GRHPR",2,0.712693369991778
"PSMD4",2,0.712453470392347
"AP2M1",2,0.711438100091041
"SSB",2,0.71085988933295
"CYC1",2,0.710736713785972
"GHITM",2,0.710085178948461
"EXOSC4",2,0.709921247251659
"SRP72",2,0.709505272851862
"TBCB",2,0.709129212044294
"PSMC4",2,0.709031381477844
"NDUFA8",2,0.708573945627186
"DYNLT1",2,0.708354042054992
"PPA1",2,0.708136240344961
"CBR1",2,0.707741376081089
"PIH1D1",2,0.707477259201228
"COMT",2,0.707324765546156
"KRT19",2,0.70728643874226
"ATP5PF",2,0.706628107547144
"EIF2D",2,0.706362550107495
"VPS72",2,0.705576504062235
"ELOF1",2,0.705409217534378
"CBX5",2,0.705377747571669
"ATP5F1B",2,0.705218139763356
"TCTEX1D2",2,0.704916454758618
"STMP1",2,0.70488251155243
"NDUFB3",2,0.704841556208191
"TFG",2,0.704408731474618
"SDHB",2,0.702935662018466
"PSMB5",2,0.702905088068556
"ATG101",2,0.702643883692769
"MRPS16",2,0.702273631129638
"TSFM",2,0.701846913590124
"PFDN4",2,0.701629261068141
"PSMB1",2,0.701459336628738
"MRPL9",2,0.700864212875266
"KIN",2,0.700572439685275
"CDC123",2,0.700539016645491
"SF3B6",2,0.700180991924983
"EBPL",2,0.700163956954407
"GADD45GIP1",2,0.700132055525041
"HDAC2",2,0.699949532183835
"TECR",2,0.699607238003048
"STX10",2,0.699470773819987
"MTX2",2,0.699140934322188
"HSPB11",2,0.699106250610398
"CDK4",2,0.699067022830909
"SMAGP",2,0.698929585033345
"CUTA",2,0.698903583579536
"C19orf53",2,0.698580633792173
"CCT4",2,0.698381928129857
"SLC25A5",2,0.697987889740245
"C1orf43",2,0.697860767829986
"GPAA1",2,0.697668092701541
"MRPS14",2,0.697652760578971
"PSMB2",2,0.697115506861742
"RAD23B",2,0.696263946508118
"SHKBP1",2,0.696071623680678
"DNAJB11",2,0.695985601600143
"ANP32B",2,0.695961858542626
"IDH2",2,0.695858818287572
"PARL",2,0.695385173710032
"HMGA1",2,0.695370196922125
"MAF1",2,0.695362535011257
"SEC13",2,0.695251554387805
"TCP1",2,0.69502100666348
"CCT8",2,0.694658617958225
"NCBP2-AS2",2,0.694545564860616
"TMEM14B",2,0.694329388699394
"HSF1",2,0.693490271734087
"PSIP1",2,0.693436251855329
"POLR2H",2,0.693360003019845
"HMGN1",2,0.693066369484072
"BRK1",2,0.692850913060548
"TSEN34",2,0.69274896957036
"YEATS4",2,0.692701894608423
"FIBP",2,0.692404300094672
"PAK4",2,0.692029939537663
"MAP3K13",2,0.691956612203714
"ISOC2",2,0.691546812803394
"EXOSC3",2,0.691309446578665
"ADI1",2,0.691177010777905
"ATRAID",2,0.691165083521414
"MRPL58",2,0.690977870417284
"PPIC",2,0.690559814888334
"OST4",2,0.689702049634953
"NDUFB7",2,0.6895538931235
"NOP10",2,0.689544283776438
"ILF2",2,0.689420655869957
"PSMB4",2,0.688860764415843
"PSMA3",2,0.688641813632585
"UROD",2,0.688510743349012
"RER1",2,0.688473590948547
"TSTA3",2,0.688365377781578
"CCT2",2,0.687473402111582
"NDUFB9",2,0.687041708995353
"AHSA1",2,0.687026241673721
"UQCRFS1",2,0.686945459633437
"CSNK2B",2,0.686831107010606
"LSM10",2,0.685909272831582
"SSR3",2,0.685648223424509
"DPY30",2,0.685578150439326
"FKBP8",2,0.685531645640735
"ALDH16A1",2,0.684813368998446
"RPL22L1",2,0.684631392084074
"COMMD3",2,0.684480352711463
"PLLP",2,0.684458556804169
"CFAP298",2,0.684359812729384
"SF3B5",2,0.684255490796421
"YBEY",2,0.682929631734393
"MRPL39",2,0.682905935039709
"PCMT1",2,0.682904971873039
"PPP2R1A",2,0.682247909839199
"HADHB",2,0.682212360628902
"MED10",2,0.682096968554463
"CFL1",2,0.681964265986137
"MRPS33",2,0.681905852914083
"RPN2",2,0.681850261160471
"DPM1",2,0.681744311086538
"ATP5MC3",2,0.681164988415725
"EMP2",2,0.681046126267442
"DHPS",2,0.680977138352753
"LAGE3",2,0.680962279386577
"ARL1",2,0.680701479394489
"SERP1",2,0.680660386976166
"UTP11",2,0.680413472583622
"SLPI",2,0.680067455338356
"NDUFS2",2,0.680031439404581
"CHCHD1",2,0.679883593276264
"SSR2",2,0.679525329995847
"UCHL3",2,0.679443106100249
"DGUOK",2,0.679412015383929
"LAMTOR2",2,0.679262090349024
"ASNA1",2,0.679056764475511
"MPZL2",2,0.678793428547349
"RBM17",2,0.678712889088142
"EIF4G1",2,0.678272849770983
"SFT2D1",2,0.678082495066888
"FBL",2,0.677736720717442
"CISD1",2,0.677693722290854
