"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster"
"CD74",1,0.973227986338528,0.653190120848313,1
"MTRNR2L8",1,0.954864114522909,0.633264530556644,2
"HLA-DRA",1,0.953537404927125,0.651256783765799,3
"TPM1",1,0.950990322845265,0.625417190964487,4
"MTRNR2L12",1,0.946344085612701,0.642898769446255,5
"IGHA1",1,0.939450121825152,0.637632003776818,6
"CLU",1,0.936305727057413,0.619421865944888,7
"IGLC2",1,0.935414464669153,0.635964274808985,8
"LTF",1,0.93044645719833,0.62051423717551,9
"MT-ND4L",1,0.922276879048047,0.628094383479836,10
"CEBPD",1,0.922162136076083,0.617741994732004,11
"PSMB9",1,0.91867673118409,0.609763652129933,12
"IFI16",1,0.916669730555907,0.611290231491519,13
"MT2A",1,0.913186112294133,0.584747817748963,14
"HLA-A",1,0.909307695309982,0.578284836426718,15
"B2M",1,0.908144527331965,0.557801211711697,16
"HLA-DPA1",1,0.905274317351769,0.603987622673488,17
"NNMT",1,0.905082287484921,0.595153859937464,18
"HLA-DRB1",1,0.899578780911235,0.600428385570245,19
"IGLC3",1,0.888153087358948,0.60068151134533,20
"BIRC3",1,0.887795923513974,0.587983554913135,21
"MT-ND3",1,0.886100859784522,0.601023463293339,22
"IGHG1",1,0.882741741907728,0.597900720651608,23
"UBC",1,0.876966152746811,0.50015846373827,24
"LGALS3BP",1,0.87215797649459,0.569297266341335,25
"TIMP1",1,0.869707235797621,0.563761472164139,26
"MT-ND5",1,0.856799176941493,0.572943865582214,27
"MT-ATP6",1,0.850733577558121,0.561897773189233,28
"SAA1",1,0.840226994389419,0.556435304731559,29
"IGKC",1,0.838851153887149,0.568950390446226,30
"TAGLN",1,0.837015324959274,0.562997981058334,31
"A2M",1,0.827435698732389,0.541520550504504,32
"PMP22",1,0.814158992514248,0.523006868220746,33
"IL32",1,0.805632367145365,0.531385401858568,34
"MT-CO2",1,0.802308599160844,0.535318532271122,35
"HLA-DQA1",1,0.78708421974647,0.517648489043684,36
"RPL36",1,0.780457522602755,0.414456370543364,37
"ACTA2",1,0.767779636310786,0.503284602875445,38
"RPS28",1,0.759818574597025,0.388858990109589,39
"ACTB",1,0.752357764221352,0.403621160993099,40
"SMIM22",1,0.740889524457606,0.475077352703708,41
"RPL34",1,0.715571559407713,0.376790627578965,42
"MT-CYB",1,0.707263293147554,0.452402494838143,43
"MT-CO3",1,0.684657620163083,0.424659788433919,44
"PLAT",1,0.662972033480803,0.418188740365785,45
"RPL37",1,0.650580231709899,0.311471803166893,46
"RPS15",1,0.649774535618948,0.306102924023014,47
"TMSB10",1,0.633495633057738,0.351257993843283,48
"MT-ND4",1,0.621923515706321,0.394430447720393,49
"MT-CO1",1,0.585142376394311,0.382269733415993,50
"RPS27",1,0.578322545225388,0.265206597693842,51
"ACTG1",1,0.528729636859762,0.182835653296657,52
"MT-ND1",1,0.41596199943839,0.231291534062844,53
"MMADHC",2,0.991123718292752,0.730679024582868,1
"PRDX2",2,0.988588529806881,0.72119222674023,2
"ATP5PO",2,0.988495963358668,0.732703550763307,3
"TMEM147",2,0.985935683774799,0.724118242632995,4
"PYM1",2,0.984905070189593,0.718751850567248,5
"PIGP",2,0.984848793145565,0.725759755157842,6
"KDELR1",2,0.983617407619931,0.719372407906079,7
"VDAC2",2,0.983167695674556,0.720741041012959,8
"TMEM167A",2,0.982671999930275,0.726750325580482,9
"ERH",2,0.982584175290392,0.723478324369629,10
"PSMD4",2,0.982295510486645,0.712453470392347,11
"LSR",2,0.982222224978477,0.719829291397525,12
"ETFB",2,0.98191326163743,0.724517490732241,13
"TRIR",2,0.981032524964986,0.723704870756369,14
"MTCH1",2,0.980878370820001,0.716555771977368,15
"GHITM",2,0.9806821533566,0.710085178948461,16
"ARL6IP6",2,0.980555487087355,0.720515351198644,17
"SRP19",2,0.980130211620491,0.718173772114719,18
"SOD1",2,0.979908908228897,0.725374761923121,19
"HINT2",2,0.979652589667215,0.720821735519807,20
"EIF3H",2,0.97930987999575,0.720756648078994,21
"EXOSC4",2,0.979095113422127,0.709921247251659,22
"BABAM1",2,0.978385888610738,0.722766434456141,23
"SRP72",2,0.978217914583519,0.709505272851862,24
"ATP5F1C",2,0.978192803939768,0.724168867525541,25
"CBR3",2,0.977231289785019,0.718712847337462,26
"TMEM14A",2,0.977121121091542,0.713507343315238,27
"PDCD6",2,0.977108751028309,0.717846604387382,28
"RAD23A",2,0.97688719445626,0.722281804497367,29
"MRPL36",2,0.976820626521659,0.717531670802776,30
"COPE",2,0.976803237933757,0.713775216848439,31
"GRHPR",2,0.976666655877916,0.712693369991778,32
"TBCB",2,0.976258093580517,0.709129212044294,33
"OCIAD2",2,0.975766798502501,0.719312556052407,34
"REXO2",2,0.975724473789174,0.717763016291053,35
"PSMA5",2,0.975388639983331,0.71640097684527,36
"ATG101",2,0.975309262785073,0.702643883692769,37
"SLC9A3R1",2,0.975291311927231,0.722124607869608,38
"EBPL",2,0.975125441459247,0.700163956954407,39
"MRPS6",2,0.974652119120544,0.714650924301957,40
"RAB10",2,0.973952509641989,0.720801223739848,41
"ACP1",2,0.973267878857718,0.718687319413555,42
"NDUFB5",2,0.972074247097742,0.722567528873049,43
"TRAPPC4",2,0.971707384856322,0.717496843695598,44
"PPA1",2,0.971191148029911,0.708136240344961,45
"MRPS16",2,0.970591670710434,0.702273631129638,46
"PSMB5",2,0.970562521488721,0.702905088068556,47
"ATP5PF",2,0.970426574624775,0.706628107547144,48
"SEC61B",2,0.970311668447905,0.713774205372867,49
"NDUFA8",2,0.970199241024851,0.708573945627186,50
"KRT19",2,0.970127941910441,0.70728643874226,51
"ATP5PB",2,0.97004919132718,0.713565670302222,52
"STMP1",2,0.969917118523158,0.70488251155243,53
"DNAJC19",2,0.9690682382765,0.713468403691575,54
"SDHB",2,0.968674174321213,0.702935662018466,55
"C19orf53",2,0.968125620646521,0.698580633792173,56
"MTX2",2,0.967957159778408,0.699140934322188,57
"HSF1",2,0.96790918022479,0.693490271734087,58
"CBR1",2,0.967700938215033,0.707741376081089,59
"C1orf43",2,0.967677797010842,0.697860767829986,60
