"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster","Peak_Bin","Peak_Z_Score","Trough_Bin","Trough_Z_Score","Early_Mean","Late_Mean","Early_Late_Difference","Overall_Slope","Temporal_Pattern"
"CD74",1,0.973227986338528,0.653190120848313,1,4,2.07884171660789,6,-0.556856982360264,1.94094488529671,-0.497461141206084,-2.4384060265028,-0.119408971722698,"Early_Peaking_Decreasing"
"MTRNR2L8",1,0.954864114522909,0.633264530556644,2,3,2.84128791310651,6,-0.630237768808333,1.84228679174122,-0.496342348272804,-2.33862914001402,-0.109926879980351,"Early_Peaking_Decreasing"
"HLA-DRA",1,0.953537404927125,0.651256783765799,3,4,2.28372496891938,7,-0.548628427895972,1.88391304050517,-0.541564354659722,-2.42547739516489,-0.121627818121917,"Early_Peaking_Decreasing"
"TPM1",1,0.950990322845265,0.625417190964487,4,3,2.67433560592476,8,-0.935512350413945,1.79005514428794,-0.615549528529699,-2.40560467281764,-0.121098931727031,"Early_Peaking_Decreasing"
"MTRNR2L12",1,0.946344085612701,0.642898769446255,5,3,2.27634710633629,8,-0.678384123314894,1.89462035287721,-0.561820134360322,-2.45644048723753,-0.124586588144917,"Early_Peaking_Decreasing"
"IGHA1",1,0.939450121825152,0.637632003776818,6,4,2.78247940057152,6,-0.524359494470416,1.83659452162971,-0.524359494470416,-2.36095401610013,-0.116961190492429,"Early_Peaking_Decreasing"
"CLU",1,0.936305727057413,0.619421865944888,7,2,2.70494527271427,6,-0.665387077653642,1.79394728058224,-0.39099962432646,-2.1849469049087,-0.112036626523898,"Early_Peaking_Decreasing"
"IGLC2",1,0.935414464669153,0.635964274808985,8,4,2.17081464564861,6,-0.595501984533068,1.79577206796232,-0.595501984533068,-2.39127405249539,-0.130547620968299,"Early_Peaking_Decreasing"
"LTF",1,0.93044645719833,0.62051423717551,9,2,3.0230943729906,6,-0.503487871160256,1.75001869001773,-0.499858950882862,-2.24987764090059,-0.117110066567691,"Early_Peaking_Decreasing"
"MT-ND4L",1,0.922276879048047,0.628094383479836,10,3,2.29748663122968,8,-1.03270017888757,1.82937522473887,-0.539069680538546,-2.36844490527742,-0.119323648728574,"Early_Peaking_Decreasing"
