"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Temporal_Cluster"
"GO:0002181","cytoplasmic translation","45/468","201/15373",0.223880597014925,7.35409491006506,16.0676526082407,1.67137383107104e-26,6.25260950203678e-23,6.06092931372605e-23,"EIF3H/EIF2D/RPL22L1/SYNCRIP/EIF4G1/EIF3D/EIF3L/RPS7/RPS25/RPL23A/RPS16/RPL35A/RPL8/RPL31/RPS5/RPS10/YBX1/RPL7/RPL24/EIF4A2/RPS23/RPL27/RRAGA/RPL13A/RPL5/RPS26/RPL18A/RPS11/RPS18/RPL18/UBA52/RPLP2/RPS6/RPL28/RPL7A/RPL32/RPS27A/RPS9/RPL6/RPL10A/RPS24/RPL21/RPL41/RPL10/NCBP2",45,"2"
"GO:0006119","oxidative phosphorylation","23/468","136/15373",0.169117647058824,5.55522561588738,9.45478672344059,2.03095574264383e-11,3.79890271661528e-08,3.68244343863578e-08,"ATP5PO/GHITM/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/ATP5F1B/UQCRFS1/NDUFB9/DGUOK/NDUFS2/ATP5PD/COX4I1/ATP5MG/CHCHD2/COX5B/UQCRH",23,"2"
"GO:0015986","proton motive force-driven ATP synthesis","16/468","71/15373",0.225352112676056,7.40243168412182,9.58124957438719,2.89544589080442e-10,3.61062102583311e-07,3.49993371713025e-07,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/ATP5MG",16,"2"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","15/468","65/15373",0.230769230769231,7.58037475345168,9.42041864313999,7.33667542451959e-10,6.86162569078195e-07,6.65127548354473e-07,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5PD/ATP5MG",15,"2"
"GO:0022613","ribonucleoprotein complex biogenesis","39/468","444/15373",0.0878378378378378,2.88532282282282,7.14305468909166,2.84970834841987e-09,2.13215178628775e-06,2.06678847585399e-06,"EIF3H/EXOSC4/EIF2D/NOP10/PIH1D1/SF3B5/EXOSC3/PSIP1/SF3B6/YBEY/FBL/PUF60/SRSF9/LSM4/UTP11/EIF3D/GNL2/PRPF31/SF3B2/EIF3L/RPS7/RPS25/CDKN2A/GTPBP4/RPS16/RPL35A/RPS5/RPL7/RPL24/RPS23/RPL27/RPL13A/RPL5/RPS11/RPS6/RPL7A/RPS27A/RPS9/RPS24",39,"2"
"GO:0006754","ATP biosynthetic process","17/468","95/15373",0.178947368421053,5.87811515969411,8.4508953301185,3.57100046567671e-09,2.22651879034943e-06,2.15826256215022e-06,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/ATP5MG/PARP1",17,"2"
"GO:0045333","cellular respiration","31/468","312/15373",0.0993589743589744,3.26377246329169,7.15822408763743,7.32909046616395e-09,3.53853569548891e-06,3.43005823687989e-06,"ATP5PO/ETFB/GHITM/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/IDH2/ATP5F1B/UQCRFS1/NDUFB9/DGUOK/NDUFS2/CISD1/MDH1/PGAM1/ATP5PD/COX4I1/ATP5MG/CHCHD2/COX5B/UQCRH/DDIT4/GPI/GAPDH",31,"2"
"GO:0009060","aerobic respiration","29/468","278/15373",0.10431654676259,3.42662024226772,7.23485413562513,7.56703703927059e-09,3.53853569548891e-06,3.43005823687989e-06,"ATP5PO/GHITM/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/IDH2/ATP5F1B/UQCRFS1/NDUFB9/DGUOK/NDUFS2/MDH1/PGAM1/ATP5PD/COX4I1/ATP5MG/CHCHD2/COX5B/UQCRH/DDIT4/GPI/GAPDH",29,"2"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","17/468","105/15373",0.161904761904762,5.31829466829467,7.8675221120015,1.72429084277085e-08,6.27255420332313e-06,6.08026258963919e-06,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/ATP5MG/PARP1",17,"2"
"GO:1902600","proton transmembrane transport","22/468","176/15373",0.125,4.10603632478632,7.34355001146998,1.97796672999988e-08,6.27255420332313e-06,6.08026258963919e-06,"ATP5PO/GHITM/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/NDUFB3/NDUFB7/CYC1/ATP5F1B/UQCRFS1/NDUFB9/SLC25A5/NDUFS2/ATP6V1G1/ATP5MC3/ATP5PD/COX4I1/ATP5MG/COX5B/UQCRH",22,"2"
"GO:0009145","purine nucleoside triphosphate biosynthetic process","17/468","106/15373",0.160377358490566,5.26812207708434,7.81330965928689,1.99688349022318e-08,6.27255420332313e-06,6.08026258963919e-06,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/ATP5MG/PARP1",17,"2"
"GO:0042773","ATP synthesis coupled electron transport","16/468","94/15373",0.170212765957447,5.59119839970904,7.91160590549296,2.17971677741782e-08,6.27255420332313e-06,6.08026258963919e-06,"GHITM/NDUFB5/NDUFA8/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/UQCRFS1/NDUFB9/DGUOK/NDUFS2/COX4I1/CHCHD2/COX5B/UQCRH",16,"2"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","16/468","94/15373",0.170212765957447,5.59119839970904,7.91160590549296,2.17971677741782e-08,6.27255420332313e-06,6.08026258963919e-06,"GHITM/NDUFB5/NDUFA8/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/UQCRFS1/NDUFB9/DGUOK/NDUFS2/COX4I1/CHCHD2/COX5B/UQCRH",16,"2"
"GO:0022904","respiratory electron transport chain","17/468","108/15373",0.157407407407407,5.17056426084204,7.70691226350295,2.66398064034987e-08,7.11853683967775e-06,6.90031075639496e-06,"ETFB/GHITM/NDUFB5/NDUFA8/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/UQCRFS1/NDUFB9/DGUOK/NDUFS2/COX4I1/CHCHD2/COX5B/UQCRH",17,"2"
"GO:0009201","ribonucleoside triphosphate biosynthetic process","17/468","111/15373",0.153153153153153,5.03081928081928,7.55216059059822,4.05286149868731e-08,1.01078365777262e-05,9.79797043015985e-06,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/ATP5MG/PARP1",17,"2"
"GO:0006457","protein folding","23/468","204/15373",0.112745098039216,3.70348374392492,6.88783119161095,6.64317867375491e-08,1.55325821365732e-05,1.50564148230827e-05,"TBCB/DNAJC19/FKBP8/DNAJB11/PFDN4/PPIC/CCT4/CCT2/TCP1/CDC123/AHSA1/ERP44/SELENOF/FKBP10/CCT8/WDR83OS/TBCA/PDIA6/GRN/CALR/LMAN1/CCT5/LTBP4",23,"2"
"GO:0032543","mitochondrial translation","18/468","129/15373",0.13953488372093,4.5834824090638,7.24223789024743,7.1146309705886e-08,1.56563732123364e-05,1.51764109558376e-05,"MRPL36/MRPS6/MRPS16/GADD45GIP1/TSFM/MRPS14/MRPS33/MRPL9/MRPL34/CHCHD1/MRPL3/MRPL58/MRPL14/MRPL39/MRPS12/MRPS15/MRPL47/TRMT10C",18,"2"
"GO:0022900","electron transport chain","17/468","118/15373",0.144067796610169,4.73238084890627,7.21178837696102,1.0210933003335e-07,2.12217224252646e-05,2.05711486529176e-05,"ETFB/GHITM/NDUFB5/NDUFA8/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/UQCRFS1/NDUFB9/DGUOK/NDUFS2/COX4I1/CHCHD2/COX5B/UQCRH",17,"2"
"GO:0009142","nucleoside triphosphate biosynthetic process","17/468","119/15373",0.142857142857143,4.69261294261294,7.16535185775443,1.15837088964329e-07,2.28077131481871e-05,2.21085191956849e-05,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/ATP5MG/PARP1",17,"2"
"GO:0140053","mitochondrial gene expression","20/468","166/15373",0.120481927710843,3.95762537328802,6.78887103500372,1.61844177435904e-07,3.02729533893858e-05,2.93449048035099e-05,"MRPL36/MRPS6/MRPS16/GADD45GIP1/TSFM/MRPS14/MRPS33/MRPL9/MRPL34/CHCHD1/MRPL3/MRPL58/MRPL14/TFAM/MRPL39/MRPS12/MRPS15/SLIRP/MRPL47/TRMT10C",20,"2"
