ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Temporal_Cluster,Database
R-HSA-72766,Translation,80/373,344/10039,0.23255813953488372,6.259118398902674,19.497228387749928,1.1845354390925265e-42,1.3397095816136474e-39,8.790499837476117e-40,PSMB2/MRPS15/RPL5/PSMA5/PSMB4/MRPL9/SSR2/MRPS14/RPS7/RPS27A/RPL31/EEF1B2/RPL32/RPL24/MRPL3/SSR3/RPL22L1/MRPL47/PSMD2/EIF4G1/EIF4A2/RPL39L/RPL35A/SRP72/MRPL36/RPS23/SRP19/SSR1/RPS18/RPS10/RPL10A/MRPL14/EEF1A1/PSMB1/MRPS33/RPL10/RPL7/EIF3H/RPL8/RPS6/SEC61B/RPL7A/RPLP2/RPS25/PPA1/MRPS16/CHCHD1/RPS24/RPS26/RPL41/TSFM/RPL6/RPL21/PSMB5/PSMA3/UBB/RPL23A/RPL27/MRPL58/SEC11C/RPN2/FARSA/GADD45GIP1/MRPL34/RPL18A/UBA52/MRPS12/RPS16/PSMC4/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/EIF3D/EIF3L/RBX1/MRPL39/MRPS6,80,2,Reactome
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,44/373,111/10039,0.3963963963963964,10.668695505156633,20.121164173855107,1.9055720813400883e-34,1.07760101199782e-31,7.070675354446117e-32,RPL5/SSR2/RPS7/RPS27A/RPL31/RPL32/RPL24/SSR3/RPL22L1/RPL39L/RPL35A/SRP72/RPS23/SRP19/SSR1/RPS18/RPS10/RPL10A/RPL10/RPL7/RPL8/RPS6/SEC61B/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/SEC11C/RPN2/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5,44,2,Reactome
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,49/373,157/10039,0.31210191082802546,8.399976093304417,18.357449166773826,1.5494779004349675e-32,5.841531684639828e-30,3.832919016865446e-30,PSMB2/MAGOH/RPL5/PSMA5/PSMB4/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/PSMD2/EIF4G1/RPL39L/NCBP2/RPL35A/RPS23/RPS18/RPS10/RPL10A/PSMB1/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/PSMB5/PSMA3/UBB/RPL23A/RPL27/RPL18A/UBA52/RPS16/PSMC4/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/RBX1,49,2,Reactome
R-HSA-9948299,Ribosome-associated quality control,46/373,143/10039,0.32167832167832167,8.65771761750314,18.117244237259058,3.117780731584666e-31,8.815525018555644e-29,5.78430372570313e-29,PSMB2/RPL5/PSMA5/PSMB4/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/PSMD2/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/PSMB1/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/PSMB5/PSMA3/UBB/RPL23A/RPL27/RPL18A/UBA52/RPS16/PSMC4/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/RBX1,46,2,Reactome
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,41/373,110/10039,0.37272727272727274,10.031659761150378,18.709654683578847,7.378979192663093e-31,1.6691250933803916e-28,1.0951958591215748e-28,RPL5/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/EIF4G1/EIF4A2/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/RPL10/RPL7/EIF3H/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/EIF3D/EIF3L,41,2,Reactome
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,41/373,111/10039,0.36936936936936937,9.941284447986861,18.607375959572796,1.1319616915533222e-30,1.928704978573019e-28,1.2655191120051916e-28,RPL5/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/EIF4G1/EIF4A2/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/RPL10/RPL7/EIF3H/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/EIF3D/EIF3L,41,2,Reactome
R-HSA-156842,Eukaryotic Translation Elongation,38/373,92/10039,0.41304347826086957,11.116738547616274,19.1488632334708,1.1937166091963866e-30,1.928704978573019e-28,1.2655191120051916e-28,RPL5/RPS7/RPS27A/RPL31/EEF1B2/RPL32/RPL24/RPL22L1/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/EEF1A1/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5,38,2,Reactome
R-HSA-72689,Formation of a pool of free 40S subunits,39/373,100/10039,0.39,10.496541554959785,18.74773231150713,2.7831849479795453e-30,3.7315971834883694e-28,2.4484862156073345e-28,RPL5/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/RPL10/RPL7/EIF3H/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/EIF3D/EIF3L,39,2,Reactome
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),38/373,94/10039,0.40425531914893614,10.880212195539329,18.90524984418254,3.169719274710473e-30,3.7315971834883694e-28,2.4484862156073345e-28,RPL5/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/EIF4G1/RPL39L/NCBP2/RPL35A/RPS23/RPS18/RPS10/RPL10A/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5,38,2,Reactome
R-HSA-156902,Peptide chain elongation,37/373,88/10039,0.42045454545454547,11.316201559834267,19.09336206055567,3.2993785884070465e-30,3.7315971834883694e-28,2.4484862156073345e-28,RPL5/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/EEF1A1/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5,37,2,Reactome
