"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Biological_Theme"
"GO_BP","1","GO:1903039","positive regulation of leukocyte cell-cell adhesion","8/52","279/15373",4.00975194901024e-06,0.000116091865952296,8.48178106507428e-05,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1/ACTB",8,"Cell adhesion / extracellular interactions"
"GO_BP","1","GO:0045785","positive regulation of cell adhesion","10/52","495/15373",5.13205931819907e-06,0.000141831457521138,0.000103623398673685,"CD74/HLA-DRA/TPM1/HLA-A/B2M/HLA-DPA1/HLA-DRB1/SAA1/HLA-DQA1/ACTB",10,"Cell adhesion / extracellular interactions"
"GO_BP","1","GO:0022409","positive regulation of cell-cell adhesion","8/52","332/15373",1.43014192504077e-05,0.000354908689969302,0.000259299631521893,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1/ACTB",8,"Cell adhesion / extracellular interactions"
"GO_BP","1","GO:1903037","regulation of leukocyte cell-cell adhesion","8/52","377/15373",3.55814773580572e-05,0.000721117941123293,0.000526855559477198,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1/ACTB",8,"Cell adhesion / extracellular interactions"
"GO_BP","1","GO:0007159","leukocyte cell-cell adhesion","8/52","412/15373",6.65823145855007e-05,0.00117339267443433,0.00085729173928547,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1/ACTB",8,"Cell adhesion / extracellular interactions"
"GO_BP","1","GO:1903421","regulation of synaptic vesicle recycling","2/52","29/15373",0.00429762526031543,0.0326619519783973,0.0238631297349094,"ACTB/ACTG1",2,"Cell cycle / proliferation"
"Reactome","1","R-HSA-5675482","Regulation of necroptotic cell death","2/43","18/10039",0.00262518999461078,0.0205575485313859,0.0157036829059198,"BIRC3/UBC",2,"Cell death / apoptosis"
"Reactome","1","R-HSA-9711097","Cellular response to starvation","6/43","152/10039",4.19030568813026e-05,0.00068960459324658,0.000526781286507804,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6,"Cellular stress / hypoxia / redox"
"GO_BP","1","GO:0001666","response to hypoxia","7/52","293/15373",5.45818242623421e-05,0.00100562876216679,0.000734721844934875,"MT-ND5/MT-CO2/MT-CYB/PLAT/MT-ND4/MT-CO1/MT-ND1",7,"Cellular stress / hypoxia / redox"
"GO_BP","1","GO:0072331","signal transduction by p53 class mediator","4/52","188/15373",0.00371063778875546,0.0296569572730618,0.0216676523013021,"CD74/IFI16/RPL37/RPS15",4,"DNA damage / repair / checkpoint"
