"Temporal_Cluster","Gene"
"1","CD74"
"1","MTRNR2L8"
"1","HLA-DRA"
"1","TPM1"
"1","MTRNR2L12"
"1","IGHA1"
"1","CLU"
"1","IGLC2"
"1","LTF"
"1","MT-ND4L"
"1","CEBPD"
"1","PSMB9"
"1","IFI16"
"1","MT2A"
"1","HLA-A"
"1","B2M"
"1","HLA-DPA1"
"1","NNMT"
"1","HLA-DRB1"
"1","IGLC3"
"1","BIRC3"
"1","MT-ND3"
"1","IGHG1"
"1","UBC"
"1","LGALS3BP"
"1","TIMP1"
"1","MT-ND5"
"1","MT-ATP6"
"1","SAA1"
"1","IGKC"
"1","TAGLN"
"1","A2M"
"1","PMP22"
"1","IL32"
"1","MT-CO2"
"1","HLA-DQA1"
"1","RPL36"
"1","ACTA2"
"1","RPS28"
"1","ACTB"
"1","SMIM22"
"1","RPL34"
"1","MT-CYB"
"1","MT-CO3"
"1","PLAT"
"1","RPL37"
"1","RPS15"
"1","TMSB10"
"1","MT-ND4"
"1","MT-CO1"
"1","RPS27"
"1","ACTG1"
"1","MT-ND1"
"2","MMADHC"
"2","PRDX2"
"2","ATP5PO"
"2","TMEM147"
"2","PYM1"
"2","PIGP"
"2","KDELR1"
"2","VDAC2"
"2","TMEM167A"
"2","ERH"
"2","PSMD4"
"2","LSR"
"2","ETFB"
"2","TRIR"
"2","MTCH1"
"2","GHITM"
"2","ARL6IP6"
"2","SRP19"
"2","SOD1"
"2","HINT2"
"2","EIF3H"
"2","EXOSC4"
"2","BABAM1"
"2","SRP72"
"2","ATP5F1C"
"2","CBR3"
"2","TMEM14A"
"2","PDCD6"
"2","RAD23A"
"2","MRPL36"
"2","COPE"
"2","GRHPR"
"2","TBCB"
"2","OCIAD2"
"2","REXO2"
"2","PSMA5"
"2","ATG101"
"2","SLC9A3R1"
"2","EBPL"
"2","MRPS6"
"2","RAB10"
"2","ACP1"
"2","NDUFB5"
"2","TRAPPC4"
"2","PPA1"
"2","MRPS16"
"2","PSMB5"
"2","ATP5PF"
"2","SEC61B"
"2","NDUFA8"
"2","KRT19"
"2","ATP5PB"
"2","STMP1"
"2","DNAJC19"
"2","SDHB"
"2","C19orf53"
"2","MTX2"
"2","HSF1"
"2","CBR1"
"2","C1orf43"
"2","EPCAM"
"2","EIF2D"
"2","ELOF1"
"2","SSB"
"2","AP2M1"
"2","NUDT5"
"2","FKBP8"
"2","RAD23B"
"2","ABRACL"
"2","GADD45GIP1"
"2","MAF1"
"2","SDHC"
"2","GPAA1"
"2","TSFM"
"2","SSR3"
"2","FIBP"
"2","NDUFB3"
"2","COMT"
"2","KIN"
"2","PSMC4"
"2","ATRAID"
"2","DNAJB11"
"2","TECR"
"2","DYNLT1"
"2","CUTA"
"2","PFDN4"
"2","HSPB11"
"2","CBX5"
"2","PSMB1"
"2","RER1"
"2","CSNK2B"
"2","MRPS14"
"2","MRPS33"
"2","PPIC"
"2","MAP3K13"
"2","NOP10"
"2","RPN2"
"2","HADHB"
"2","YEATS4"
"2","PARL"
"2","PIH1D1"
"2","NDUFB7"
"2","TFG"
"2","SFT2D1"
"2","CCT4"
"2","SF3B5"
"2","ANP32B"
"2","TMEM14B"
"2","OST4"
"2","TMEM134"
"2","CYC1"
"2","ASNA1"
"2","ADI1"
"2","TSTA3"
"2","VPS72"
"2","PSMA3"
"2","CCT2"
"2","TCP1"
"2","HMGA1"
"2","MRPL9"
"2","IDH2"
"2","HDAC2"
"2","ATP5F1B"
"2","UQCRFS1"
"2","LSM10"
"2","ILF2"
"2","CDC123"
"2","AHSA1"
"2","SSR2"
"2","STX10"
"2","PTRHD1"
"2","COMMD3"
"2","HMGN1"
"2","RPL22L1"
"2","NDUFB9"
"2","ERP44"
"2","BRK1"
"2","RAB1A"
"2","SMAGP"
"2","DPY30"
"2","CFAP298"
"2","PCMT1"
"2","PSMB2"
"2","TCTEX1D2"
"2","SLC25A5"
"2","CRIPT"
"2","SELENOF"
"2","TSPO"
