"Gene","Bin_1","Bin_2","Bin_3","Bin_4","Bin_5","Bin_6","Bin_7","Bin_8","Bin_9","Bin_10","Bin_11","Bin_12","Bin_13","Bin_14","Bin_15","Bin_16","Bin_17","Bin_18","Bin_19","Bin_20"
"IGFBP5",-1.50597872654837,-1.35331233415241,-0.834254539627525,-1.28757617998337,-1.41810180128932,-0.751036977289904,-0.0393716029249449,-0.450156271698333,-0.131289308680621,-0.196894010899714,-0.102679165367185,-0.00531423963129171,0.192491484841731,0.619797690475458,0.842703594621291,0.797385540334102,1.39698396962339,1.47301768434629,1.27366866657645,1.47991652727427
"NDUFA4L2",-1.22834906286639,-1.23510191833789,-1.23053990013727,-1.05431422166512,-1.13855181351348,-1.24469978725209,-0.512208869385697,0.122237561792916,-0.334599196213121,-0.452653013976795,0.25680411120111,0.55406035434445,0.00718801366462086,0.575402758955366,1.35552546262042,1.13613491682596,1.88283928531246,1.30948458923319,0.457731966638355,0.773608762759006
"SEC61B",-0.986382167542452,-1.33381078247377,-1.45920444438644,-0.937294461536166,-1.32392043376548,-1.42292765855051,-1.45648916075548,-0.0107638674928223,0.525075976377004,0.627413213722742,0.554653923219352,0.558535781527061,0.471211321592821,0.509107997375574,0.709266114298349,0.708134136463798,1.04874020618177,1.05010709480641,1.16382653577343,1.00472067516482
"PRDX2",-0.397766231889624,-1.11711907024553,-1.09994284441975,-0.918412076576276,-1.42448817219062,-2.02654775781737,-1.06638478743697,-0.830930000325513,0.59047967049013,0.67162923539553,0.595284059962774,0.4535404391416,0.557362476250402,0.399949317738374,0.549173821450222,0.563395239856575,1.09293685055922,0.954192326129825,1.14882092196695,1.30482658196006
"RPL7",-0.437212962306422,-0.809943123282832,-1.01053294380365,-1.27920866718706,0.230593687633345,-2.90893479747916,-1.29852256339868,0.159337539621693,0.72514462450344,0.572445945746951,0.229976262481345,0.623267687074611,0.478725388362328,0.480265092656077,0.462516129815819,0.20226020289627,0.725766220659293,0.976334621142031,1.02894970826251,0.848771946602094
"COL8A1",-0.866165050660684,-0.79207111400455,-0.818570820812443,-0.797201976795288,-0.880355299302299,-0.880355299302299,-0.594746155251341,-0.70146468926911,-0.496861222839425,-0.619785945862264,-0.113222095420724,-0.387137888577187,0.0740087227183987,0.459054153059579,0.28303029465217,0.299136653189502,1.03428622583132,1.53203621768841,1.7988549403712,2.46753035058704
"VCAN",-1.44227074868507,-1.43117713742676,-1.4574156552389,-1.34945646132427,-1.40983794006836,-0.417628993962557,0.766710141304618,-0.970600394243109,0.477786572850801,0.47285198435319,0.402167616838018,0.472007392248034,0.395495880852239,0.451694011609663,0.151446413576774,0.11725499383654,0.774051031516684,1.23049313268838,1.55809784986701,1.20833030940707
"HOOK2",-0.889517482643491,-1.21421864986488,-1.29301873528037,-1.53126241857134,-1.7453107406044,1.07187612975962,1.22842470789733,-1.5484680688031,-0.296345855692309,0.112785393914474,0.246407094958728,0.339475592761475,0.216106536368033,0.521705806886984,0.575356090617584,0.716497355012201,1.10340641639383,0.99663383931533,0.701192110241982,0.688274877332324
"CD63",-0.197144190957735,-0.434150382661683,-0.463302028152283,-1.40541112197977,-1.9901522073618,-2.14623560673736,-0.953148213596608,-0.592376074726369,0.158526393535079,0.434360871010583,0.522322249372538,0.42704980141989,0.521931926290049,0.533047867023354,0.650241607813214,0.558138889551563,1.07235181114636,1.04460354031186,1.09061068635731,1.1687341823418
"MT-ND3",1.32732411389189,1.79956420715281,1.85613139142963,1.72180913194977,0.149095259544444,0.555271251190615,0.562082151361775,-1.84444503607673,-0.533752494893367,-0.2713774772134,-0.405026416134234,-0.488010326528012,-0.341576670214538,-0.42320461891013,-0.673098943964625,-0.766379143425107,-0.936578034075207,-0.527580348931287,-0.375782205681135,-0.384465790473161
"TMEM205",-0.365423801760106,-0.991069043015277,-1.17145916822967,-1.25353624143033,-1.40879316531711,-0.755917281790843,-0.756996796160289,-1.27159455213977,-0.060862118342471,0.322088633437657,0.39633040463365,0.274520615732772,0.0385896069724763,0.203626656016002,0.266393787140996,0.400961879130741,1.57247407529813,1.38262359330333,1.8588335496671,1.31920936685301
"RPL18A",-1.01975849882738,-0.844049138833923,-0.900299316597354,-0.551323779729522,-0.145938554079748,-3.11715951197506,-1.17209392158011,0.442670587576931,0.448572973019714,0.366152934127559,0.434155758913837,0.616262545493379,0.837314169565519,0.969031889709441,0.822902574222447,0.570475593561952,0.527973977912056,0.655428454913041,0.598190899535263,0.461490363071966
"TRIR",-0.881985028657461,-1.16419519318112,-1.24391985846393,-1.25633116399263,-1.54238666511888,-1.71426416363966,-0.758109888148957,-0.710680580215266,0.530068508955277,0.676272905873215,0.738740503996957,0.661854630846747,0.832970849707123,0.818628393687157,0.74807922454803,0.684403551817409,0.829546563856003,0.853481507815579,0.871416262160451,1.02640963815396
"MT-CO2",1.13663538111122,1.4455267550426,1.54783363590164,1.7905947617102,-0.0134119186993753,0.890531616984286,0.501891641207308,-2.5658406003135,-0.55461593934159,-0.157395388663699,-0.206772114990306,-0.354476535796141,-0.189716711430822,-0.24301568311008,-0.57527167911012,-0.64519251524145,-0.860720953111972,-0.359691811047463,-0.327753086769491,-0.259138854331248
"CALML3",-0.611986540402971,-0.549669110367106,-0.339939892925459,-1.21720031324828,-1.21307845466571,-0.929385705662232,-0.353479450904228,-0.678844497134357,-1.0703791166216,-1.01175357416685,-0.116278615735194,-0.726256669654161,0.623628509934364,1.71302449132748,0.78448185373499,0.8009453044348,1.1701594892584,1.63435277999391,1.42437110840219,0.667288404402006
"RPL35A",-1.23988278740292,-0.925661114952059,-0.859212473935197,-1.72347871455618,-0.664866311431058,-2.21012900553104,-1.16103785237941,0.502774719348713,0.737634650574938,0.679783303885164,0.561326507655431,0.886050560467911,0.783775626561098,0.862587605688265,0.87954271861108,0.662312724398415,0.587746379749575,0.705913095994287,0.544890491452081,0.389929875800914
"IGKC",0.923444484889194,1.79177811852136,1.20410797273011,2.01971503252224,2.22541447162856,-0.556635435111521,-0.446499790092318,-0.556635435111521,-0.521525861960735,-0.55421856635942,-0.548382055554652,-0.554109633502931,-0.550391981695347,-0.552270543109292,-0.553692349647176,-0.556635435111521,-0.554611360766882,-0.552063054020141,-0.556635435111521,-0.550153143136497
"CBR3",-1.32326497391871,-1.17565053422668,-1.18886627961065,-1.14516592022028,-1.27264716579741,-1.42971985288498,-0.643431506626136,-0.777833054366325,0.447576556261242,0.648728676934065,0.874848230725633,0.604117943236151,0.399328879161032,0.375414771381373,0.428957819332558,0.438361994026346,0.854277609297243,0.906862653488695,1.33997179064458,1.63813236316225
"MT-ATP6",1.19030892126438,1.69872753237997,1.74745362717985,1.58257729391308,-0.0387254267341012,0.370520410908145,0.692623619324624,-2.44958133992267,-0.629884417327868,-0.200736034904416,-0.270610646048621,-0.330366606315726,-0.113378640188815,-0.139442601511005,-0.569662691104326,-0.649929085444903,-0.884330025134932,-0.316920667648208,-0.377079577338199,-0.311563645346255
"LAPTM4A",-0.515616499798348,-0.83392080837463,-0.975170891721715,-1.68479956290262,-1.96739593474709,-1.88064253658309,-0.298754240587313,0.187829547777867,0.435850934745288,0.75136092269852,0.629545018632141,0.530123308541839,0.130071600419019,0.0964116286848124,0.504667200459702,0.570167223241434,1.14496116838074,1.00624775427129,1.1261255335521,1.04293863331005
"CSTB",-1.62097348075512,-1.71448108660024,-1.85144662813193,-0.634648784180372,-1.3612226505595,-1.20006210549577,-0.194289875392981,0.712786566132534,0.549327345474916,0.567435552480606,0.583557870851864,0.673131428446183,0.291738436747199,0.27259964115876,0.70920941230174,0.714119828137672,1.10930826373188,0.90782868752672,0.829015062650508,0.657066515475313
"ATP5PO",-0.661374057403959,-1.23721592161123,-1.30718049034504,-1.05165283125747,-1.33787819042217,-1.80444304720927,-0.98485972912124,-0.75845461278214,0.891320832926061,0.916579345729288,0.653509391566045,0.663640569415387,0.618045488002054,0.436978517547945,0.52288152430253,0.486011944945076,0.731246193858313,0.904376900225519,1.13495600695621,1.1835121646781
"NACA",-0.629152607503825,-0.504292775686652,-0.553919007433146,-1.78717044797626,-0.64958142356525,-2.45229052701117,-1.54781433942497,-0.210722232241533,0.716319706203898,0.605831457878176,0.536192692711522,0.730432543629094,0.852436178703927,0.923914367861809,0.799898702240111,0.505839773025209,0.618142946089082,0.688564293089712,0.77519257309861,0.582178126311658
"C6orf48",-0.812797252310349,-1.05935384259432,-1.10346568424178,-1.47680451604562,-1.08755057762575,-1.71353363475057,-1.05398440756329,-0.887532137782816,0.561435379609802,0.28058502134813,0.635611779420501,0.73481546059903,1.01094971988974,1.2357092084471,1.04038429786803,0.900637802193537,0.886949279864248,0.705979442838892,0.52005648175979,0.681908179075704
"RPS16",-1.17277003413731,-1.16939195565586,-1.0470309021731,-1.24608812482029,-0.294592191898931,-2.52215354670754,-1.1160128397423,0.390438487863863,0.7770616743579,0.710589661429016,0.544990092934315,0.79872295456049,0.855523567954674,0.87373285826176,0.743585626196874,0.510486731510322,0.493537899309066,0.637518655786228,0.63634600875302,0.59550537621781
"EEF1A1",-0.230201725744758,-0.49609293215215,-0.466238640497823,-1.64429860885499,-0.618830317795623,-2.96980390010981,-1.31387388382228,0.523310081523819,0.70464866138712,0.515235242095478,0.26346204250652,0.724323852655632,0.647924570139563,0.743658860541139,0.76583553202575,0.491290519679581,0.62038335993416,0.69564429300515,0.58041120460274,0.463211788880779
"HEY1",-1.02535379677369,-0.947354710094872,-0.895244449940514,-0.987547208963368,-1.02089759482254,-1.05030140540257,-0.810389091434673,-0.371734303692738,-0.278826617173387,-0.0415212766734181,0.153358778734739,-0.196060249844655,-0.0938051489105904,0.337480943231822,0.136029924079216,0.308630530350045,1.22302695178248,1.71974309546881,2.17261940189579,1.66814622818411
