"Gene","Pseudotime_Bin","Z_Score","Cluster"
"IGFBP5","Bin_1",-1.50597872654837,2
"IGFBP5","Bin_2",-1.35331233415241,2
"IGFBP5","Bin_3",-0.834254539627525,2
"IGFBP5","Bin_4",-1.28757617998337,2
"IGFBP5","Bin_5",-1.41810180128932,2
"IGFBP5","Bin_6",-0.751036977289904,2
"IGFBP5","Bin_7",-0.0393716029249449,2
"IGFBP5","Bin_8",-0.450156271698333,2
"IGFBP5","Bin_9",-0.131289308680621,2
"IGFBP5","Bin_10",-0.196894010899714,2
"IGFBP5","Bin_11",-0.102679165367185,2
"IGFBP5","Bin_12",-0.00531423963129171,2
"IGFBP5","Bin_13",0.192491484841731,2
"IGFBP5","Bin_14",0.619797690475458,2
"IGFBP5","Bin_15",0.842703594621291,2
"IGFBP5","Bin_16",0.797385540334102,2
"IGFBP5","Bin_17",1.39698396962339,2
"IGFBP5","Bin_18",1.47301768434629,2
"IGFBP5","Bin_19",1.27366866657645,2
"IGFBP5","Bin_20",1.47991652727427,2
"NDUFA4L2","Bin_1",-1.22834906286639,2
"NDUFA4L2","Bin_2",-1.23510191833789,2
"NDUFA4L2","Bin_3",-1.23053990013727,2
"NDUFA4L2","Bin_4",-1.05431422166512,2
"NDUFA4L2","Bin_5",-1.13855181351348,2
"NDUFA4L2","Bin_6",-1.24469978725209,2
"NDUFA4L2","Bin_7",-0.512208869385697,2
"NDUFA4L2","Bin_8",0.122237561792916,2
"NDUFA4L2","Bin_9",-0.334599196213121,2
"NDUFA4L2","Bin_10",-0.452653013976795,2
"NDUFA4L2","Bin_11",0.25680411120111,2
"NDUFA4L2","Bin_12",0.55406035434445,2
"NDUFA4L2","Bin_13",0.00718801366462086,2
"NDUFA4L2","Bin_14",0.575402758955366,2
"NDUFA4L2","Bin_15",1.35552546262042,2
"NDUFA4L2","Bin_16",1.13613491682596,2
"NDUFA4L2","Bin_17",1.88283928531246,2
"NDUFA4L2","Bin_18",1.30948458923319,2
"NDUFA4L2","Bin_19",0.457731966638355,2
"NDUFA4L2","Bin_20",0.773608762759006,2
"SEC61B","Bin_1",-0.986382167542452,2
"SEC61B","Bin_2",-1.33381078247377,2
"SEC61B","Bin_3",-1.45920444438644,2
"SEC61B","Bin_4",-0.937294461536166,2
"SEC61B","Bin_5",-1.32392043376548,2
"SEC61B","Bin_6",-1.42292765855051,2
"SEC61B","Bin_7",-1.45648916075548,2
"SEC61B","Bin_8",-0.0107638674928223,2
"SEC61B","Bin_9",0.525075976377004,2
"SEC61B","Bin_10",0.627413213722742,2
"SEC61B","Bin_11",0.554653923219352,2
"SEC61B","Bin_12",0.558535781527061,2
"SEC61B","Bin_13",0.471211321592821,2
"SEC61B","Bin_14",0.509107997375574,2
"SEC61B","Bin_15",0.709266114298349,2
