"Gene","Bin","Z_Score","Bin_Number","Pseudotime_Bin_Center","Cluster","Silhouette_Width"
"IGFBP5","Bin_1",-1.50597872654837,1,0.649550283067647,2,0.606187580078864
"IGFBP5","Bin_2",-1.35331233415241,2,1.94865084920294,2,0.606187580078864
"IGFBP5","Bin_3",-0.834254539627525,3,3.24775141533823,2,0.606187580078864
"IGFBP5","Bin_4",-1.28757617998337,4,4.54685198147353,2,0.606187580078864
"IGFBP5","Bin_5",-1.41810180128932,5,5.84595254760882,2,0.606187580078864
"IGFBP5","Bin_6",-0.751036977289904,6,7.14505311374411,2,0.606187580078864
"IGFBP5","Bin_7",-0.0393716029249449,7,8.4441536798794,2,0.606187580078864
"IGFBP5","Bin_8",-0.450156271698333,8,9.7432542460147,2,0.606187580078864
"IGFBP5","Bin_9",-0.131289308680621,9,11.04235481215,2,0.606187580078864
"IGFBP5","Bin_10",-0.196894010899714,10,12.3414553782853,2,0.606187580078864
"IGFBP5","Bin_11",-0.102679165367185,11,13.6405559444206,2,0.606187580078864
"IGFBP5","Bin_12",-0.00531423963129171,12,14.9396565105559,2,0.606187580078864
"IGFBP5","Bin_13",0.192491484841731,13,16.2387570766912,2,0.606187580078864
"IGFBP5","Bin_14",0.619797690475458,14,17.5378576428265,2,0.606187580078864
"IGFBP5","Bin_15",0.842703594621291,15,18.8369582089617,2,0.606187580078864
"IGFBP5","Bin_16",0.797385540334102,16,20.136058775097,2,0.606187580078864
"IGFBP5","Bin_17",1.39698396962339,17,21.4351593412323,2,0.606187580078864
"IGFBP5","Bin_18",1.47301768434629,18,22.7342599073676,2,0.606187580078864
"IGFBP5","Bin_19",1.27366866657645,19,24.0333604735029,2,0.606187580078864
"IGFBP5","Bin_20",1.47991652727427,20,25.3324610396382,2,0.606187580078864
"NDUFA4L2","Bin_1",-1.22834906286639,1,0.649550283067647,2,0.580107643004666
"NDUFA4L2","Bin_2",-1.23510191833789,2,1.94865084920294,2,0.580107643004666
"NDUFA4L2","Bin_3",-1.23053990013727,3,3.24775141533823,2,0.580107643004666
"NDUFA4L2","Bin_4",-1.05431422166512,4,4.54685198147353,2,0.580107643004666
"NDUFA4L2","Bin_5",-1.13855181351348,5,5.84595254760882,2,0.580107643004666
"NDUFA4L2","Bin_6",-1.24469978725209,6,7.14505311374411,2,0.580107643004666
"NDUFA4L2","Bin_7",-0.512208869385697,7,8.4441536798794,2,0.580107643004666
"NDUFA4L2","Bin_8",0.122237561792916,8,9.7432542460147,2,0.580107643004666
"NDUFA4L2","Bin_9",-0.334599196213121,9,11.04235481215,2,0.580107643004666
"NDUFA4L2","Bin_10",-0.452653013976795,10,12.3414553782853,2,0.580107643004666
"NDUFA4L2","Bin_11",0.25680411120111,11,13.6405559444206,2,0.580107643004666
"NDUFA4L2","Bin_12",0.55406035434445,12,14.9396565105559,2,0.580107643004666
"NDUFA4L2","Bin_13",0.00718801366462086,13,16.2387570766912,2,0.580107643004666
"NDUFA4L2","Bin_14",0.575402758955366,14,17.5378576428265,2,0.580107643004666
"NDUFA4L2","Bin_15",1.35552546262042,15,18.8369582089617,2,0.580107643004666
"NDUFA4L2","Bin_16",1.13613491682596,16,20.136058775097,2,0.580107643004666
"NDUFA4L2","Bin_17",1.88283928531246,17,21.4351593412323,2,0.580107643004666
"NDUFA4L2","Bin_18",1.30948458923319,18,22.7342599073676,2,0.580107643004666
"NDUFA4L2","Bin_19",0.457731966638355,19,24.0333604735029,2,0.580107643004666
"NDUFA4L2","Bin_20",0.773608762759006,20,25.3324610396382,2,0.580107643004666
"SEC61B","Bin_1",-0.986382167542452,1,0.649550283067647,2,0.713774205372867
"SEC61B","Bin_2",-1.33381078247377,2,1.94865084920294,2,0.713774205372867
"SEC61B","Bin_3",-1.45920444438644,3,3.24775141533823,2,0.713774205372867
"SEC61B","Bin_4",-0.937294461536166,4,4.54685198147353,2,0.713774205372867
"SEC61B","Bin_5",-1.32392043376548,5,5.84595254760882,2,0.713774205372867
"SEC61B","Bin_6",-1.42292765855051,6,7.14505311374411,2,0.713774205372867
"SEC61B","Bin_7",-1.45648916075548,7,8.4441536798794,2,0.713774205372867
"SEC61B","Bin_8",-0.0107638674928223,8,9.7432542460147,2,0.713774205372867
"SEC61B","Bin_9",0.525075976377004,9,11.04235481215,2,0.713774205372867
"SEC61B","Bin_10",0.627413213722742,10,12.3414553782853,2,0.713774205372867
"SEC61B","Bin_11",0.554653923219352,11,13.6405559444206,2,0.713774205372867
"SEC61B","Bin_12",0.558535781527061,12,14.9396565105559,2,0.713774205372867
"SEC61B","Bin_13",0.471211321592821,13,16.2387570766912,2,0.713774205372867
"SEC61B","Bin_14",0.509107997375574,14,17.5378576428265,2,0.713774205372867
"SEC61B","Bin_15",0.709266114298349,15,18.8369582089617,2,0.713774205372867
"SEC61B","Bin_16",0.708134136463798,16,20.136058775097,2,0.713774205372867
"SEC61B","Bin_17",1.04874020618177,17,21.4351593412323,2,0.713774205372867
"SEC61B","Bin_18",1.05010709480641,18,22.7342599073676,2,0.713774205372867
"SEC61B","Bin_19",1.16382653577343,19,24.0333604735029,2,0.713774205372867
"SEC61B","Bin_20",1.00472067516482,20,25.3324610396382,2,0.713774205372867
"PRDX2","Bin_1",-0.397766231889624,1,0.649550283067647,2,0.72119222674023
"PRDX2","Bin_2",-1.11711907024553,2,1.94865084920294,2,0.72119222674023
"PRDX2","Bin_3",-1.09994284441975,3,3.24775141533823,2,0.72119222674023
"PRDX2","Bin_4",-0.918412076576276,4,4.54685198147353,2,0.72119222674023
"PRDX2","Bin_5",-1.42448817219062,5,5.84595254760882,2,0.72119222674023
"PRDX2","Bin_6",-2.02654775781737,6,7.14505311374411,2,0.72119222674023
"PRDX2","Bin_7",-1.06638478743697,7,8.4441536798794,2,0.72119222674023
"PRDX2","Bin_8",-0.830930000325513,8,9.7432542460147,2,0.72119222674023
"PRDX2","Bin_9",0.59047967049013,9,11.04235481215,2,0.72119222674023
"PRDX2","Bin_10",0.67162923539553,10,12.3414553782853,2,0.72119222674023
"PRDX2","Bin_11",0.595284059962774,11,13.6405559444206,2,0.72119222674023
"PRDX2","Bin_12",0.4535404391416,12,14.9396565105559,2,0.72119222674023
"PRDX2","Bin_13",0.557362476250402,13,16.2387570766912,2,0.72119222674023
"PRDX2","Bin_14",0.399949317738374,14,17.5378576428265,2,0.72119222674023
"PRDX2","Bin_15",0.549173821450222,15,18.8369582089617,2,0.72119222674023
"PRDX2","Bin_16",0.563395239856575,16,20.136058775097,2,0.72119222674023
"PRDX2","Bin_17",1.09293685055922,17,21.4351593412323,2,0.72119222674023
"PRDX2","Bin_18",0.954192326129825,18,22.7342599073676,2,0.72119222674023
"PRDX2","Bin_19",1.14882092196695,19,24.0333604735029,2,0.72119222674023
"PRDX2","Bin_20",1.30482658196006,20,25.3324610396382,2,0.72119222674023
"RPL7","Bin_1",-0.437212962306422,1,0.649550283067647,2,0.566355321428757
"RPL7","Bin_2",-0.809943123282832,2,1.94865084920294,2,0.566355321428757
"RPL7","Bin_3",-1.01053294380365,3,3.24775141533823,2,0.566355321428757
"RPL7","Bin_4",-1.27920866718706,4,4.54685198147353,2,0.566355321428757
"RPL7","Bin_5",0.230593687633345,5,5.84595254760882,2,0.566355321428757
"RPL7","Bin_6",-2.90893479747916,6,7.14505311374411,2,0.566355321428757
"RPL7","Bin_7",-1.29852256339868,7,8.4441536798794,2,0.566355321428757
"RPL7","Bin_8",0.159337539621693,8,9.7432542460147,2,0.566355321428757
"RPL7","Bin_9",0.72514462450344,9,11.04235481215,2,0.566355321428757
"RPL7","Bin_10",0.572445945746951,10,12.3414553782853,2,0.566355321428757
"RPL7","Bin_11",0.229976262481345,11,13.6405559444206,2,0.566355321428757
"RPL7","Bin_12",0.623267687074611,12,14.9396565105559,2,0.566355321428757
"RPL7","Bin_13",0.478725388362328,13,16.2387570766912,2,0.566355321428757
"RPL7","Bin_14",0.480265092656077,14,17.5378576428265,2,0.566355321428757
"RPL7","Bin_15",0.462516129815819,15,18.8369582089617,2,0.566355321428757
"RPL7","Bin_16",0.20226020289627,16,20.136058775097,2,0.566355321428757
"RPL7","Bin_17",0.725766220659293,17,21.4351593412323,2,0.566355321428757
"RPL7","Bin_18",0.976334621142031,18,22.7342599073676,2,0.566355321428757
"RPL7","Bin_19",1.02894970826251,19,24.0333604735029,2,0.566355321428757
"RPL7","Bin_20",0.848771946602094,20,25.3324610396382,2,0.566355321428757
"COL8A1","Bin_1",-0.866165050660684,1,0.649550283067647,2,0.531410156024342
"COL8A1","Bin_2",-0.79207111400455,2,1.94865084920294,2,0.531410156024342
"COL8A1","Bin_3",-0.818570820812443,3,3.24775141533823,2,0.531410156024342
"COL8A1","Bin_4",-0.797201976795288,4,4.54685198147353,2,0.531410156024342
"COL8A1","Bin_5",-0.880355299302299,5,5.84595254760882,2,0.531410156024342
"COL8A1","Bin_6",-0.880355299302299,6,7.14505311374411,2,0.531410156024342
"COL8A1","Bin_7",-0.594746155251341,7,8.4441536798794,2,0.531410156024342
"COL8A1","Bin_8",-0.70146468926911,8,9.7432542460147,2,0.531410156024342
"COL8A1","Bin_9",-0.496861222839425,9,11.04235481215,2,0.531410156024342
"COL8A1","Bin_10",-0.619785945862264,10,12.3414553782853,2,0.531410156024342
"COL8A1","Bin_11",-0.113222095420724,11,13.6405559444206,2,0.531410156024342
"COL8A1","Bin_12",-0.387137888577187,12,14.9396565105559,2,0.531410156024342
"COL8A1","Bin_13",0.0740087227183987,13,16.2387570766912,2,0.531410156024342
"COL8A1","Bin_14",0.459054153059579,14,17.5378576428265,2,0.531410156024342
"COL8A1","Bin_15",0.28303029465217,15,18.8369582089617,2,0.531410156024342
"COL8A1","Bin_16",0.299136653189502,16,20.136058775097,2,0.531410156024342
"COL8A1","Bin_17",1.03428622583132,17,21.4351593412323,2,0.531410156024342
"COL8A1","Bin_18",1.53203621768841,18,22.7342599073676,2,0.531410156024342
"COL8A1","Bin_19",1.7988549403712,19,24.0333604735029,2,0.531410156024342
"COL8A1","Bin_20",2.46753035058704,20,25.3324610396382,2,0.531410156024342
"VCAN","Bin_1",-1.44227074868507,1,0.649550283067647,2,0.602516239442491
"VCAN","Bin_2",-1.43117713742676,2,1.94865084920294,2,0.602516239442491
"VCAN","Bin_3",-1.4574156552389,3,3.24775141533823,2,0.602516239442491
"VCAN","Bin_4",-1.34945646132427,4,4.54685198147353,2,0.602516239442491
"VCAN","Bin_5",-1.40983794006836,5,5.84595254760882,2,0.602516239442491
"VCAN","Bin_6",-0.417628993962557,6,7.14505311374411,2,0.602516239442491
"VCAN","Bin_7",0.766710141304618,7,8.4441536798794,2,0.602516239442491
"VCAN","Bin_8",-0.970600394243109,8,9.7432542460147,2,0.602516239442491
"VCAN","Bin_9",0.477786572850801,9,11.04235481215,2,0.602516239442491
"VCAN","Bin_10",0.47285198435319,10,12.3414553782853,2,0.602516239442491
"VCAN","Bin_11",0.402167616838018,11,13.6405559444206,2,0.602516239442491
"VCAN","Bin_12",0.472007392248034,12,14.9396565105559,2,0.602516239442491
"VCAN","Bin_13",0.395495880852239,13,16.2387570766912,2,0.602516239442491
"VCAN","Bin_14",0.451694011609663,14,17.5378576428265,2,0.602516239442491
"VCAN","Bin_15",0.151446413576774,15,18.8369582089617,2,0.602516239442491
"VCAN","Bin_16",0.11725499383654,16,20.136058775097,2,0.602516239442491
"VCAN","Bin_17",0.774051031516684,17,21.4351593412323,2,0.602516239442491
"VCAN","Bin_18",1.23049313268838,18,22.7342599073676,2,0.602516239442491
"VCAN","Bin_19",1.55809784986701,19,24.0333604735029,2,0.602516239442491
"VCAN","Bin_20",1.20833030940707,20,25.3324610396382,2,0.602516239442491
"HOOK2","Bin_1",-0.889517482643491,1,0.649550283067647,2,0.446940484886902
"HOOK2","Bin_2",-1.21421864986488,2,1.94865084920294,2,0.446940484886902
"HOOK2","Bin_3",-1.29301873528037,3,3.24775141533823,2,0.446940484886902
"HOOK2","Bin_4",-1.53126241857134,4,4.54685198147353,2,0.446940484886902
"HOOK2","Bin_5",-1.7453107406044,5,5.84595254760882,2,0.446940484886902
"HOOK2","Bin_6",1.07187612975962,6,7.14505311374411,2,0.446940484886902
"HOOK2","Bin_7",1.22842470789733,7,8.4441536798794,2,0.446940484886902
"HOOK2","Bin_8",-1.5484680688031,8,9.7432542460147,2,0.446940484886902
"HOOK2","Bin_9",-0.296345855692309,9,11.04235481215,2,0.446940484886902
"HOOK2","Bin_10",0.112785393914474,10,12.3414553782853,2,0.446940484886902
"HOOK2","Bin_11",0.246407094958728,11,13.6405559444206,2,0.446940484886902
"HOOK2","Bin_12",0.339475592761475,12,14.9396565105559,2,0.446940484886902
"HOOK2","Bin_13",0.216106536368033,13,16.2387570766912,2,0.446940484886902
"HOOK2","Bin_14",0.521705806886984,14,17.5378576428265,2,0.446940484886902
"HOOK2","Bin_15",0.575356090617584,15,18.8369582089617,2,0.446940484886902
"HOOK2","Bin_16",0.716497355012201,16,20.136058775097,2,0.446940484886902
"HOOK2","Bin_17",1.10340641639383,17,21.4351593412323,2,0.446940484886902
"HOOK2","Bin_18",0.99663383931533,18,22.7342599073676,2,0.446940484886902
"HOOK2","Bin_19",0.701192110241982,19,24.0333604735029,2,0.446940484886902
"HOOK2","Bin_20",0.688274877332324,20,25.3324610396382,2,0.446940484886902
"CD63","Bin_1",-0.197144190957735,1,0.649550283067647,2,0.645929605634323
"CD63","Bin_2",-0.434150382661683,2,1.94865084920294,2,0.645929605634323
"CD63","Bin_3",-0.463302028152283,3,3.24775141533823,2,0.645929605634323
"CD63","Bin_4",-1.40541112197977,4,4.54685198147353,2,0.645929605634323
"CD63","Bin_5",-1.9901522073618,5,5.84595254760882,2,0.645929605634323
"CD63","Bin_6",-2.14623560673736,6,7.14505311374411,2,0.645929605634323
"CD63","Bin_7",-0.953148213596608,7,8.4441536798794,2,0.645929605634323
"CD63","Bin_8",-0.592376074726369,8,9.7432542460147,2,0.645929605634323
"CD63","Bin_9",0.158526393535079,9,11.04235481215,2,0.645929605634323
"CD63","Bin_10",0.434360871010583,10,12.3414553782853,2,0.645929605634323
"CD63","Bin_11",0.522322249372538,11,13.6405559444206,2,0.645929605634323
"CD63","Bin_12",0.42704980141989,12,14.9396565105559,2,0.645929605634323
"CD63","Bin_13",0.521931926290049,13,16.2387570766912,2,0.645929605634323
"CD63","Bin_14",0.533047867023354,14,17.5378576428265,2,0.645929605634323
"CD63","Bin_15",0.650241607813214,15,18.8369582089617,2,0.645929605634323
"CD63","Bin_16",0.558138889551563,16,20.136058775097,2,0.645929605634323
"CD63","Bin_17",1.07235181114636,17,21.4351593412323,2,0.645929605634323
"CD63","Bin_18",1.04460354031186,18,22.7342599073676,2,0.645929605634323
"CD63","Bin_19",1.09061068635731,19,24.0333604735029,2,0.645929605634323
"CD63","Bin_20",1.1687341823418,20,25.3324610396382,2,0.645929605634323
"MT-ND3","Bin_1",1.32732411389189,1,0.649550283067647,1,0.601023463293339
"MT-ND3","Bin_2",1.79956420715281,2,1.94865084920294,1,0.601023463293339
"MT-ND3","Bin_3",1.85613139142963,3,3.24775141533823,1,0.601023463293339
"MT-ND3","Bin_4",1.72180913194977,4,4.54685198147353,1,0.601023463293339
"MT-ND3","Bin_5",0.149095259544444,5,5.84595254760882,1,0.601023463293339
"MT-ND3","Bin_6",0.555271251190615,6,7.14505311374411,1,0.601023463293339
"MT-ND3","Bin_7",0.562082151361775,7,8.4441536798794,1,0.601023463293339
"MT-ND3","Bin_8",-1.84444503607673,8,9.7432542460147,1,0.601023463293339
"MT-ND3","Bin_9",-0.533752494893367,9,11.04235481215,1,0.601023463293339
"MT-ND3","Bin_10",-0.2713774772134,10,12.3414553782853,1,0.601023463293339
"MT-ND3","Bin_11",-0.405026416134234,11,13.6405559444206,1,0.601023463293339
"MT-ND3","Bin_12",-0.488010326528012,12,14.9396565105559,1,0.601023463293339
"MT-ND3","Bin_13",-0.341576670214538,13,16.2387570766912,1,0.601023463293339
"MT-ND3","Bin_14",-0.42320461891013,14,17.5378576428265,1,0.601023463293339
"MT-ND3","Bin_15",-0.673098943964625,15,18.8369582089617,1,0.601023463293339
"MT-ND3","Bin_16",-0.766379143425107,16,20.136058775097,1,0.601023463293339
"MT-ND3","Bin_17",-0.936578034075207,17,21.4351593412323,1,0.601023463293339
"MT-ND3","Bin_18",-0.527580348931287,18,22.7342599073676,1,0.601023463293339
"MT-ND3","Bin_19",-0.375782205681135,19,24.0333604735029,1,0.601023463293339
"MT-ND3","Bin_20",-0.384465790473161,20,25.3324610396382,1,0.601023463293339
"TMEM205","Bin_1",-0.365423801760106,1,0.649550283067647,2,0.645153566509396
"TMEM205","Bin_2",-0.991069043015277,2,1.94865084920294,2,0.645153566509396
"TMEM205","Bin_3",-1.17145916822967,3,3.24775141533823,2,0.645153566509396
"TMEM205","Bin_4",-1.25353624143033,4,4.54685198147353,2,0.645153566509396
"TMEM205","Bin_5",-1.40879316531711,5,5.84595254760882,2,0.645153566509396
"TMEM205","Bin_6",-0.755917281790843,6,7.14505311374411,2,0.645153566509396
"TMEM205","Bin_7",-0.756996796160289,7,8.4441536798794,2,0.645153566509396
"TMEM205","Bin_8",-1.27159455213977,8,9.7432542460147,2,0.645153566509396
"TMEM205","Bin_9",-0.060862118342471,9,11.04235481215,2,0.645153566509396
"TMEM205","Bin_10",0.322088633437657,10,12.3414553782853,2,0.645153566509396
"TMEM205","Bin_11",0.39633040463365,11,13.6405559444206,2,0.645153566509396
"TMEM205","Bin_12",0.274520615732772,12,14.9396565105559,2,0.645153566509396
"TMEM205","Bin_13",0.0385896069724763,13,16.2387570766912,2,0.645153566509396
"TMEM205","Bin_14",0.203626656016002,14,17.5378576428265,2,0.645153566509396
"TMEM205","Bin_15",0.266393787140996,15,18.8369582089617,2,0.645153566509396
"TMEM205","Bin_16",0.400961879130741,16,20.136058775097,2,0.645153566509396
"TMEM205","Bin_17",1.57247407529813,17,21.4351593412323,2,0.645153566509396
