"Bin_Number","Bin","Lower_Bound","Upper_Bound","Center","Cell_Count"
1,"Bin_1",0,1.29910056613529,0.649550283067647,122
2,"Bin_2",1.29910056613529,2.59820113227059,1.94865084920294,368
3,"Bin_3",2.59820113227059,3.89730169840588,3.24775141533823,184
4,"Bin_4",3.89730169840588,5.19640226454117,4.54685198147353,942
5,"Bin_5",5.19640226454117,6.49550283067646,5.84595254760882,211
6,"Bin_6",6.49550283067646,7.79460339681176,7.14505311374411,14
7,"Bin_7",7.79460339681176,9.09370396294705,8.4441536798794,42
8,"Bin_8",9.09370396294705,10.3928045290823,9.7432542460147,40
9,"Bin_9",10.3928045290823,11.6919050952176,11.04235481215,154
10,"Bin_10",11.6919050952176,12.9910056613529,12.3414553782853,271
11,"Bin_11",12.9910056613529,14.2901062274882,13.6405559444206,988
12,"Bin_12",14.2901062274882,15.5892067936235,14.9396565105559,314
13,"Bin_13",15.5892067936235,16.8883073597588,16.2387570766912,342
14,"Bin_14",16.8883073597588,18.1874079258941,17.5378576428265,781
15,"Bin_15",18.1874079258941,19.4865084920294,18.8369582089617,492
16,"Bin_16",19.4865084920294,20.7856090581647,20.136058775097,178
17,"Bin_17",20.7856090581647,22.0847096243,21.4351593412323,327
18,"Bin_18",22.0847096243,23.3838101904353,22.7342599073676,291
19,"Bin_19",23.3838101904353,24.6829107565706,24.0333604735029,288
20,"Bin_20",24.6829107565706,25.9820113227059,25.3324610396382,386
