"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Temporal_Cluster"
"GO:0019646","aerobic electron transport chain","9/52","87/15373",0.103448275862069,30.5828912466844,16.1204298878358,1.1754220504242e-11,7.3703818045662e-09,5.38487036275439e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"1"
"GO:0042773","ATP synthesis coupled electron transport","9/52","94/15373",0.0957446808510638,28.305441898527,15.4699522831247,2.39479832572192e-11,7.3703818045662e-09,5.38487036275439e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"1"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","9/52","94/15373",0.0957446808510638,28.305441898527,15.4699522831247,2.39479832572192e-11,7.3703818045662e-09,5.38487036275439e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"1"
"GO:0006119","oxidative phosphorylation","10/52","136/15373",0.0735294117647059,21.7378393665158,14.1516321094592,2.42446769887046e-11,7.3703818045662e-09,5.38487036275439e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-ATP6/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",10,"1"
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","7/52","39/15373",0.179487179487179,53.0626232741617,18.9650470536464,4.71449805551329e-11,1.14656592710083e-08,8.3769186502173e-09,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",7,"1"
"GO:0002396","MHC protein complex assembly","6/52","22/15373",0.272727272727273,80.6276223776224,21.7735907703919,7.95999766884106e-11,1.29197309864205e-08,9.43927714035566e-09,"HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"1"
"GO:0002501","peptide antigen assembly with MHC protein complex","6/52","22/15373",0.272727272727273,80.6276223776224,21.7735907703919,7.95999766884106e-11,1.29197309864205e-08,9.43927714035566e-09,"HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"1"
"GO:0022904","respiratory electron transport chain","9/52","108/15373",0.0833333333333333,24.6362179487179,14.3603413315323,8.49982301738188e-11,1.29197309864205e-08,9.43927714035566e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"1"
"GO:0022900","electron transport chain","9/52","118/15373",0.076271186440678,22.5484028683181,13.6890493007961,1.89437116612966e-10,2.5595059311263e-08,1.86999913943092e-08,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"1"
"GO:0019884","antigen processing and presentation of exogenous antigen","7/52","48/15373",0.145833333333333,43.1133814102564,17.0240855931013,2.2052981261289e-10,2.68164252137275e-08,1.95923328258189e-08,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",7,"1"
"GO:1902600","proton transmembrane transport","10/52","176/15373",0.0568181818181818,16.7974213286713,12.2796759654752,3.125774995919e-10,3.45540217730682e-08,2.52454937469439e-08,"MT-ND4L/MT-ND3/MT-ND5/MT-ATP6/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",10,"1"
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","6/52","29/15373",0.206896551724138,61.1657824933687,18.8930718768818,4.97736728428375e-10,5.04373218140753e-08,3.68499823503112e-08,"CD74/HLA-DRA/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"1"
"GO:0002399","MHC class II protein complex assembly","5/52","14/15373",0.357142857142857,105.583791208791,22.8071086881883,7.11149254015501e-10,6.17683923487749e-08,4.51285692021867e-08,"HLA-DRA/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",5,"1"
"GO:0002503","peptide antigen assembly with MHC class II protein complex","5/52","14/15373",0.357142857142857,105.583791208791,22.8071086881883,7.11149254015501e-10,6.17683923487749e-08,4.51285692021867e-08,"HLA-DRA/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",5,"1"
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","6/52","31/15373",0.193548387096774,57.2196029776675,18.2537011274367,7.67537755996395e-10,6.22217274194411e-08,4.54597800744532e-08,"CD74/HLA-DRA/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"1"
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","6/52","33/15373",0.181818181818182,53.7517482517483,17.6727628928532,1.14866900929957e-09,8.72988447067676e-08,6.378135814795e-08,"CD74/HLA-DRA/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"1"
"GO:0048002","antigen processing and presentation of peptide antigen","7/52","65/15373",0.107692307692308,31.837573964497,14.5144625492657,1.99612510659436e-09,1.42781654683455e-07,1.04317621669699e-07,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",7,"1"
