ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Temporal_Cluster,Database
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,8/27,196/4226,0.04081632653061224,6.388510959939531,6.193934159073045,1.925045421963844e-5,4.6201090127132255e-4,3.4448181235142473e-4,CD74/PSMB9/MT2A/HLA-A/B2M/HLA-DRB1/LGALS3BP/HLA-DQA1,8,1,MSigDB_Hallmark
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7/27,198/4226,0.03535353535353535,5.533482977927422,5.238924684277527,1.777131614189457e-4,0.0021325579370273483,0.0015900651284853037,TPM1/NNMT/TIMP1/TAGLN/PMP22/IL32/ACTA2,7,1,MSigDB_Hallmark
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,6/27,192/4226,0.03125,4.891203703703703,4.424752012324972,0.001081281763352104,0.008650254106816833,0.006449750869117815,CD74/HLA-DRA/HLA-A/B2M/TIMP1/HLA-DQA1,6,1,MSigDB_Hallmark
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,4/27,96/4226,0.041666666666666664,6.521604938271604,4.387814130957446,0.0029391562007896155,0.017634937204737692,0.013148856687743017,CD74/PSMB9/B2M/LGALS3BP,4,1,MSigDB_Hallmark
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,5/27,198/4226,0.025252525252525252,3.95248784137673,3.411915630328292,0.0074548181629745585,0.03194381996357298,0.023817760499155294,CLU/LTF/PSMB9/TIMP1/PLAT,5,1,MSigDB_Hallmark
HALLMARK_COAGULATION,HALLMARK_COAGULATION,4/27,127/4226,0.031496062992125984,4.929717118693497,3.6053421960273035,0.007985954990893244,0.03194381996357298,0.023817760499155294,CLU/TIMP1/A2M/PLAT,4,1,MSigDB_Hallmark
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,37/212,199/4226,0.18592964824120603,3.70631459182706,8.986831638645807,8.521367481897541e-13,4.0902563913108195e-11,3.498245597831622e-11,ATP5PO/VDAC2/ETFB/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/MTX2/SDHC/NDUFB3/HADHB/NDUFB7/CYC1/IDH2/ATP5F1B/UQCRFS1/SLC25A5/MRPL34/NDUFS2/ATP6V1G1/MGST3/ATP5MC3/OAT/ECH1/MDH1/MRPS12/ATP5PD/COX4I1/MRPS15/ATP5MG/POLR2F/CYB5A/COX5B/UQCRH/GPI,37,2,MSigDB_Hallmark
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,35/212,195/4226,0.1794871794871795,3.577890662796323,8.469699520154853,1.1230981870855665e-11,2.6954356490053597e-10,2.3053068050703735e-10,ERH/ACP1/SSB/RAD23B/PSMC4/CCT4/CYC1/CCT2/TCP1/MRPL9/HDAC2/ILF2/PSMB2/CDK4/FBL/SYNCRIP/YWHAQ/EIF3D/NAP1L1/PRDX4/ODC1/PRPF31/PCNA/MYC/HNRNPA1/CCT5/AP3S1/RFC4/RPS5/RPS10/EEF1B2/RPL18/RPS6/RPL6/NCBP2,35,2,MSigDB_Hallmark
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,9/212,49/4226,0.1836734693877551,3.661340007701194,4.305848727105976,6.030498422826718e-4,0.008150105595030637,0.006970485048381466,PRDX2/SOD1/NDUFS2/LAMTOR5/NQO1/PRDX4/PRDX1/JUNB/GPX3,9,2,MSigDB_Hallmark
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,21/212,196/4226,0.10714285714285714,2.1357816711590294,3.741648372524346,6.79175466252553e-4,0.008150105595030637,0.006970485048381466,PPA1/PSMB5/PSMC4/PSMA3/RAB1A/SERP1/CD9/GMPS/PHGDH/SSR1/FADS2/CALR/PRDX1/PSMG1/DDX39A/IGFBP5/DDIT4/GPI/GAPDH/CXCR4/P4HA1,21,2,MSigDB_Hallmark
