Temporal_Cluster,SYMBOL,ENTREZID,Mapping_Status
1,CD74,972,Mapped
1,MTRNR2L8,100463486,Mapped
1,HLA-DRA,3122,Mapped
1,TPM1,7168,Mapped
1,MTRNR2L12,100463498,Mapped
1,IGHA1,3493,Mapped
1,CLU,1191,Mapped
1,IGLC2,3538,Mapped
1,LTF,4057,Mapped
1,MT-ND4L,4539,Mapped
1,CEBPD,1052,Mapped
1,PSMB9,5698,Mapped
1,IFI16,3428,Mapped
1,MT2A,4502,Mapped
1,HLA-A,3105,Mapped
1,B2M,567,Mapped
1,HLA-DPA1,3113,Mapped
1,NNMT,4837,Mapped
1,HLA-DRB1,3123,Mapped
1,IGLC3,3539,Mapped
1,BIRC3,330,Mapped
1,MT-ND3,4537,Mapped
1,IGHG1,3500,Mapped
1,UBC,7316,Mapped
1,LGALS3BP,3959,Mapped
1,TIMP1,7076,Mapped
1,MT-ND5,4540,Mapped
1,MT-ATP6,4508,Mapped
1,SAA1,6288,Mapped
1,IGKC,3514,Mapped
1,TAGLN,6876,Mapped
1,A2M,2,Mapped
1,PMP22,5376,Mapped
1,IL32,9235,Mapped
1,MT-CO2,4513,Mapped
1,HLA-DQA1,3117,Mapped
1,RPL36,25873,Mapped
1,ACTA2,59,Mapped
1,RPS28,6234,Mapped
1,ACTB,60,Mapped
1,SMIM22,440335,Mapped
1,RPL34,6164,Mapped
1,MT-CYB,4519,Mapped
1,MT-CO3,4514,Mapped
1,PLAT,5327,Mapped
1,RPL37,6167,Mapped
1,RPS15,6209,Mapped
1,TMSB10,9168,Mapped
1,MT-ND4,4538,Mapped
1,MT-CO1,4512,Mapped
1,RPS27,6232,Mapped
1,ACTG1,71,Mapped
1,MT-ND1,4535,Mapped
2,MMADHC,27249,Mapped
2,PRDX2,7001,Mapped
2,ATP5PO,539,Mapped
2,TMEM147,10430,Mapped
2,PYM1,84305,Mapped
2,PIGP,51227,Mapped
2,KDELR1,10945,Mapped
2,VDAC2,7417,Mapped
2,TMEM167A,153339,Mapped
2,ERH,2079,Mapped
2,PSMD4,5710,Mapped
2,LSR,51599,Mapped
2,ETFB,2109,Mapped
2,TRIR,79002,Mapped
2,MTCH1,23787,Mapped
2,GHITM,27069,Mapped
2,ARL6IP6,151188,Mapped
2,SRP19,6728,Mapped
2,SOD1,6647,Mapped
2,HINT2,84681,Mapped
2,EIF3H,8667,Mapped
2,EXOSC4,54512,Mapped
2,BABAM1,29086,Mapped
2,SRP72,6731,Mapped
2,ATP5F1C,509,Mapped
2,CBR3,874,Mapped
2,TMEM14A,28978,Mapped
2,PDCD6,10016,Mapped
2,RAD23A,5886,Mapped
2,MRPL36,64979,Mapped
2,COPE,11316,Mapped
2,GRHPR,9380,Mapped
2,TBCB,1155,Mapped
2,OCIAD2,132299,Mapped
2,REXO2,25996,Mapped
2,PSMA5,5686,Mapped
2,ATG101,60673,Mapped
2,SLC9A3R1,NA,Unmapped
2,EBPL,84650,Mapped
2,MRPS6,64968,Mapped
2,RAB10,10890,Mapped
2,ACP1,52,Mapped
2,NDUFB5,4711,Mapped
2,TRAPPC4,51399,Mapped
2,PPA1,5464,Mapped
2,MRPS16,51021,Mapped
2,PSMB5,5693,Mapped
2,ATP5PF,522,Mapped
2,SEC61B,10952,Mapped
2,NDUFA8,4702,Mapped
2,KRT19,3880,Mapped
2,ATP5PB,515,Mapped
2,STMP1,647087,Mapped
2,DNAJC19,131118,Mapped
2,SDHB,6390,Mapped
2,C19orf53,28974,Mapped
2,MTX2,10651,Mapped
2,HSF1,3297,Mapped
2,CBR1,873,Mapped
2,C1orf43,NA,Unmapped
2,EPCAM,4072,Mapped
2,EIF2D,1939,Mapped
2,ELOF1,84337,Mapped
2,SSB,6741,Mapped
2,AP2M1,1173,Mapped
2,NUDT5,11164,Mapped
2,FKBP8,23770,Mapped
2,RAD23B,5887,Mapped
2,ABRACL,58527,Mapped
2,GADD45GIP1,90480,Mapped
2,MAF1,84232,Mapped
2,SDHC,6391,Mapped
2,GPAA1,8733,Mapped
2,TSFM,10102,Mapped
2,SSR3,6747,Mapped
2,FIBP,9158,Mapped
2,NDUFB3,4709,Mapped
2,COMT,1312,Mapped
2,KIN,22944,Mapped
2,PSMC4,5704,Mapped
2,ATRAID,51374,Mapped
2,DNAJB11,51726,Mapped
2,TECR,9524,Mapped
2,DYNLT1,6993,Mapped
2,CUTA,51596,Mapped
2,PFDN4,5203,Mapped
2,HSPB11,NA,Unmapped
2,CBX5,23468,Mapped
2,PSMB1,5689,Mapped
2,RER1,11079,Mapped
2,CSNK2B,1460,Mapped
2,MRPS14,63931,Mapped
2,MRPS33,51650,Mapped
2,PPIC,5480,Mapped
2,MAP3K13,9175,Mapped
2,NOP10,55505,Mapped
2,RPN2,6185,Mapped
2,HADHB,3032,Mapped
2,YEATS4,8089,Mapped
2,PARL,55486,Mapped
2,PIH1D1,55011,Mapped
2,NDUFB7,4713,Mapped
2,TFG,10342,Mapped
2,SFT2D1,113402,Mapped
2,CCT4,10575,Mapped
2,SF3B5,83443,Mapped
2,ANP32B,10541,Mapped
2,TMEM14B,81853,Mapped
2,OST4,100128731,Mapped
2,TMEM134,80194,Mapped
2,CYC1,1537,Mapped
2,ASNA1,NA,Unmapped
2,ADI1,55256,Mapped
2,TSTA3,NA,Unmapped
2,VPS72,6944,Mapped
2,PSMA3,5684,Mapped
2,CCT2,10576,Mapped
2,TCP1,6950,Mapped
2,HMGA1,3159,Mapped
2,MRPL9,65005,Mapped
2,IDH2,3418,Mapped
2,HDAC2,3066,Mapped
2,ATP5F1B,506,Mapped
2,UQCRFS1,7386,Mapped
2,LSM10,84967,Mapped
2,ILF2,3608,Mapped
2,CDC123,8872,Mapped
2,AHSA1,10598,Mapped
2,SSR2,6746,Mapped
2,STX10,8677,Mapped
2,PTRHD1,391356,Mapped
2,COMMD3,23412,Mapped
2,HMGN1,3150,Mapped
2,RPL22L1,200916,Mapped
2,NDUFB9,4715,Mapped
2,ERP44,23071,Mapped
2,BRK1,55845,Mapped
2,RAB1A,5861,Mapped
2,SMAGP,57228,Mapped
2,DPY30,84661,Mapped
2,CFAP298,56683,Mapped
2,PCMT1,5110,Mapped
2,PSMB2,5690,Mapped
2,TCTEX1D2,NA,Unmapped
2,SLC25A5,292,Mapped
2,CRIPT,9419,Mapped
2,SELENOF,9403,Mapped
2,TSPO,706,Mapped
2,MRPL34,64981,Mapped
2,DGUOK,1716,Mapped
2,SEC13,6396,Mapped
2,SHKBP1,92799,Mapped
2,EXOSC3,51010,Mapped
2,UROD,7389,Mapped
2,PSIP1,11168,Mapped
2,ARL1,400,Mapped
2,SF3B6,51639,Mapped
2,CDK4,1019,Mapped
2,NDUFS2,4720,Mapped
2,PSMB4,5692,Mapped
2,ALDH16A1,126133,Mapped
2,PLLP,51090,Mapped
2,ATP6V1G1,9550,Mapped
2,YBEY,54059,Mapped
2,COX14,84987,Mapped
2,CLIC1,1192,Mapped
2,LAMTOR5,10542,Mapped
2,UCHL3,7347,Mapped
2,MPZL2,10205,Mapped
2,MGST3,4259,Mapped
2,ACTR1B,10120,Mapped
2,FBL,2091,Mapped
2,PAK4,10298,Mapped
2,SYNCRIP,10492,Mapped
2,DDAH2,23564,Mapped
2,PCBD1,5092,Mapped
2,PUF60,22827,Mapped
2,CHCHD1,118487,Mapped
2,FKBP10,60681,Mapped
2,MRPL3,11222,Mapped
2,ATP5MC3,518,Mapped
2,CFL1,1072,Mapped
2,SAP18,10284,Mapped
2,MEAF6,64769,Mapped
2,MRPL58,3396,Mapped
