"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Biological_Theme"
"GO_BP","1","GO:0019646","aerobic electron transport chain","9/52","87/15373",1.1754220504242e-11,7.3703818045662e-09,5.38487036275439e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"Mitochondrial / oxidative energy metabolism"
"GO_BP","1","GO:0042773","ATP synthesis coupled electron transport","9/52","94/15373",2.39479832572192e-11,7.3703818045662e-09,5.38487036275439e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"Mitochondrial / oxidative energy metabolism"
"GO_BP","1","GO:0042775","mitochondrial ATP synthesis coupled electron transport","9/52","94/15373",2.39479832572192e-11,7.3703818045662e-09,5.38487036275439e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"Mitochondrial / oxidative energy metabolism"
"GO_BP","1","GO:0006119","oxidative phosphorylation","10/52","136/15373",2.42446769887046e-11,7.3703818045662e-09,5.38487036275439e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-ATP6/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",10,"Mitochondrial / oxidative energy metabolism"
"GO_BP","1","GO:0002478","antigen processing and presentation of exogenous peptide antigen","7/52","39/15373",4.71449805551329e-11,1.14656592710083e-08,8.3769186502173e-09,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",7,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0002396","MHC protein complex assembly","6/52","22/15373",7.95999766884106e-11,1.29197309864205e-08,9.43927714035566e-09,"HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0002501","peptide antigen assembly with MHC protein complex","6/52","22/15373",7.95999766884106e-11,1.29197309864205e-08,9.43927714035566e-09,"HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",6,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0022904","respiratory electron transport chain","9/52","108/15373",8.49982301738188e-11,1.29197309864205e-08,9.43927714035566e-09,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"Mitochondrial / oxidative energy metabolism"
"GO_BP","1","GO:0022900","electron transport chain","9/52","118/15373",1.89437116612966e-10,2.5595059311263e-08,1.86999913943092e-08,"MT-ND4L/MT-ND3/MT-ND5/MT-CO2/MT-CYB/MT-CO3/MT-ND4/MT-CO1/MT-ND1",9,"Mitochondrial / oxidative energy metabolism"
"GO_BP","1","GO:0019884","antigen processing and presentation of exogenous antigen","7/52","48/15373",2.2052981261289e-10,2.68164252137275e-08,1.95923328258189e-08,"CD74/HLA-DRA/HLA-A/B2M/HLA-DPA1/HLA-DRB1/HLA-DQA1",7,"Immune / antigen-presentation / inflammatory processes"
