"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Hallmark","1","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","8/27","196/4226",1.92504542196384e-05,0.000462010901271323,0.000344481812351425,"CD74/PSMB9/MT2A/HLA-A/B2M/HLA-DRB1/LGALS3BP/HLA-DQA1",8
"Hallmark","1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","7/27","198/4226",0.000177713161418946,0.00213255793702735,0.0015900651284853,"TPM1/NNMT/TIMP1/TAGLN/PMP22/IL32/ACTA2",7
"Hallmark","1","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","6/27","192/4226",0.0010812817633521,0.00865025410681683,0.00644975086911781,"CD74/HLA-DRA/HLA-A/B2M/TIMP1/HLA-DQA1",6
"Hallmark","1","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","4/27","96/4226",0.00293915620078962,0.0176349372047377,0.013148856687743,"CD74/PSMB9/B2M/LGALS3BP",4
"Hallmark","1","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","5/27","198/4226",0.00745481816297456,0.031943819963573,0.0238177604991553,"CLU/LTF/PSMB9/TIMP1/PLAT",5
"Hallmark","1","HALLMARK_COAGULATION","HALLMARK_COAGULATION","4/27","127/4226",0.00798595499089324,0.031943819963573,0.0238177604991553,"CLU/TIMP1/A2M/PLAT",4
"Hallmark","2","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","37/212","199/4226",8.52136748189754e-13,4.09025639131082e-11,3.49824559783162e-11,"ATP5PO/VDAC2/ETFB/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/MTX2/SDHC/NDUFB3/HADHB/NDUFB7/CYC1/IDH2/ATP5F1B/UQCRFS1/SLC25A5/MRPL34/NDUFS2/ATP6V1G1/MGST3/ATP5MC3/OAT/ECH1/MDH1/MRPS12/ATP5PD/COX4I1/MRPS15/ATP5MG/POLR2F/CYB5A/COX5B/UQCRH/GPI",37
"Hallmark","2","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","35/212","195/4226",1.12309818708557e-11,2.69543564900536e-10,2.30530680507037e-10,"ERH/ACP1/SSB/RAD23B/PSMC4/CCT4/CYC1/CCT2/TCP1/MRPL9/HDAC2/ILF2/PSMB2/CDK4/FBL/SYNCRIP/YWHAQ/EIF3D/NAP1L1/PRDX4/ODC1/PRPF31/PCNA/MYC/HNRNPA1/CCT5/AP3S1/RFC4/RPS5/RPS10/EEF1B2/RPL18/RPS6/RPL6/NCBP2",35
"Hallmark","2","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","9/212","49/4226",0.000603049842282672,0.00815010559503064,0.00697048504838147,"PRDX2/SOD1/NDUFS2/LAMTOR5/NQO1/PRDX4/PRDX1/JUNB/GPX3",9
"Hallmark","2","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","21/212","196/4226",0.000679175466252553,0.00815010559503064,0.00697048504838147,"PPA1/PSMB5/PSMC4/PSMA3/RAB1A/SERP1/CD9/GMPS/PHGDH/SSR1/FADS2/CALR/PRDX1/PSMG1/DDX39A/IGFBP5/DDIT4/GPI/GAPDH/CXCR4/P4HA1",21
