"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Reactome","1","R-HSA-72766","Translation","17/43","344/10039",1.56743257134772e-14,9.02841161096288e-12,6.89670331392998e-12,"RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28/MT-ND1/MT-CO1/MT-CO2/MT-ATP6/MT-CO3/MT-ND3/MT-ND4L/MT-ND4/MT-ND5/MT-CYB",17
"Reactome","1","R-HSA-5419276","Mitochondrial translation termination","10/43","100/10039",8.87907154569646e-12,2.55717260516058e-09,1.95339574005322e-09,"MT-ND1/MT-CO1/MT-CO2/MT-ATP6/MT-CO3/MT-ND3/MT-ND4L/MT-ND4/MT-ND5/MT-CYB",10
"Reactome","1","R-HSA-5368287","Mitochondrial translation","10/43","109/10039",2.12832821030179e-11,4.08639016377944e-09,3.12154804177596e-09,"MT-ND1/MT-CO1/MT-CO2/MT-ATP6/MT-CO3/MT-ND3/MT-ND4L/MT-ND4/MT-ND5/MT-CYB",10
"Reactome","1","R-HSA-1428517","Aerobic respiration and respiratory electron transport","10/43","247/10039",6.36507352702448e-08,9.16570587891525e-06,7.00158087972693e-06,"UBC/MT-ND1/MT-CO1/MT-CO2/MT-ATP6/MT-CO3/MT-ND3/MT-ND4/MT-ND5/MT-CYB",10
"Reactome","1","R-HSA-877300","Interferon gamma signaling","7/43","93/10039",1.14434150798405e-07,1.09141331740514e-05,8.33718506351146e-06,"HLA-A/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1/B2M/MT2A",7
"Reactome","1","R-HSA-913531","Interferon Signaling","10/43","265/10039",1.23312752472598e-07,1.09141331740514e-05,8.33718506351146e-06,"HLA-A/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1/ACTB/UBC/B2M/MT2A/ACTG1",10
"Reactome","1","R-HSA-9954716","ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA","7/43","95/10039",1.32637035101319e-07,1.09141331740514e-05,8.33718506351146e-06,"RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28",7
"Reactome","1","R-HSA-611105","Respiratory electron transport","8/43","153/10039",2.23608708064645e-07,1.60998269806544e-05,1.22984789435555e-05,"MT-ND1/MT-CO1/MT-CO2/MT-CO3/MT-ND3/MT-ND4/MT-ND5/MT-CYB",8
"Reactome","1","R-HSA-2408522","Selenoamino acid metabolism","7/43","107/10039",3.01365398783578e-07,1.9287385522149e-05,1.4733419496086e-05,"RPS27/RPL34/RPL37/NNMT/RPS15/RPL36/RPS28",7
"Reactome","1","R-HSA-202430","Translocation of ZAP-70 to Immunological synapse","4/43","17/10039",6.6689958746041e-07,3.84134162377196e-05,2.9343581848258e-05,"HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1",4
"Reactome","1","R-HSA-202427","Phosphorylation of CD3 and TCR zeta chains","4/43","20/10039",1.34500179447509e-06,7.04291848743321e-05,5.38000717790037e-05,"HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1",4
"Reactome","1","R-HSA-156902","Peptide chain elongation","6/43","88/10039",1.79482575993955e-06,7.40904227544297e-05,5.65968507151894e-05,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-192823","Viral mRNA Translation","6/43","88/10039",1.79482575993955e-06,7.40904227544297e-05,5.65968507151894e-05,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-9954714","PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA","6/43","89/10039",1.9184792300676e-06,7.40904227544297e-05,5.65968507151894e-05,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-9948299","Ribosome-associated quality control","7/43","143/10039",2.1558994585356e-06,7.40904227544297e-05,5.65968507151894e-05,"RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28",7
"Reactome","1","R-HSA-2408557","Selenocysteine synthesis","6/43","91/10039",2.18669650490504e-06,7.40904227544297e-05,5.65968507151894e-05,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-72764","Eukaryotic Translation Termination","6/43","91/10039",2.18669650490504e-06,7.40904227544297e-05,5.65968507151894e-05,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-156842","Eukaryotic Translation Elongation","6/43","92/10039",2.33185054946385e-06,7.46192175828432e-05,5.70007912091163e-05,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","6/43","94/10039",2.64578880380185e-06,8.02091763678877e-05,6.12708986143587e-05,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-72689","Formation of a pool of free 40S subunits","6/43","100/10039",3.80055219123633e-06,0.000104243717245339,7.96306173401897e-05,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","6/43","100/10039",3.80055219123633e-06,0.000104243717245339,7.96306173401897e-05,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","7/43","157/10039",4.01986764259698e-06,0.000105247443733448,8.03973528519396e-05,"RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28",7
"Reactome","1","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","6/43","110/10039",6.61555132734684e-06,0.000160621845608689,0.000122697243173304,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","6/43","111/10039",6.97143427121045e-06,0.000160621845608689,0.000122697243173304,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","6/43","111/10039",6.97143427121045e-06,0.000160621845608689,0.000122697243173304,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-927802","Nonsense-Mediated Decay (NMD)","6/43","114/10039",8.13349443020018e-06,0.000173514547844271,0.000132545835158818,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","6/43","114/10039",8.13349443020018e-06,0.000173514547844271,0.000132545835158818,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-202433","Generation of second messenger molecules","4/43","32/10039",9.61694509945913e-06,0.000190515852598237,0.000145532942956987,"HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1",4
"Reactome","1","R-HSA-72613","Eukaryotic Translation Initiation","6/43","118/10039",9.9227006561582e-06,0.000190515852598237,0.000145532942956987,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-72737","Cap-dependent Translation Initiation","6/43","118/10039",9.9227006561582e-06,0.000190515852598237,0.000145532942956987,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-202424","Downstream TCR signaling","5/43","78/10039",1.90077362668093e-05,0.000353176002892973,0.000269787224432132,"HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1/UBC",5
"Reactome","1","R-HSA-168273","Influenza Viral RNA Transcription and Replication","6/43","133/10039",1.96876765301405e-05,0.000354378177542528,0.000270705552289431,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-376176","Signaling by ROBO receptors","7/43","201/10039",2.03172057649531e-05,0.000354627591533727,0.000270896076866042,"RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28",7
"Reactome","1","R-HSA-977225","Amyloid fiber formation","4/43","46/10039",4.17827081744608e-05,0.00068960459324658,0.000526781286507804,"LTF/SAA1/UBC/B2M",4
"Reactome","1","R-HSA-9711097","Cellular response to starvation","6/43","152/10039",4.19030568813026e-05,0.00068960459324658,0.000526781286507804,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-168255","Influenza Infection","6/43","154/10039",4.50943380474099e-05,0.000721509408758558,0.000551153020579454,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-9837999","Mitochondrial protein degradation","5/43","96/10039",5.19923262778717e-05,0.000809394052325786,0.00061828712330442,"MT-ND1/MT-CO1/MT-CO2/MT-ATP6/MT-ND5",5
"Reactome","1","R-HSA-202403","TCR signaling","5/43","100/10039",6.3235871054157e-05,0.000958522677031432,0.000732204822732344,"HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1/UBC",5
"Reactome","1","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","6/43","181/10039",0.000110738528174854,0.00161165429283548,0.0012311248070271,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
"Reactome","1","R-HSA-9764561","Regulation of CDH1 Function","4/43","59/10039",0.000111920437002464,0.00161165429283548,0.0012311248070271,"ACTB/ACTA2/UBC/ACTG1",4
"Reactome","1","R-HSA-9705683","SARS-CoV-2-host interactions","6/43","183/10039",0.000117646111052146,0.00165278438941551,0.00126254363080351,"RPS27/HLA-A/UBC/B2M/RPS15/RPS28",6
"Reactome","1","R-HSA-2132295","MHC class II antigen presentation","5/43","119/10039",0.000144468483452415,0.00198128205877598,0.00151347935045387,"CD74/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1",5
"Reactome","1","R-HSA-8868773","rRNA processing in the nucleus and cytosol","6/43","191/10039",0.000148785539373345,0.0019930342018383,0.00152245668195981,"RPS27/RPL34/RPL37/RPS15/RPL36/RPS28",6
